Message_id,From,Time_stamp,Text
<644015.1075840561228.JavaMail.evans@thyme>,aimspecialoffers@offers.aol.com,2002-02-06 09:05:17,Special offer for AOL Instant Messenger MembersPST IMAGE IMAGEIMAGE Dear johngriffith Heres a special offer for AOL Instant Messenger AIM members only IMAGE Be one of the first to try AllNew AOL and ge t Hours Free for days IMAGE Here are just a few great reasons to try AllNew AOL for Hours Free for daysIMAGE Builtin high speed broadband content Advanced Email and Instant Messaging Lo cal news and information AOL Radio your favorite local radio stations online Exclusive AOL members only perks like the opportunity to get ho t concert tickets before they go on sale and sneak peaks at blockbuster mov ies IMAGE Plus you can keep your AIM Screen Name and get Email at j ohngriffith aolcom IMAGE Try AllNew AOL now for Hours F REE for days risk free No credit card required IMAGE IMAGE A llen Paine New Member Welcome Team PS Theres never been a better tim e to try AOL Get AllNew AOL for Hours Free for days IMAGE And tell your AIM buddies about this special offer just forward this special message to them IMAGE IMAGE IMAGE IMAGE hour free trial must be used within days of initial signon To avoid being charged a monthly fee simply cancel before trial period e nds Premium services carry surcharges and communication surcharges may ap ply in certain areas including AK even during trial time Members may incu r telephone charges on their phone bill depending on location and calling plan even during trial time Offer is available to new members in the US age or older and a major credit card or checking account is required I MPORTANT You have registered to receive America Online through the bring your own access plan This means that you MUST access America Online via y our own Internet access provider This plan provides two FREE hours of conn ecting directly to America Online per month If you access America Online w ithout first connecting to your Internet access provider you will incur an alternate carrier surcharge of per hour after your FREE connect t i me Information for AOL Instant Messenger AIM registrants You received this Email based on your expressed interest in products and services offer ed by America Online Inc If you do not wish to receive any additional AIM promotions via Email simply click here You only need to send a blank E mail to unsubscribe IMAGE
<31844921.1075852797969.JavaMail.evans@thyme>,aimspecialoffers@offers.aol.com,2001-10-22 00:37:20,Special Offer for AOL Instant Messenger Membersimagesaolnewoffertitlegif imagesaoltrythegif imagesaolblueballsgif imagesaolallnewgif Dear kholsty Heres a special offer for AOL Instant Messenger AIM members only cgibinfloynJasYebCFJkAJ Be one of the first to try AllNew AOL and get Hours Free for days AOL is only available online cgibinfloynJasYebCFJlAK Here are just a few great reasons to try AllNew AOL for Hours Free for days cgibinfloynJasYebCFJmAL Builtin high speed broadband content Advanced Email and Instant Messaging Local news and information AOL Radio your favorite local radio stations online Exclusive AOL members only perks like the opportunity to get Madonna and other hot concert tickets before they go on sale free Six Flags tickets sneak peaks at blockbuster movies like Lord of the Rings and Harry Potter cgibinfloynJasYebCFJnAM Plus you can keep your AIM Screen Name and get Email at kholsty aolcom cgibinfloynJasYebCFJoAN Try AllNew AOL now for Hours FREE for days risk free Theres no credit card required and its only available online cgibinfloynJasYebCFJpAO imagesaolsignaturegif Allen Paine New Member Welcome Team PS Theres never been a better time to try AOL Get AllNew AOL for Hours Free for days cgibinfloynJasYebCFJqAP And tell your AIM buddies about this special offer just forward this special message to them imagesaolforgif cgibinfloynJasYebCFJrAQ imagesaolbottomgif imagesaolorangelinegif hour trial must be used within days of initial signon To avoid being charged a monthly fee simply cancel before trial period ends Premium services carry surcharges and communication surcharges may apply in certain areas including AK even during trial time Members may incur telephone charges on their phone bill depending on location and calling plan even during trial time Offer is available to new members in the US age or older and a major credit card or checking account is required Information for AOL Instant Messenger AIM registrants You received this Email based on your expressed interest in products and services offered by America Online Inc If you do not wish to receive any additional AIM promotions via Email simply click here mailto You only need to send a blank Email to unsubscribe cgibinflosensingyJasYebCFb
<32953176.1075854992266.JavaMail.evans@thyme>,aimspecialoffers@offers.aol.com,2001-10-22 03:16:04,Special Offer for AOL Instant Messenger Members IMAGE IMAGEIMAGE Dear Heres a special offer for AOL Instant Messenger AIM members only IMAGE Be one of the first to try AllNew AOL and ge t Hours Free for days AOL is only available online IMAGE Here are just a few great reasons to try AllNew AOL for Hours Fre e for daysIMAGE Builtin high speed broadband content Advanced Email and Instant Messaging Local news and information AOL Radio your favorite local radio stations online Exclusive AOL members only pe rks like the opportunity to get Madonna and other hot concert tickets befor e they go on sale free Six Flags tickets sneak peaks at blockbuster movie s like Lord of the Rings and Harry Potter IMAGE Plus you can keep your AIM Screen Name and get Email at aolcom IMAGE Try AllNew AOL now for Hours FREE for days risk free Theres no credit card required and its only available online IMAGE IMAGE Allen Paine New Member Welcome Team PS Theres never been a better time to try AOL G et AllNew AOL for Hours Free for days IMAGE And tell you r AIM buddies about this special offer just forward this special message to them IMAGE IMAGE IMAGE IMAGE hour trial must be used within days of initial signon To avoid being charged a monthly fee simply cancel before trial period ends Premium services carry surcharges and communication surcharges may apply i n certain areas including AK even during trial time Members may incur tel ephone charges on their phone bill depending on location and calling plan even during trial time Offer is available to new members in the US age or older and a major credit card or checking account is required Info rmation for AOL Instant Messenger AIM registrants You received this Ema il based on your expressed interest in products and services offered by Ame rica Online Inc If you do not wish to receive any additional AIM promotio ns via Email simply click here You only need to send a blank Email to unsubscribe IMAGE
<8393574.1075841411295.JavaMail.evans@thyme>,aimspecialoffers@offers.aol.com,2002-01-17 03:20:44,Special offer for AOL Instant Messenger MembersPST imagesaolcontrolspacergif imagesaolcontrolspacergif cgibinfloyhPJQSmfENNhAj imagesaolcontrolspacergif Dear pplatteena Switch to AOL and stay in touch with your family and friends this holiday season Now you can try AllNew AOL for Hours FREE for days Just click here cgibinfloyhPJQSmfENNhAj With AllNew AOL you can imagesaolcontrolbulltetgifGet Email at imagesaolcontrolbulltetgifKeep your Buddy List at your fingertips imagesaolcontrolbulltetgifSend Email with colors and pictures imagesaolcontrolbulltetgifEnjoy exclusive member perks imagesaolcontrolbulltetgifPLUS see if you qualify for AOL High Speed Broadband Click here cgibinfloyhPJQSmfENNhAj to get all this and more for Hours FREE for days Hurry Switch to AOL Today Thanks imagesaolcontrolsignaturegif Allen Paine New Member Welcome Team PS Take advantage of this special offer today Start your Hour FREE trial now cgibinfloyhPJQSmfENNhAj Share this special offer with your AIM buddies by forwarding this Email imagesaolcontrolbluelinegif hour free trial must be used within days of initial signon To avoid being charged a monthly fee simply cancel before trial period ends Premium services carry surcharges and communication surcharges may apply in certain areas including AK even during trial time Members may incur telephone charges on their phone bill depending on location and calling plan even during trial time Offer is available to new members in the US age or older and a major credit card or checking account is required Information for AOL Instant Messenger AIM registrants You received this Email based on your expressed interest in products and services offered by America Online Inc If you do not wish to receive any additional AIM promotions via Email simply click here mailto You only need to send a blank Email to unsubscribe cgibinflosensingyPJQSmfEN
<7614565.1075860722605.JavaMail.evans@thyme>,aimspecialoffers@offers.aol.com,2002-01-17 07:46:55,Special offer for AOL Instant Messenger Members IMAGE IMAGEIMAGE Dear bendover Heres a special offer for AOL Instant Messenger AIM members only IMAGE Be one of the first to try AllNew AOL and ge t Hours Free for days IMAGE Here are just a few great reasons to try AllNew AOL for Hours Free for daysIMAGE Builtin high speed broadband content Advanced Email and Instant Messaging Lo cal news and information AOL Radio your favorite local radio stations online Exclusive AOL members only perks like the opportunity to get ho t concert tickets before they go on sale and sneak peaks at blockbuster mov ies IMAGE Plus you can keep your AIM Screen Name and get Email at b endover aolcom IMAGE Try AllNew AOL now for Hours FRE E for days risk free No credit card required IMAGE IMAGE All en Paine New Member Welcome Team PS Theres never been a better time to try AOL Get AllNew AOL for Hours Free for days IMAGE And tell your AIM buddies about this special offer just forward this sp ecial message to them IMAGE IMAGE IMAGE IMAGE hour free trial must be used within days of initial signon To avoid being charged a monthly fee simply cancel before trial period e nds Premium services carry surcharges and communication surcharges may ap ply in certain areas including AK even during trial time Members may incu r telephone charges on their phone bill depending on location and calling plan even during trial time Offer is available to new members in the US age or older and a major credit card or checking account is required I MPORTANT You have registered to receive America Online through the bring your own access plan This means that you MUST access America Online via y our own Internet access provider This plan provides two FREE hours of conn ecting directly to America Online per month If you access America Online w ithout first connecting to your Internet access provider you will incur an alternate carrier surcharge of per hour after your FREE connect t i me Information for AOL Instant Messenger AIM registrants You received this Email based on your expressed interest in products and services offer ed by America Online Inc If you do not wish to receive any additional AIM promotions via Email simply click here You only need to send a blank E mail to unsubscribe IMAGE
<32671494.1075841499385.JavaMail.evans@thyme>,aimspecialoffers@offers.aol.com,2002-01-17 08:29:48,Special offer for AOL Instant Messenger MembersPST imagesaolnewofferti tlegif imagesaol trythegif imagesaolblueballsg if imagesaolalln ewgif Dear holdenoo Heres a special offer for AOL Instant Messenger AIM members only cgibinfloyDnPKCdRMEKNiA o Be one of the first to try AllNew AOL and get Hours Free for d ays cgibinfloyDnPKCdRMEKNiAo Here are just a few great reasons to try AllNew AOL for Hours Fre e for days cgibinfloyDnPKCdRMEKNiAo Builtin high speed broadband content Advanced Email and Instant Messaging Local news and information AOL Radio your favorite local radio stations online Exclusive AOL members only perks like the opportunity to get hot concert ti ckets before they go on sale and sneak peaks at blockbuster movies http offersaolcomcgibinfloyDnPKCdRMEKNiAo Plus you can keep your AIM Screen Name and get Email at holdenoo aolco m cgibinfloyDnPKCdRMEKNiAo Try AllNew AOL now for Hours FREE for days risk free No c redit card required cgibinfloyDnPKCdRMEK NiAo imagesaolsignaturegif Allen Paine New Member Welcome Team PS Theres never been a better time to try AOL Get AllNew AOL for Hours Free for days cgibinfloyDnPK CdRMEKNiAo And tell your AIM buddies about this special offer just forward this sp ecial message to them imagesaolforgi f cgibinfloyDnPKCdRMEKNiAo imagesaolbottomgif imagesaolorangelinegif hour free trial must be used within days of initial signon To av oid being charged a monthly fee simply cancel before trial period ends Pr emium services carry surcharges and communication surcharges may apply in certain areas including AK even during trial time Members may incur telep hone charges on their phone bill depending on location and calling plan e ven during trial time Offer is available to new members in the US age or older and a major credit card or checking account is required IMPORTAN T You have registered to receive America Online through the bring your ow n access plan This means that you MUST access America Online via your own Internet access provider This plan provides two FREE hours of connecting directly to America Online per month If you access America Online without first connecting to your Internet access provider you will incur an altern ate carrier surcharge of per hour after your FREE connect t ime Information for AOL Instant Messenger AIM registrants You received this Email based on your expressed interest in products and s ervices offered by America Online Inc If you do not wish to receive any a dditional AIM promotions via Email simply click here mailtounsubscribe offersaolcom You only need to send a blank Email to unsubscribe cgibinflosensingyDPKCdRMEK
<26836661.1075858936158.JavaMail.evans@thyme>,aimspecialoffers@offers.aol.com,2001-10-22 00:59:52,AIM members Enter to win a FREE trip to New ZealandIMAGE Dear txsscott Heres a magical offer for AOL Instant Messenger AIM members become a part of the Legend when you enter to win one of seve n trips to the New Zealand premiere of The Lord of the Rings movie To en ter simply try AllNew AOL for Hours Free for days Theres n ever been a better time to try AOL AOL is only available online Cl ick here IMAGE Aside from the chance to win a trip to The Lord of the Rings premiere in New Zealand where the movie was made here are some othe r great reasons to try AllNew AOL IMAGE Builtin high speed bro adband content Powerful Email and Instant Messaging features AOL Radi o your favorite local radio stations online Plus you can keep your A IM Screen Name and get Email at txsscott aolcom To join AllNew AOL and The Lord of the Rings excitement Click here IMAGE So what are you waiting for Try AllNew AOL for Hours FREE for days and yo u could win a trip to New Zealand for The Lord of the Rings movie premiere Click here IMAGE IMAGE Allen Paine New Member Welcome Team PS Get the chance to win a trip to The Lord of the Rings movie premiere in Ne w Zealand plus AllNew AOL for Hours Free for days Click h ere IMAGE IMAGE hour trial must be used within days of in itial signon To avoid being charged a monthly fee simply cancel before t rial period ends Premium services carry surcharges and communication surc harges may apply in certain areas including AK even during trial time Mem bers may incur telephone charges on their phone bill depending on location and calling plan even during trial time Offer is available to new member s in the US age or older and a major credit card or checking account i s required Sweepstakes details No purchase necessary Void where prohibit ed Open to US residents or older Sweepstakes runs from to For complete Official Rules including entry methods and prize det ails click on a link aboveInformation for AOL Instant Messenger AIM reg istrantsYou received this Email based on your expressed interest in produ cts and services offered by America Online Inc If you do not wish to rec eive any additional AIM promotions via Email simply click here You onl y need to send a blank Email to unsubscribe IMAGE
<30834689.1075841548891.JavaMail.evans@thyme>,aimspecialoffers@offers.aol.com,2002-01-17 03:03:09,Special offer for AOL Instant Messenger MembersPST imagesaolcontrolspacergif imagesaolcontrolspacergif cgibinfloynPJNKPlENNhAB imagesaolcontrolspacergif Dear caraenron Switch to AOL and stay in touch with your family and friends this holiday season Now you can try AllNew AOL for Hours FREE for days Just click here cgibinfloynPJNKPlENNhAB With AllNew AOL you can imagesaolcontrolbulltetgifGet Email at imagesaolcontrolbulltetgifKeep your Buddy List at your fingertips imagesaolcontrolbulltetgifSend Email with colors and pictures imagesaolcontrolbulltetgifEnjoy exclusive member perks imagesaolcontrolbulltetgifPLUS see if you qualify for AOL High Speed Broadband Click here cgibinfloynPJNKPlENNhAB to get all this and more for Hours FREE for days Hurry Switch to AOL Today Thanks imagesaolcontrolsignaturegif Allen Paine New Member Welcome Team PS Take advantage of this special offer today Start your Hour FREE trial now cgibinfloynPJNKPlENNhAB Share this special offer with your AIM buddies by forwarding this Email imagesaolcontrolbluelinegif hour free trial must be used within days of initial signon To avoid being charged a monthly fee simply cancel before trial period ends Premium services carry surcharges and communication surcharges may apply in certain areas including AK even during trial time Members may incur telephone charges on their phone bill depending on location and calling plan even during trial time Offer is available to new members in the US age or older and a major credit card or checking account is required Information for AOL Instant Messenger AIM registrants You received this Email based on your expressed interest in products and services offered by America Online Inc If you do not wish to receive any additional AIM promotions via Email simply click here mailto You only need to send a blank Email to unsubscribe cgibinflosensingyPJNKPlENS
<14505601.1075840034059.JavaMail.evans@thyme>,aimspecialoffers@offers.aol.com,2002-01-17 08:41:28,Special offer for AOL Instant Messenger Membersimagesaol trythegif imagesaolblueballsg if imagesaolalln ewgif Dear swerzbena Heres a special offer for AOL Instant Messenger AIM members only cgibinfloyDnPKpKLEKNiAm Be one of the first to try AllNew AOL and get Hours Free for d ays cgibinfloyDnPKpKLEKNiAm Here are just a few great reasons to try AllNew AOL for Hours Fre e for days cgibinfloyDnPKpKLEKNiAm Builtin high speed broadband content Advanced Email and Instant Messaging Local news and information AOL Radio your favorite local radio stations online Exclusive AOL members only perks like the opportunity to get hot concert ti ckets before they go on sale and sneak peaks at blockbuster movies http offersaolcomcgibinfloyDnPKpKLEKNiAm Plus you can keep your AIM Screen Name and get Email at swerzbena aolco m cgibinfloyDnPKpKLEKNiAm Try AllNew AOL now for Hours FREE for days risk free No c redit card required cgibinfloyDnPKpKLEK NiAm imagesaolsignaturegif Allen Paine New Member Welcome Team PS Theres never been a better time to try AOL Get AllNew AOL for Hours Free for days cgibinfloyDnPK pKLEKNiAm And tell your AIM buddies about this special offer just forward this sp ecial message to them imagesaolforgi f cgibinfloyDnPKpKLEKNiAm imagesaolbottomgif imagesaolorangelinegif hour free trial must be used within days of initial signon To av oid being charged a monthly fee simply cancel before trial period ends Pr emium services carry surcharges and communication surcharges may apply in certain areas including AK even during trial time Members may incur telep hone charges on their phone bill depending on location and calling plan e ven during trial time Offer is available to new members in the US age or older and a major credit card or checking account is required IMPORTAN T You have registered to receive America Online through the bring your ow n access plan This means that you MUST access America Online via your own Internet access provider This plan provides two FREE hours of connecting directly to America Online per month If you access America Online without first connecting to your Internet access provider you will incur an altern ate carrier surcharge of per hour after your FREE connect t ime Information for AOL Instant Messenger AIM registrants You received this Email based on your expressed interest in products and s ervices offered by America Online Inc If you do not wish to receive any a dditional AIM promotions via Email simply click here mailtounsubscribe offersaolcom You only need to send a blank Email to unsubscribe cgibinflosensingyDPKpKLEK
<31650379.1075852860761.JavaMail.evans@thyme>,aimspecialoffers@offers.aol.com,2001-10-22 00:40:18,Special Offer for AOL Instant Messenger Members IMAGE IMAGEIMAGE Dear kimward Heres a special offer for AOL Instant Messenger AIM members only IMAGE Be one of the first to try AllNew AOL and ge t Hours Free for days AOL is only available online IMAGE Here are just a few great reasons to try AllNew AOL for Hours Fre e for daysIMAGE Builtin high speed broadband content Advanced Email and Instant Messaging Local news and information AOL Radio your favorite local radio stations online Exclusive AOL members only pe rks like the opportunity to get Madonna and other hot concert tickets befor e they go on sale free Six Flags tickets sneak peaks at blockbuster movie s like Lord of the Rings and Harry Potter IMAGE Plus you can keep your AIM Screen Name and get Email at kimward aolcom IMAGE Try AllNe w AOL now for Hours FREE for days risk free Theres no cre dit card required and its only available online IMAGE IMAGE Allen P aine New Member Welcome Team PS Theres never been a better time to t ry AOL Get AllNew AOL for Hours Free for days IMAGE And tell your AIM buddies about this special offer just forward this specia l message to them IMAGE IMAGE IMAGE IMAGE hour trial must be used within days of initial signon To avoid being charged a monthly fee simply cancel before trial period ends Premium services carry surcharges and communication surcharges may apply i n certain areas including AK even during trial time Members may incur tel ephone charges on their phone bill depending on location and calling plan even during trial time Offer is available to new members in the US age or older and a major credit card or checking account is required Info rmation for AOL Instant Messenger AIM registrants You received this Ema il based on your expressed interest in products and services offered by Ame rica Online Inc If you do not wish to receive any additional AIM promotio ns via Email simply click here You only need to send a blank Email to unsubscribe IMAGE
