Message_id,From,Time_stamp,Text
<29449176.1075861745544.JavaMail.evans@thyme>,boba@energy.ca.gov,2001-11-15 14:28:46,METCALFLIST Commission Business Meeting Agenda Item on Metcalf Energy CenterPlease note that the Energy Commission Special Business Meeting scheduled for November contains an item relating to the Metcalf Power Plant Project The notice and agenda for that meeting can be found at businessmeetingsagendasagendahtml Bob Aldrich Do your part to help during Californias Electricity Crisis Set your computer and monitor to go to sleep or energy saver mode during the business day And turn your computer and monitor off at the power strip or surge protector when you leave at the end of the day or over the weekend To learn more about what you can do go to Bob Aldrich Web Development Team California Energy Commission To unsubscribe from this list please go to listservers Or simply send an email to and in the body of the email type in unsubscribe name of this list 
<30075615.1075861749058.JavaMail.evans@thyme>,boba@energy.ca.gov,2001-11-20 14:02:41,ELECTRICITYLIST Energy Commission News Release on Electricity Forecast NEWS RELEASE FROM THE CALIFORNIA ENERGY COMMISSION For Immediate Release November News Media Contact Claudia Chandler Summer Electricity Forecast Calls Upon Continued Conservation and New Power Plants To Get California through Next Summer The California Energy Commission forecasts that the State would have adequate supplies of electricity to meet next summers electricity demand as long as planned power plants are built and current levels of conservation continue The Monthly Electricity Forecast projected electricity supplies and demand over the next nine months While the report assumes that the market will function normally price spikes continue to be a concern if electricity supplies are tight Energy conservation efforts by consumers and businesses played a critical role in helping the State avoid blackouts this past summer Clearly the States million investment in energy efficiency including the voluntary conservation efforts achieved through the Governors Flex Your Power public awareness campaign and utility rebate program were key contributors to reducing electricity demand last summer An important question in forecasting electricity demand is how much of last summers conservation efforts will continue next summer If summer conservation efforts stay the same or decline only moderately the State should have adequate electricity supplies to meet demand July may present the most challenging month for the States supply and demand balance next summer The Energy Commission projects a supply surplus of approximately megawatts including new generation of megawatts expected on line by July In an emergency declared by the Independent System Operator there are also an additional megawatts of electricity that could be available from large users participating in interruptibleemergency demand responsive programs A key concern continues to be whether there are adequate electricity supplies for all regions of the State This overall statewide supply and demand electricity balance does not however focus on the problem of local area reliability issues Problems with transmission line congestion and generation in a specific region could result in constrained supplies and local distribution problems To meet Californias electricity crisis the Governor established Emergency Executive Orders that streamlined the licensing of new power plants and encouraged new generation from a variety of sources to meet Summer electricity demand Twelve Energy Commission licensed power plants including ten simple cycle units added megawatts of new generation to the States electricity system this year There also was an additional megawatts of new generation available from restarting andor boosting generation from existing power plants adding new renewable energy facilities and new power plants that were licensed by local jurisdictions The Joint Legislative Audit Committee requested the Commissions electricity supply and demand analysis for the summers of through The Monthly Electricity Forecast California SupplyDemand Capacity Balances for January September and the California Summer Electricity Outlook for provide the analysis and assumptions used in responding to the Committees request The reports will be presented at the Joint Legislative Audit Committee hearing at am on November Both reports are available at the Energy Commissions web site wwwenergycagovreports Do your part to help during Californias Electricity Crisis Set your computer and monitor to go to sleep or energy saver mode during the business day And turn your computer and monitor off at the power strip or surge protector when you leave at the end of the day or over the weekend To learn more about what you can do go to Bob Aldrich Web Development Team California Energy Commission To unsubscribe from this list please go to listservers Or simply send an email to and in the body of the email type in unsubscribe name of this list 
<16901043.1075861749080.JavaMail.evans@thyme>,boba@energy.ca.gov,2001-11-20 14:42:29,NEWSRELEASESLIST Two Community Calendar items and Media AdvisoryThree items are on line on our News Releases page please go to releases Media Advisory on Energy Commission scheduling an informational hearing and site visit for proposed Roseville Power Plant Project on November A Community calendar announcement of site visit and data request and issues workshop for the proposed Roseville Power Plant Project Community calendar announcement of a project status hearing on November for the Colusa Power Plant Project Bob Aldrich Do your part to help during Californias Electricity Crisis Set your computer and monitor to go to sleep or energy saver mode during the business day And turn your computer and monitor off at the power strip or surge protector when you leave at the end of the day or over the weekend To learn more about what you can do go to Bob Aldrich Web Development Team California Energy Commission To unsubscribe from this list please go to listservers Or simply send an email to and in the body of the email type in unsubscribe name of this list 
<1293341.1075855256850.JavaMail.evans@thyme>,boba@energy.ca.gov,2001-12-26 16:57:18,ELSEGUNDOLIST Data Request Response El Segundo Licensing CaseThe applicants response to Data Requests Set in El Segundo Power Plant case are available Please check under the applicants files section at sitingcaseselsegundodocuments Happy Holidays Bob Aldrich Do your part to help during Californias Electricity Crisis Set your computer and monitor to go to sleep or energy saver mode during the business day And turn your computer and monitor off at the power strip or surge protector when you leave at the end of the day or over the weekend To learn more about what you can do go to Bob Aldrich Web Development Team California Energy Commission To unsubscribe from this list please go to listservers Or simply send an email to and in the body of the email type in unsubscribe name of this list 
<17433008.1075855252339.JavaMail.evans@thyme>,boba@energy.ca.gov,2001-12-18 16:53:57,NEWSRELEASESLIST News Release Energy Commission Staff Completes Assessment ofHenrietta Power Project NEWS RELEASE FROM THE CALIFORNIA ENERGY COMMISSION For immediate release DECEMBER Media Contact CHRIS DAVIS Energy Commission Staff Completes Assessment of Henrietta Power Project Sacramento The California Energy Commission staff has released its Staff Assessment outlining the conditions that should apply to the design construction operation and closure of the proposed Henrietta Peaker Power Plant if the Commission approves the project The Staff Assessment can be viewed on the Energy Commissions website at wwwenergycagovsitingcaseshenriettadocuments The document includes the Energy Commission staffs comprehensive analyses of the megawatt simplecycle power plant proposed by GWF Energy LLC The facility is planned for a sevenacre site near Lemoore in unincorporated Kings County The project would consist of the power plant a kilovolt switchyard and approximately feet of new transmission line Natural gas for the project will be delivered through approximately miles of new pipeline The Staff Assessment is a staff document not a Commission decision This assessment was prepared by Commission staff in accordance with the Public Resources Code and the California Environmental Quality Act The Commission will hold a Prehearing Conference on Friday January at the Energy Commission in Sacramento If the Committee determines that all potential issues are uncontested the Committee will convene an Evidentiary Hearing immediately following the Prehearing Conference If any matter is contested the Committee will hold an Evidentiary Hearing on January The purpose of these open and publicly noticed meetings is to allow members of the public to participate in the power plant certification process To find out how to get involved contact the Energy Commissions Public Adviser Roberta Mendonca at toll free at or by email at Do your part to help during Californias Electricity Crisis Set your computer and monitor to go to sleep or energy saver mode during the business day And turn your computer and monitor off at the power strip or surge protector when you leave at the end of the day or over the weekend To learn more about what you can do go to Bob Aldrich Web Development Team California Energy Commission To unsubscribe from this list please go to listservers Or simply send an email to and in the body of the email type in unsubscribe name of this list 
<28398625.1075855253611.JavaMail.evans@thyme>,boba@energy.ca.gov,2001-12-19 10:39:19,TRANSPORTATIONLIST Program Plan AvailableThe Program Plan for the California Strategy to Reduce Petroleum Dependence is now available on our website as an Acrobat PDF file and Word document Please go to fuelspetroleumdependencedocuments Bob Aldrich Do your part to help during Californias Electricity Crisis Set your computer and monitor to go to sleep or energy saver mode during the business day And turn your computer and monitor off at the power strip or surge protector when you leave at the end of the day or over the weekend To learn more about what you can do go to Bob Aldrich Web Development Team California Energy Commission To unsubscribe from this list please go to listservers Or simply send an email to and in the body of the email type in unsubscribe name of this list 
<10940221.1075855253798.JavaMail.evans@thyme>,boba@energy.ca.gov,2001-12-19 17:36:28,ELECTRICITYLIST New Energy Commission PublicationNew publication available Energy Conservation and Supply Response Publication F To download please go to reports Bob Aldrich Do your part to help during Californias Electricity Crisis Set your computer and monitor to go to sleep or energy saver mode during the business day And turn your computer and monitor off at the power strip or surge protector when you leave at the end of the day or over the weekend To learn more about what you can do go to Bob Aldrich Web Development Team California Energy Commission To unsubscribe from this list please go to listservers Or simply send an email to and in the body of the email type in unsubscribe name of this list 
<27573847.1075855253821.JavaMail.evans@thyme>,boba@energy.ca.gov,2001-12-19 17:32:22,MORROBAYLIST Morro Bay Part of Final Staff AssessmentPlease note that the document title listed in an earlier email was incorrect The document placed on line today for the Morro Bay project is Part of the Final Staff Assessment of the proposed project We apologize for the confusion It can be found on the Morro Bay documents page at sitingcasesmorrobaydocuments Bob Aldrich Do your part to help during Californias Electricity Crisis Set your computer and monitor to go to sleep or energy saver mode during the business day And turn your computer and monitor off at the power strip or surge protector when you leave at the end of the day or over the weekend To learn more about what you can do go to Bob Aldrich Web Development Team California Energy Commission To unsubscribe from this list please go to listservers Or simply send an email to and in the body of the email type in unsubscribe name of this list 
<324427.1075861441629.JavaMail.evans@thyme>,boba@energy.ca.gov,2001-11-20 14:42:29,NEWSRELEASESLIST Two Community Calendar items and Media AdvisoryThree items are on line on our News Releases page please go to releases Media Advisory on Energy Commission scheduling an informational hearing and site visit for proposed Roseville Power Plant Project on November A Community calendar announcement of site visit and data request and issues workshop for the proposed Roseville Power Plant Project Community calendar announcement of a project status hearing on November for the Colusa Power Plant Project Bob Aldrich Do your part to help during Californias Electricity Crisis Set your computer and monitor to go to sleep or energy saver mode during the business day And turn your computer and monitor off at the power strip or surge protector when you leave at the end of the day or over the weekend To learn more about what you can do go to Bob Aldrich Web Development Team California Energy Commission To unsubscribe from this list please go to listservers Or simply send an email to and in the body of the email type in unsubscribe name of this list 
<3526773.1075861442020.JavaMail.evans@thyme>,boba@energy.ca.gov,2001-11-20 14:02:41,NEWSRELEASESLIST Energy Commission News Release on Electricity Forecast NEWS RELEASE FROM THE CALIFORNIA ENERGY COMMISSION For Immediate Release November News Media Contact Claudia Chandler Summer Electricity Forecast Calls Upon Continued Conservation and New Power Plants To Get California through Next Summer The California Energy Commission forecasts that the State would have adequate supplies of electricity to meet next summers electricity demand as long as planned power plants are built and current levels of conservation continue The Monthly Electricity Forecast projected electricity supplies and demand over the next nine months While the report assumes that the market will function normally price spikes continue to be a concern if electricity supplies are tight Energy conservation efforts by consumers and businesses played a critical role in helping the State avoid blackouts this past summer Clearly the States million investment in energy efficiency including the voluntary conservation efforts achieved through the Governors Flex Your Power public awareness campaign and utility rebate program were key contributors to reducing electricity demand last summer An important question in forecasting electricity demand is how much of last summers conservation efforts will continue next summer If summer conservation efforts stay the same or decline only moderately the State should have adequate electricity supplies to meet demand July may present the most challenging month for the States supply and demand balance next summer The Energy Commission projects a supply surplus of approximately megawatts including new generation of megawatts expected on line by July In an emergency declared by the Independent System Operator there are also an additional megawatts of electricity that could be available from large users participating in interruptibleemergency demand responsive programs A key concern continues to be whether there are adequate electricity supplies for all regions of the State This overall statewide supply and demand electricity balance does not however focus on the problem of local area reliability issues Problems with transmission line congestion and generation in a specific region could result in constrained supplies and local distribution problems To meet Californias electricity crisis the Governor established Emergency Executive Orders that streamlined the licensing of new power plants and encouraged new generation from a variety of sources to meet Summer electricity demand Twelve Energy Commission licensed power plants including ten simple cycle units added megawatts of new generation to the States electricity system this year There also was an additional megawatts of new generation available from restarting andor boosting generation from existing power plants adding new renewable energy facilities and new power plants that were licensed by local jurisdictions The Joint Legislative Audit Committee requested the Commissions electricity supply and demand analysis for the summers of through The Monthly Electricity Forecast California SupplyDemand Capacity Balances for January September and the California Summer Electricity Outlook for provide the analysis and assumptions used in responding to the Committees request The reports will be presented at the Joint Legislative Audit Committee hearing at am on November Both reports are available at the Energy Commissions web site wwwenergycagovreports Do your part to help during Californias Electricity Crisis Set your computer and monitor to go to sleep or energy saver mode during the business day And turn your computer and monitor off at the power strip or surge protector when you leave at the end of the day or over the weekend To learn more about what you can do go to Bob Aldrich Web Development Team California Energy Commission To unsubscribe from this list please go to listservers Or simply send an email to and in the body of the email type in unsubscribe name of this list 
