Message_id,From,Time_stamp,Text
<14078449.1075852692211.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-09 05:16:21,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<32928771.1075852692999.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-09 11:06:36,Nat Gas intraday update for Attached please find a follow up to todays Natural Gas market analysis Thanks Bob McKinney Nat Gas intraday updatedoc
<11464798.1075852693685.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-10 05:26:52,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<6497866.1075852695101.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-11 05:31:54,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<3541921.1075852696004.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-12 05:27:30,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<17766388.1075852688878.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-05 05:33:09,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<20982045.1075852696869.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-15 05:17:04,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<11270739.1075852697498.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-16 08:54:24,Nat Gas intraday update for Attached please find a follow up to todays Natural Gas market analysis Thanks Bob McKinney Nat Gas intraday updatedoc
<23358656.1075852697685.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-16 05:05:16,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<29158434.1075852701046.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-22 05:19:26,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<19408894.1075852702611.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-23 05:19:17,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<22661530.1075852702634.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-23 08:29:45,Nat Gas intraday update for Attached please find a follow up to todays Natural Gas market analysis Thanks Bob McKinney Nat Gas intraday updatedoc
<13939138.1075852704319.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-24 05:03:54,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<33359404.1075852705930.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-25 05:25:33,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<2642749.1075852707808.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-26 05:19:06,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<25133078.1075852708795.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-29 05:02:26,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<24893282.1075861663948.JavaMail.evans@thyme>,capstone@ktc.com,2001-11-19 05:21:51,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<6305390.1075852690286.JavaMail.evans@thyme>,capstone@ktc.com,2001-10-08 05:30:56,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<26800850.1075861664731.JavaMail.evans@thyme>,capstone@ktc.com,2001-11-20 05:08:49,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<3665081.1075861665367.JavaMail.evans@thyme>,capstone@ktc.com,2001-11-21 05:11:15,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
<21474933.1075861665777.JavaMail.evans@thyme>,capstone@ktc.com,2001-11-21 11:25:27,AGA summary for Attached please find this weeks AGA summary Thanks Bob McKinney AGAdoc
<16134306.1075861669316.JavaMail.evans@thyme>,capstone@ktc.com,2001-11-26 04:56:36,Nat Gas market analysis for Attached please find the Natural Gas market analysis for today Thanks Bob McKinney Nat Gasdoc
