Message_id,From,Time_stamp,Text
<3086759.1075842215300.JavaMail.evans@thyme>,corporate.benefits@enron.com,2000-01-14 10:03:00,Transportation Spending Account Reimbursement FormsTransportation Desk recently issued receipts for Januarys Parking and Mass Transit expenses deducted from employee paychecks The form needed for reimbursement under the Transportation Spending Account program is available at the Enron Building Transportation Desk rd floor and Corporate Benefits th floor The form will also be available on the Benefits web site shortly Your reimbursement request should be sent to Aon Consulting Flex Administration PO Box Winston Salem NC 
<29492101.1075842268452.JavaMail.evans@thyme>,corporate.benefits@enron.com,2000-01-14 10:03:00,Transportation Spending Account Reimbursement FormsTransportation Desk recently issued receipts for Januarys Parking and Mass Transit expenses deducted from employee paychecks The form needed for reimbursement under the Transportation Spending Account program is available at the Enron Building Transportation Desk rd floor and Corporate Benefits th floor The form will also be available on the Benefits web site shortly Your reimbursement request should be sent to Aon Consulting Flex Administration PO Box Winston Salem NC 
<27088700.1075852107111.JavaMail.evans@thyme>,corporate.benefits@enron.com,2001-10-23 01:28:00,To All Domestic Employees who Participate in the Enron Corp Savings PlanOctober is fast approaching Mark your calendar as the Enron Corp Savings Plan moves to a new administrator As a Savings Plan Participant Friday October at pm CST will be your last day to Transfer Investment Fund Balances and make Contribution Allocation Changes Change your Contribution Rate for the November th payroll deductions Enroll if you were hired before October TWO important reminders Vanguard Lifestrategy investment options are being replaced with Fidelity Freedom funds and Your funds will remain invested in the funds chosen as of pm CST until am November At am CST November the Savings Plan system reopens with great new features Should you need assistance during the transition period call ext and press Option This option will be available from am CST October until pm CST November Enron Benefits keeping pace with your lifestyle
<6794554.1075859514680.JavaMail.evans@thyme>,corporate.benefits@enron.com,2000-01-14 10:03:00,Transportation Spending Account Reimbursement FormsTransportation Desk recently issued receipts for Januarys Parking and Mass Transit expenses deducted from employee paychecks The form needed for reimbursement under the Transportation Spending Account program is available at the Enron Building Transportation Desk rd floor and Corporate Benefits th floor The form will also be available on the Benefits web site shortly Your reimbursement request should be sent to Aon Consulting Flex Administration PO Box Winston Salem NC 
<14878613.1075859545857.JavaMail.evans@thyme>,corporate.benefits@enron.com,2000-01-14 10:03:00,Transportation Spending Account Reimbursement FormsTransportation Desk recently issued receipts for Januarys Parking and Mass Transit expenses deducted from employee paychecks The form needed for reimbursement under the Transportation Spending Account program is available at the Enron Building Transportation Desk rd floor and Corporate Benefits th floor The form will also be available on the Benefits web site shortly Your reimbursement request should be sent to Aon Consulting Flex Administration PO Box Winston Salem NC 
<18292147.1075844314781.JavaMail.evans@thyme>,corporate.benefits@enron.com,1999-07-22 10:57:00,Enron Corp Common Stock for Splitweek Enron Corp announced a for stock split of its common shares for shareholders of record on July This means that each sharehold er will receive one additional share for every share owned The anticipation of the impending stock split has resulted in a number of questions from employees The answers to some of the most frequently asked questions concerning the stock split and how it will affect your stock holdings are listed below What is a stock split A stock split is an increase in the number of shares of Company stock witho ut a change in shareholders equity or in the aggregate market value at the time of the split For example one share of stock with a value of will be converted to two shares of stock with a value of per share The Compan y s total number of outstanding shares will double when the for split becomes effective What is the effective date of the stock split The split will be effective August On August the first business da y following the split the opening market price of Enron Corp common stock will be roughly half of the August closing price How will the stock split affect my stock holdings Stock Options If you have stock options you will continue to hold options with an equivalent value after the split If you have options at a grant pri ce of after the split you will hold options at an adjusted grant price of The vesting provisions and the option term will not chang e Savings PlanESOPPhantom StockRestricted Stock If you hold shares of Enron Corp common stock or phantom stock through a Companysponsored plan including holdings in the Employee Stock Ownership Program ESOP and the Savings Plan the shares in your accounts will double For example if you hold shares in your ESOP account you will hold following the effective date of the split And if you hold share s with a value of in your Savings Plan account on August the value of your investment will remain essentially unchanged when the market opens on August the first business day following the split The number of shar es reported on your rd quarter Savings Plan statement will reflect the stock split Other Personal Holdings If you own shares outright and hold the stock certificates you will receiv e new stock certificates Our transfer agent First Chicago Trust Company will mail stock certificates to shareholders of record on or around August Your certificate will be mailed to the address on file with our transf er agent which is the address where you received your latest dividend check To correct your address contact First Chicago Trust Company directly at If your stock is held in a brokerage account the shares will be sent directly to your broker Note that if you sell your shares between July and August the buyer of the stock is entitled to the split shares How will the dividend rate apply to the postsplit shares The current annual dividend rate is per common share On a postspli t basis the annual dividend rate will be per common share If you have any questions concerning how the split will affect your Stock Plan holdings contact Corporate Compensation ESOP and Savings Plan questions should be directed to Corporate Benefits or your human resources representative
<10771562.1075844332407.JavaMail.evans@thyme>,corporate.benefits@enron.com,1999-12-08 10:03:00,Summary Annual ReportsBenefit Plans Summary Annual Report The basic financial and insurance information along with file attached provides a Summary Annual Report for the Enron Benefit Plans The annual report for each plan has been filed with the Internal Revenue Service as required by the Employee Retirement Income Security Act of ERISA NOTE You may receive a report for a benefit plan in which you are not a participant or under which you are not entitled Entitlement to benefits under any of the plans is based on the provisions of each plan Your Rights to Additional Information You have the right to receive upon request a copy of the full annual report or any part thereof for any plan For insured plans insurance information including any sales commissions paid by insurance carriers is shown in the annual reports To obtain a copy of the full annual report or any part thereof for any plan write or call Enron Corp Smith Street Houston TX You also have the right to receive from the plan administrator on request and at no charge a statement of the assets and liabilities of the plan and accompanying notes or a statement of income and expenses of the plan and accompanying notes or both If you request a copy of the full annual report from the plan administrator these two statements and accompanying notes will be included as part of that report You also have the legally protected right to examine the annual report at the main office of the plan Enron Corp Smith Street Houston TX and at the US Department of Labor in Washington DC or to obtain a copy from the US Department of Labor upon payment of copying costs Requests to the Department should be addressed to Public Disclosure Room N Pension and Welfare Benefits Administration US Department of Labor Constitution Avenue NW Washington DC 
<28708951.1075844516383.JavaMail.evans@thyme>,corporate.benefits@enron.com,1999-12-08 10:03:00,Summary Annual ReportsBenefit Plans Summary Annual Report The basic financial and insurance information along with file attached provides a Summary Annual Report for the Enron Benefit Plans The annual report for each plan has been filed with the Internal Revenue Service as required by the Employee Retirement Income Security Act of ERISA NOTE You may receive a report for a benefit plan in which you are not a participant or under which you are not entitled Entitlement to benefits under any of the plans is based on the provisions of each plan Your Rights to Additional Information You have the right to receive upon request a copy of the full annual report or any part thereof for any plan For insured plans insurance information including any sales commissions paid by insurance carriers is shown in the annual reports To obtain a copy of the full annual report or any part thereof for any plan write or call Enron Corp Smith Street Houston TX You also have the right to receive from the plan administrator on request and at no charge a statement of the assets and liabilities of the plan and accompanying notes or a statement of income and expenses of the plan and accompanying notes or both If you request a copy of the full annual report from the plan administrator these two statements and accompanying notes will be included as part of that report You also have the legally protected right to examine the annual report at the main office of the plan Enron Corp Smith Street Houston TX and at the US Department of Labor in Washington DC or to obtain a copy from the US Department of Labor upon payment of copying costs Requests to the Department should be addressed to Public Disclosure Room N Pension and Welfare Benefits Administration US Department of Labor Constitution Avenue NW Washington DC 
<15664343.1075844516630.JavaMail.evans@thyme>,corporate.benefits@enron.com,1999-07-22 10:57:00,Enron Corp Common Stock for Splitweek Enron Corp announced a for stock split of its common shares for shareholders of record on July This means that each sharehold er will receive one additional share for every share owned The anticipation of the impending stock split has resulted in a number of questions from employees The answers to some of the most frequently asked questions concerning the stock split and how it will affect your stock holdings are listed below What is a stock split A stock split is an increase in the number of shares of Company stock witho ut a change in shareholders equity or in the aggregate market value at the time of the split For example one share of stock with a value of will be converted to two shares of stock with a value of per share The Compan y s total number of outstanding shares will double when the for split becomes effective What is the effective date of the stock split The split will be effective August On August the first business da y following the split the opening market price of Enron Corp common stock will be roughly half of the August closing price How will the stock split affect my stock holdings Stock Options If you have stock options you will continue to hold options with an equivalent value after the split If you have options at a grant pri ce of after the split you will hold options at an adjusted grant price of The vesting provisions and the option term will not chang e Savings PlanESOPPhantom StockRestricted Stock If you hold shares of Enron Corp common stock or phantom stock through a Companysponsored plan including holdings in the Employee Stock Ownership Program ESOP and the Savings Plan the shares in your accounts will double For example if you hold shares in your ESOP account you will hold following the effective date of the split And if you hold share s with a value of in your Savings Plan account on August the value of your investment will remain essentially unchanged when the market opens on August the first business day following the split The number of shar es reported on your rd quarter Savings Plan statement will reflect the stock split Other Personal Holdings If you own shares outright and hold the stock certificates you will receiv e new stock certificates Our transfer agent First Chicago Trust Company will mail stock certificates to shareholders of record on or around August Your certificate will be mailed to the address on file with our transf er agent which is the address where you received your latest dividend check To correct your address contact First Chicago Trust Company directly at If your stock is held in a brokerage account the shares will be sent directly to your broker Note that if you sell your shares between July and August the buyer of the stock is entitled to the split shares How will the dividend rate apply to the postsplit shares The current annual dividend rate is per common share On a postspli t basis the annual dividend rate will be per common share If you have any questions concerning how the split will affect your Stock Plan holdings contact Corporate Compensation ESOP and Savings Plan questions should be directed to Corporate Benefits or your human resources representative
<4748023.1075859901785.JavaMail.evans@thyme>,corporate.benefits@enron.com,2000-01-14 10:03:00,Transportation Spending Account Reimbursement FormsTransportation Desk recently issued receipts for Januarys Parking and Mass Transit expenses deducted from employee paychecks The form needed for reimbursement under the Transportation Spending Account program is available at the Enron Building Transportation Desk rd floor and Corporate Benefits th floor The form will also be available on the Benefits web site shortly Your reimbursement request should be sent to Aon Consulting Flex Administration PO Box Winston Salem NC 
