Message_id,From,Time_stamp,Text
<22696483.1075841331797.JavaMail.evans@thyme>,doctor@dictionary.com,2002-04-10 00:00:00,pellucid Dictionarycom Word of the Daypst You can balance both career and education with the University of Phoenix degree program which is online More working professionals attend the University of Phoenix than any other private university in the United States Learn more clkyuansangxiudezao a hrefclkyuansangxiudezao AOL users click herea Word of the Day for Wednesday April pellucid puhLOOsid adjective Transparent clear not opaque Easily understandable The prevailing atmosphere as one cruises Kukulcan Boulevard the busy strip where most of Cancuns hotels are clustered remains that of an Orlando or a Las Vegas dropped intact next to pellucid Caribbean waters Larry Rohter Whats Doing in Cancun New York Times March In her scrupulous and pellucid prose she appears to distance herself from the optimistic Californian light Cynthia Ozick What Writers Writers Write New York Times Magazine January Pellucid comes from Latin pellucidus shining transparent from pellucere to shine through from per through lucere to shine References librarymagazinehome You are currently subscribed to Dictionarycom Word of the Day as To subscribe to the list by email send a blank message to To unsubscribe via email send a blank message to Subscriptions can be turned on and off from the Web at wordofthedaylist Dictionarycom Word of the Day wordoftheday C by Lexico Publishing Group LLC
<8888120.1075841335371.JavaMail.evans@thyme>,doctor@dictionary.com,2002-03-11 01:55:26,nescience Dictionarycom Word of the Daypst BECOME A FOOL For stock ideas retireearly strategies and moneysaving tips Register for free with The Motley Fool Youll receive our Steps to Investing Foolishly guide free Plus access to our irreverent take on all things financial c a hrefc AOL users click here a Word of the Day for Monday March nescience NESHuhnts NESHeeuhnts noun Lack of knowledge or awareness ignorance The ancients understood that too much knowledge could actually impede human functioning this at a time when the encroachments on global nescience were comparatively few Cullen Murphy DNA Fatigue The Atlantic November He fought on our behalf in the war that finally matters against nescience against inadvertence against the supposition that anything is anything else Hugh Kenner On the Centenary of James Joyce New York Times January The notion has taken hold that every barometric fluctuation must demonstrate climate change This anecdotal case for global warming is mostly nonsense driven by nescience of a basic point from statistics and probability that the weather is always weird somewhere Gregg Easterbrook Warming Up The New Republic November Nescience is from Latin nescire not to know from ne not scire to know It is related to science Nescient is the adjective form References You are currently subscribed to Dictionarycom Word of the Day as To subscribe to the list by email send a blank message to To unsubscribe via email send a blank message to Subscriptions can be turned on and off from the Web at wordofthedaylist Dictionarycom Word of the Day wordoftheday C by Lexico Publishing Group LLC
<31866319.1075841335396.JavaMail.evans@thyme>,doctor@dictionary.com,2002-03-10 00:57:11,expatiate Dictionarycom Word of the Daypst Get BESTSELLERS FOR A FREE ATTACHE CASE with membership to The BookoftheMonth ClubR Save on your favorites Stephen King James Patterson Mary Higgins Clark John Grisham Amy Tan so many others Youll save on all the must read books Click for details c a hrefc AOL users click here a Word of the Day for Sunday March expatiate ekSPAYsheeayt intransitive verb To speak or write at length or in considerable detail To move about freely to wander He had told her all he had been asked to tellor all he meant to tell at any rate he had been given abundant opportunity to expatiate upon a young mans darling subjecthimself Henry Blake Fuller Bertram Copes Year At the midday meal on fair day a large one meat loaf boiled potato broccoli Mrs Lucas married to the man with the earache expatiates on the difficulties of caring for a parakeet her daughter has unloaded upon her and which let out of its cage for an airing has escaped through the door suddenly opened by Mr Lucas William H Pritchard Updike Americas Man of Letters His relationship with his family was for many years an unhappy one and he does not care to expatiate upon it Barbara La Fontaine Triple Threat On Off And OffOff Broadway New York Times February Expatiate is from Latin expatiari to walk or go far and wide from ex out spatiari to walk about from spatium space an open space a place for walking in References You are currently subscribed to Dictionarycom Word of the Day as To subscribe to the list by email send a blank message to To unsubscribe via email send a blank message to Subscriptions can be turned on and off from the Web at wordofthedaylist Dictionarycom Word of the Day wordoftheday C by Lexico Publishing Group LLC
<14939782.1075841335422.JavaMail.evans@thyme>,doctor@dictionary.com,2002-03-09 01:41:01,unctuous Dictionarycom Word of the Daypst Need money for college Use FastWebs free scholarship search to find information on more than scholarships Its easy and free Well match your background against our database of over scholarships And well update you when new scholarships matching your background are added to our database FastWeb is recommended by more than colleges and high schools ibdictionaryf A HREFibdictionaryf AOL users click hereA Word of the Day for Saturday March unctuous UNGKchoous adjective Of the nature or quality of an unguent or ointment fatty oily greasy Having a smooth greasy feel as certain minerals Insincerely or excessively suave or ingratiating in manner or speech marked by a false or smug earnestness or agreeableness A warmed crusty French roll arrives split lightly smeared with unctuous chopped liver John Kessler Meals To Go Break from the routine with Hong Atlanta Journal and Constitution October She recalled being offended by the phoniness that stemmed from the contradiction between her mothers charming even unctuous public manner and her anger in private Daniel Horowitz Betty Friedan And the Making of The Feminine Mystique He approached Sean wearing a smile so unctuous it seemed about to slide right off his face Naeem Murr The Boy Unctuous is from Medieval Latin unctuosus from Latin unctus anointed besmeared greasy past participle of unguere to anoint to besmear References partnersajc execobidosASINrefDnosimlexico execobidosASINrefDnosimlexico You are currently subscribed to Dictionarycom Word of the Day as To subscribe to the list by email send a blank message to To unsubscribe via email send a blank message to Subscriptions can be turned on and off from the Web at wordofthedaylist Dictionarycom Word of the Day wordoftheday C by Lexico Publishing Group LLC
<5111251.1075841335447.JavaMail.evans@thyme>,doctor@dictionary.com,2002-03-08 00:59:23,lenity Dictionarycom Word of the Daypst Do you have an idea to patent Click here for a FREE Inventors Kit from Inventors Helpline c a hrefc AOL users click here a Word of the Day for Friday March lenity LENuhtee noun The state or quality of being lenient mildness gentleness of treatment leniency The criminal suspect is pressured by remorse or hope of lenity or sheer despair to fess up Richard A Posner Let Them Talk The New Republic August In this context severity is justice lenity injustice Dr Anthony Daniels Its no way to treat a lunatic Sunday Telegraph December an excessive lenity toward criminals which encourages crime Richard A Posner The Moral Minority New York Times December And what makes robbers bold but too much lenity William Shakespeare Henry VI part III Lenity comes from Latin lenitas from lenis soft mild References You are currently subscribed to Dictionarycom Word of the Day as To subscribe to the list by email send a blank message to To unsubscribe via email send a blank message to Subscriptions can be turned on and off from the Web at wordofthedaylist Dictionarycom Word of the Day wordoftheday C by Lexico Publishing Group LLC
<20868998.1075841335495.JavaMail.evans@thyme>,doctor@dictionary.com,2002-03-07 01:46:23,malediction Dictionarycom Word of the Daypst Do you know whats on your credit report Find out with a FREE Equifax credit report FREE CreditCheck Monitoring Service trial Plus get valuable tools and tips for improving your credit rating Try it FREE today c a hrefc AOL users click here a Word of the Day for Thursday March malediction maluhDIKshun noun A curse or execration There Justice Minister Bola Ige confronted with the general incivility of local police placed a malediction on the cads Said the Hon Bola Ige I pray that God will make big holes in their pockets Sic Semper Tyrannis Oppressors Face Peoples Justice American Spectator May A conspiracy of infamy so black that when it is finally exposed its principals shall be forever deserving of the maledictions of all honest men Joseph McCarthy quoted in Venona Decoding Soviet Espionage in America by Harvey Klehr and John Earl Haynes Malediction comes from Latin maledictio from maledicere to speak ill to abuse from Latin male badly dicere to speak to say References execobidosASINrefDnosimlexico You are currently subscribed to Dictionarycom Word of the Day as To subscribe to the list by email send a blank message to To unsubscribe via email send a blank message to Subscriptions can be turned on and off from the Web at wordofthedaylist Dictionarycom Word of the Day wordoftheday C by Lexico Publishing Group LLC
<8989605.1075841335544.JavaMail.evans@thyme>,doctor@dictionary.com,2002-03-06 01:16:51,frisson Dictionarycom Word of the Daypst Warren Buffet calls Value Line An incredible value I dont know of another system thats as good It has outperformed the DOW by to over a year span that covers both bull and bear markets To try this legendary stockpicking system RISKFREE for the next Weeks CLICK BELOW c a hrefc AOL users click here a Word of the Day for Wednesday March frisson freeSOHN noun A moment of intense excitement a shudder an emotional thrill When we think a story hasnt been invented theres an extra frisson in reading it Too true Independent April As every parent knows children have a lovehate relationship with stories about monsters They love the frisson of hearing about such terrifying creatures as the Cyclops but hate to think about what they might do if they bumped into one Strange but true One in the eye for all those Homerphobes Daily Telegraph June When we stopped in traffic at the Plaza de la Cibeles on the Paseo del Prado where a grandiose thcentury statue of the goddess of fertility poised on a chariot seemed to be waiting for the light to change a little frisson of pleasure jolted through me because this part of Madrid reminded me of Paris Counting Pesetas in Madrid New York Times March Frisson comes from the French from Old French frion a trembling ultimately from Latin frigere to be cold References www You are currently subscribed to Dictionarycom Word of the Day as To subscribe to the list by email send a blank message to To unsubscribe via email send a blank message to Subscriptions can be turned on and off from the Web at wordofthedaylist Dictionarycom Word of the Day wordoftheday C by Lexico Publishing Group LLC
<26252622.1075841335569.JavaMail.evans@thyme>,doctor@dictionary.com,2002-03-05 00:00:01,extol Dictionarycom Word of the Daypst Word Freak Heartbreak Triumph Genius and Obsession in the World of Competitive Scrabble Players An engrossing inside look at the strange and rarefied world of competitive Scrabble Its a pleasure to experience vicariously a level of play that Ill never achieve Will Shortz New York Times Crossword Editor and Puzzle Master of NPRs Weekend Edition Sunday On sale now at Amazoncom execobidosASINrefDnosimlexico Word of the Day for Tueday March extol ikSTOHL transitive verb To praise highly to glorify to exalt The processes of nature which most writers extol as symbols of renewal and eternal life were always seen darkly by Kerouac Ellis Amburn Subterranean Kerouac The Hidden Life of Jack Kerouac Let your deeds themselves praise you for here I leave them in all their glory lacking words to extol them Cervantes Don Quixote de la Mancha Land of Hope and Glory Mother of the Free How shall we extol thee who are born of thee Arthur Christopher Benson Song from Pomp and Circumstance by Sir Edward Elgar Extol derives from Latin extollere to lift up praise from ex up from tollere to lift up elevate References wordofthedayarchivehtml execobidosASINrefDnosimlexico You are currently subscribed to Dictionarycom Word of the Day as To subscribe to the list by email send a blank message to To unsubscribe via email send a blank message to Subscriptions can be turned on and off from the Web at wordofthedaylist Dictionarycom Word of the Day wordoftheday C by Lexico Publishing Group LLC
<9337414.1075841335619.JavaMail.evans@thyme>,doctor@dictionary.com,2002-03-04 01:31:32,obloquy Dictionarycom Word of the Daypst Become a Fool Get out of debt Learn how to invest Retire early Take control of your finances Register to become a Fool Its free Get investment freebies too Click here c a hrefc AOL users click here a Word of the Day for Monday March obloquy OBluhkwee noun Strongly condemnatory or abusive language or utterance The condition of disgrace suffered as a result of public blame abuse or condemnation ill repute There he remained weeping indignantly at her stream of obloquy bitterly ashamed of his tears until it was time for supper Jonathan Keates Stendhal Once installed in office he earned nearuniversal obloquy by pushing through the biggest tax increase in the states history Dan Seligman The Taxophiliacs Forbes February For Britain to have made a last imperial stand on the shores of the South China Sea would have risked local calamity and international obloquy Christopher Patten East and West Obloquy derives from Latin obloqui to speak against from ob against loqui to speak References execobidosASINrefDnosimlexico You are currently subscribed to Dictionarycom Word of the Day as To subscribe to the list by email send a blank message to To unsubscribe via email send a blank message to Subscriptions can be turned on and off from the Web at wordofthedaylist Dictionarycom Word of the Day wordoftheday C by Lexico Publishing Group LLC
<4400151.1075841335667.JavaMail.evans@thyme>,doctor@dictionary.com,2002-03-03 00:39:56,celerity Dictionarycom Word of the Daypst Get BESTSELLERS FOR A FREE ATTACHE CASE with membership to The BookoftheMonth ClubR Save on your favorites Stephen King James Patterson Mary Higgins Clark John Grisham Amy Tan so many others Youll save on all the must read books Click for details c a hrefc AOL users click here a Word of the Day for Sunday March celerity suhLAIRuhtee noun Rapidity of motion or action quickness swiftness Though not in the best of physical form he was capable of moving with celerity Malachy McCourt A Monk Swimming A Memoir Furthermore as is well known computer technology grows obsolete with amazing celerity Alan S Blinder and Richard E Quandt The Computer and the Economy The Atlantic December The lightning celerity of his thought processes took you on a kind of helterskelter ride of surreal nonsequiturs sudden accesses of emotion and ribald asides made all the more bizarre for being uttered in those honeyed tones by the impeccably elegant gent before you A life full of frolics The Guardian May Celerity is from Latin celeritas from celer swift It is related to accelerate References execobidosASINrefDnosimlexico guardian You are currently subscribed to Dictionarycom Word of the Day as To subscribe to the list by email send a blank message to To unsubscribe via email send a blank message to Subscriptions can be turned on and off from the Web at wordofthedaylist Dictionarycom Word of the Day wordoftheday C by Lexico Publishing Group LLC
