Message_id,From,Time_stamp,Text
<31709578.1075859913465.JavaMail.evans@thyme>,dw@iinews.com,2000-03-03 07:22:00,DW Alert BANK OF CHINA to be first Chinese member of Internation al Swaps and Derivatives AssociationDerivatives Week subscriber Catch the latest breaking news in this weeks issue by clicking here Top stories this week Bank of China has joined the International Swaps and Derivatives Association breaking new ground as its first Chinese member An official at ISDA called the Chinese banking giants move a significant milestone signaling the acceptance of international derivative standards by a major bank in an immature but potentially massive market Bank of America has embarked on a hiring spree as part of an aggressive expansion of its equity and credit derivative business in Asia particularly Japan The bank is launching its first equity derivative operations in Japan and is also expanding its structured credit products capabilities establishing Tokyo as a new hub for structuring trading and marketing to Asia Member firms of the International Swaps and Derivatives Association are divided over the capital adequacy treatment for banks versus securities firms in the European Commission consultation paper ISDA has to resolve the controversy before submitting its response to the EC paper by the middle of this month Indian Oil Corp Indias largest commercial enterprise is gearing up its first use of derivatives and has hired a consultant to help it prepare a policy guideline to present to its board of directors India Oil could be the first public sector company to use derivatives As a DW subscriber you are eligible for complimentary access to the Subscribers Only area of the wwwderivativesweekcom site which contains the current issue and a searchable archive of all past issues Use your User ID and Password to access the entire site If you dont have these yet hit REPLY to this email fill out the proper information below and send it back to me Ill get you set up right away Newsletter Title My name is My company is My city location is I choose my new user name to be I choose my new password to be If youd prefer call our Customer Service Department at and give them the information above YOUR USER NAME AND PASSWORD ARE FOR YOUR PERSONAL USE ONLY THEY MAY NOT BE SHARED WITH ANYONE AND NO ONE ELSE SHOULD ACCESS THE SITE WITH YOUR USER NAME AND PASSWORD If you have questions comments or suggestions please do not hesitate to call me at Thanks and enjoy this weeks issue Jim Beecher Publisher NOTE You will receive weekly updates of the hottest stories in Derivatives Week These are not random mass mailings but rather onetime messages for your personal attention If you do not wish to continue to receive these notices please click reply type remove and enter your name and company You will then be removed from our email database
<13313017.1075859916544.JavaMail.evans@thyme>,dw@iinews.com,2000-03-17 06:59:00,DW Alert ISDA abuzz with ecommerce talk US banking agencies propose changes to capital rulesDerivatives Week subscriber Catch the latest breaking news in this weeks issue by clicking here Top stories this week At this years International Swaps and Derivatives Association meeting which drew the largest crowd ever Internet and ecommerce issues were on everybodys mind and crept into most presentations and discussions Leading US banking agencies have proposed changes to their riskbased capital rules to address the exposure of banks bank holding companies and thrifts to credit risk The paper proposes among other things that credit derivatives be included in the definitions of credit risk arising from securitizations and that the capital charge be based on the credit rating of the underlying obligation Merrill Lynch is reorganizing its global debt group and recently appointed Dow Kim to a new position as head of the newly formed integrated global enterprise solutions group The move is meant to integrate the banks previously less centralized derivatives businesses Hanjin Heavy Industries Construction Co the South Korea ship building and construction giant is considering its first use of US dollarKorean won currency options and interestrate swaps As a DW subscriber you are eligible for complimentary access to the Subscribers Only area of the wwwderivativesweekcom site which contains the current issue and a searchable archive of all past issues Use your User ID and Password to access the entire site If you dont have these yet hit REPLY to this email fill out the proper information below and send it back to me Ill get you set up right away Newsletter Title My name is My company is My city location is I choose my new user name to be I choose my new password to be If youd prefer call our Customer Service Department at and give them the information above YOUR USER NAME AND PASSWORD ARE FOR YOUR PERSONAL USE ONLY THEY MAY NOT BE SHARED WITH ANYONE AND NO ONE ELSE SHOULD ACCESS THE SITE WITH YOUR USER NAME AND PASSWORD If you have questions comments or suggestions please do not hesitate to call me at Thanks and enjoy this weeks issue Jim Beecher Publisher NOTE You will receive weekly updates of the hottest stories in Derivatives Week These are not random mass mailings but rather onetime messages for your personal attention If you do not wish to continue to receive these notices please click reply type remove and enter your name and company You will then be removed from our email database
<30653367.1075859927990.JavaMail.evans@thyme>,dw@iinews.com,2000-05-19 09:13:00,DW Alert Banks Pile Into Asia Credit MarketDerivatives Week subscriber Catch the latest breaking news in this weeks issue by clicking here Top stories this week BANKS PILE INTO ASIA CREDIT MARKET A gaggle of banks are getting ready for the Asian credit derivatives market to heat up and expecting Tokyo to be where the action is Find out who is moving their Asia credit derivatives operations to Tokyo who is hiring who is getting into the market for the first time and why Asian credit derivatives are intriguing to them EMPLOYERS STUMP UP CASHBASED PACKAGES Are you getting paid with deferred bonuses and stock options You might be missing out Find out why in this weeks issue HUGE TRADE KNOCKS EUROSTERLING MARKET Whos behind the massive eurosterling trades that everyone is talking about Our readers know As a DW subscriber you are eligible for complimentary access to the Subscribers Only area of the wwwderivativesweekcom site which contains the current issue and a searchable archive of all past issues Use your User ID and Password to access the entire site If you dont have these yet hit REPLY to this email fill out the proper information below and send it back to me Ill get you set up right away Newsletter Title My name is My company is My city location is I choose my new user name to be I choose my new password to be If youd prefer call our Customer Service Department at and give them the information above YOUR USER NAME AND PASSWORD ARE FOR YOUR PERSONAL USE ONLY THEY MAY NOT BE SHARED WITH ANYONE AND NO ONE ELSE SHOULD ACCESS THE SITE WITH YOUR USER NAME AND PASSWORD If you have questions comments or suggestions please do not hesitate to call me at Thanks and enjoy this weeks issue Jim Beecher Publisher NOTE You will receive weekly updates of the hottest stories in Derivatives Week These are not random mass mailings but rather onetime messages for your personal attention If you do not wish to continue to receive these notices please click reply type remove and enter your name and company You will then be removed from our email database
<20759629.1075859930487.JavaMail.evans@thyme>,dw@iinews.com,2000-06-02 09:41:00,DW Alert Weather Trading Website LaunchedDerivatives Week subscriber Catch the latest breaking news in this weeks issue by clicking here Top stories this week WEATHER TRADING WEBSITE LAUNCHED Find out who has launched a new weather derivatives trading website and what it could mean for the stillnascent market EUROPEAN HEDGE FUNDS CUCKOO FOR CFDs Hedge funds are excited about the normally sleepy equity contract for difference product in Europe Find out whos responding to the demand in this weeks issue US LENDER MULLS SYNTHETIC SECURITIZATION Find out which US player is considering its first synthetic securitization before anyone else does As a DW subscriber you are eligible for complimentary access to the Subscribers Only area of the wwwderivativesweekcom site which contains the current issue and a searchable archive of all past issues Use your User ID and Password to access the entire site If you dont have these yet hit REPLY to this email fill out the proper information below and send it back to me Ill get you set up right away Newsletter Title My name is My company is My city location is I choose my new user name to be I choose my new password to be If youd prefer call our Customer Service Department at and give them the information above YOUR USER NAME AND PASSWORD ARE FOR YOUR PERSONAL USE ONLY THEY MAY NOT BE SHARED WITH ANYONE AND NO ONE ELSE SHOULD ACCESS THE SITE WITH YOUR USER NAME AND PASSWORD If you have questions comments or suggestions please do not hesitate to call me at Thanks and enjoy this weeks issue Jim Beecher Publisher NOTE You will receive weekly updates of the hottest stories in Derivatives Week These are not random mass mailings but rather onetime messages for your personal attention If you do not wish to continue to receive these notices please click reply type remove and enter your name and company You will then be removed from our email database
<20397427.1075859934180.JavaMail.evans@thyme>,dw@iinews.com,2000-06-16 09:22:00,DW Alert Convertible Arb Funds Keen For Credit Default SwapsDerivatives Week subscriber Catch the latest breaking news in this weeks issue by clicking here Top stories this week CONVERTIBLE ARB FUNDS KEEN FOR CREDIT DEFAULT SWAPS Theres a new type of customer snapping up credit default swaps in the US convertible arb funds Find out why theyre using credit default swaps and how theyre influencing the market in this weeks issue DRESDNER HONCHO JUMPS TO MERRILL Someone important at Dresdner Kleinwort Benson has moved to Merrill Lynch Find out who in this weeks issue ECB RATE HIKE SPURS CMS DEMAND European insurance companies are putting on constant maturity swaps Find out why they expect the euro curve to steepen in this weeks issue INDONESIAN INSURER GETS READY FOR SWAPS OTHERS MAY FOLLOW Find out who in Indonesia is prepping for their swap debut and why they expect others to follow As a DW subscriber you are eligible for complimentary access to the Subscribers Only area of the wwwderivativesweekcom site which contains the current issue and a searchable archive of all past issues Use your User ID and Password to access the entire site If you dont have these yet hit REPLY to this email fill out the proper information below and send it back to me Ill get you set up right away Newsletter Title My name is My company is My city location is I choose my new user name to be I choose my new password to be If youd prefer call our Customer Service Department at and give them the information above YOUR USER NAME AND PASSWORD ARE FOR YOUR PERSONAL USE ONLY THEY MAY NOT BE SHARED WITH ANYONE AND NO ONE ELSE SHOULD ACCESS THE SITE WITH YOUR USER NAME AND PASSWORD If you have questions comments or suggestions please do not hesitate to call me at Thanks and enjoy this weeks issue Jim Beecher Publisher NOTE You will receive weekly updates of the hottest stories in Derivatives Week These are not random mass mailings but rather onetime messages for your personal attention If you do not wish to continue to receive these notices please click reply type remove and enter your name and company You will then be removed from our email database Announcement WHATS THE ROLE OF INVESTMENT ADVICE FOR ONLINE BROKERAGES Find out by joining a live interactive discussion on the Web site of Financial NetNews a Name of Newsletter sister publication on June at pm Ask your questions and gain insight from key industry players such as JP Morgan and Merrill Lynch Register now Call Email or log onto fnnstaticchatnohtml 
<11973807.1075859936147.JavaMail.evans@thyme>,dw@iinews.com,2000-06-23 07:25:00,DW Alert Asian Airline Eyes Exotic SwapsDerivatives Week subscriber Catch the latest breaking news in this weeks issue by clicking here Top stories this week ASIAN AIRLINE EYES EXOTIC SWAPS Find out which airline company is considering its first use of several exotic swaps in this weeks issue COVERED CALL WRITING TO TAKE OFF THIS SUMMER US hedge funds and mutual funds have been looking into writing covered calls recently Find out why only in this weeks issue GEN RE FINANCIAL PRODUCTS HONCHO LANDS AT DRESDNER Which Gen Re FP official just joined Dresdner Our readers know As a DW subscriber you are eligible for complimentary access to the Subscribers Only area of the wwwderivativesweekcom site which contains the current issue and a searchable archive of all past issues Use your User ID and Password to access the entire site If you dont have these yet hit REPLY to this email fill out the proper information below and send it back to me Ill get you set up right away Newsletter Title My name is My company is My city location is I choose my new user name to be I choose my new password to be If youd prefer call our Customer Service Department at and give them the information above YOUR USER NAME AND PASSWORD ARE FOR YOUR PERSONAL USE ONLY THEY MAY NOT BE SHARED WITH ANYONE AND NO ONE ELSE SHOULD ACCESS THE SITE WITH YOUR USER NAME AND PASSWORD We welcome you to forward this email to any coworkers or colleagues who would be interested in requesting a free trial subscription to Derivatives Week at cgibinunifreenewhoodw If you have questions comments or suggestions please do not hesitate to call me at Thanks and enjoy this weeks issue Jim Beecher Publisher NOTE You will receive weekly updates of the hottest stories in Derivatives Week These are not random mass mailings but rather onetime messages for your personal attention If you do not wish to continue to receive these notices please click reply type remove and enter your name and company You will then be removed from our email database
<10299080.1075859937567.JavaMail.evans@thyme>,dw@iinews.com,2000-06-30 07:57:00,DW Alert US Energy Giant Looks To Become A Weather Derivatives Market MakerDerivatives Week subscriber Catch the latest breaking news in this weeks issue by clicking here Top stories this week US ENERGY GIANT LOOKS TO BECOME A WEATHER DERIVATIVES MARKET MAKER Find out in this weeks issue whos going considering becoming a marketmaker in weather derivatives US BANK ALLEGED TO RATCHET UP STERLING SWAP SPREAD A US bank is believed to have wreaked havoc in the sterling swap market days ago Find out who in todays edition PORTUGUESE COMPANY MAY MAKE FIRST USE OF WEATHER DERIVATIVES Find out which Portuguese company is looking at weather derivatives and why only in this weeks issue As a DW subscriber you are eligible for complimentary access to the Subscribers Only area of the wwwderivativesweekcom site which contains the current issue and a searchable archive of all past issues Use your User ID and Password to access the entire site If you dont have these yet hit REPLY to this email fill out the proper information below and send it back to me Ill get you set up right away Newsletter Title My name is My company is My city location is I choose my new user name to be I choose my new password to be If youd prefer call our Customer Service Department at and give them the information above YOUR USER NAME AND PASSWORD ARE FOR YOUR PERSONAL USE ONLY THEY MAY NOT BE SHARED WITH ANYONE AND NO ONE ELSE SHOULD ACCESS THE SITE WITH YOUR USER NAME AND PASSWORD If you have questions comments or suggestions please do not hesitate to call me at Thanks and enjoy this weeks issue Jim Beecher Publisher NOTE You will receive weekly updates of the hottest stories in Derivatives Week These are not random mass mailings but rather onetime messages for your personal attention If you do not wish to continue to receive these notices please click reply type remove and enter your name and company You will then be removed from our email database
<3701886.1075859938923.JavaMail.evans@thyme>,dw@iinews.com,2000-07-07 08:52:00,DW ALERT French Bank Pitches First Tender OptionDerivatives Week subscriber Catch the latest breaking news in this weeks issue by clicking here Top stories this week FRENCH BANK PITCHES FIRST TENDER OPTION A French bank is combining insurance and derivatives in interesting new ways Find out who is offering this product and who might be interested in buying it in this weeks issue YARD OF DOLLARYEN OPTIONS TO STEER FX MART A massive option went through the dollaryen options market last week Find out what that means for trading in the currency this week REVISED JAPAN ACCOUNTING RULES MAY BOOST EQUITY BIZ An accounting regulation change in Japan is likely to boost activity in equity derivatives in Japan Find out why in this weeks issue As a DW subscriber you are eligible for complimentary access to the Subscribers Only area of the wwwderivativesweekcom site which contains the current issue and a searchable archive of all past issues Use your User ID and Password to access the entire site If you dont have these yet hit REPLY to this email fill out the proper information below and send it back to me Ill get you set up right away Newsletter Title My name is My company is My city location is I choose my new user name to be I choose my new password to be If youd prefer call our Customer Service Department at and give them the information above YOUR USER NAME AND PASSWORD ARE FOR YOUR PERSONAL USE ONLY THEY MAY NOT BE SHARED WITH ANYONE AND NO ONE ELSE SHOULD ACCESS THE SITE WITH YOUR USER NAME AND PASSWORD If you have questions comments or suggestions please do not hesitate to call me at Thanks and enjoy this weeks issue Jim Beecher Publisher NOTE You will receive weekly updates of the hottest stories in Derivatives Week These are not random mass mailings but rather onetime messages for your personal attention If you do not wish to continue to receive these notices please click reply type remove and enter your name and company You will then be removed from our email database
<25640928.1075859940837.JavaMail.evans@thyme>,dw@iinews.com,2000-07-14 10:04:00,DW Alert SHELL TRADING Looks Into Credit Default Swaps Foreign Banks Scrambling To Cover Short PositionsDerivatives Week subscriber Catch the latest breaking news in this weeks issue by clicking here Top stories this week Shell Trading is investigating trading credit default swaps for the first time as a cheaper alternative to letters of credit and to generate additional revenue Koreas Asiana Airlines with anticipated revenue of KRW billion USD billion hopes this year to return to the interestrate swaps market to hedge some of its USD billion foreign currencydenominated floating rate loan portfolio Five months after launching a bankruptcy swaps market making business Enron has only traded a handful of contracts with end users and has yet to pull the trigger on a deal with a financial institution Foreign banks were seen late last month scrambling to cover short interestrate option volatility positions after a sharp spike in Japanese swaption volatility The banks thought to include JP Morgan and Deutsche Bank were seen buying swaption vol on the way up and selling vol as the market traded down As a DW subscriber you are eligible for complimentary access to the Subscribers Only area of the wwwderivativesweekcom site which contains the current issue and a searchable archive of all past issues Use your User ID and Password to access the entire site If you dont have these yet hit REPLY to this email fill out the proper information below and send it back to me Ill get you set up right away Did you know Check out our new printerfriendly version of Derivatives Week stories offered at the bottom of each article on the Web site Youll get a clean copy of the article to print with no irregular page breaks or uneven margins Newsletter Title My name is My company is My city location is I choose my new user name to be I choose my new password to be If youd prefer call our Customer Service Department at and give them the information above YOUR USER NAME AND PASSWORD ARE FOR YOUR PERSONAL USE ONLY THEY MAY NOT BE SHARED WITH ANYONE AND NO ONE ELSE SHOULD ACCESS THE SITE WITH YOUR USER NAME AND PASSWORD If you have questions comments or suggestions please do not hesitate to call me at Thanks and enjoy this weeks issue Jim Beecher Publisher NOTE You will receive weekly updates of the hottest stories in Derivatives Week These are not random mass mailings but rather onetime messages for your personal attention If you do not wish to continue to receive these notices please click reply type remove and enter your name and company You will then be removed from our email database
<6670413.1075859941611.JavaMail.evans@thyme>,dw@iinews.com,2000-07-18 08:15:00,DW Alert NOMURA Says Its Staying Put In CMO TradingDerivatives Week Subscriber I thought you might be interested in this breaking news story reported by our sister publication BondWeek Persistent buzz that had Nomura Securities International shuttering its mortgage derivatives desk and liquidating its portfolio is completely unfounded according to Nomuras fixed income chief Alex Noujaim Rumors that Nomura was bailing from the CMO market have weighed on the market for more than a week and gained credence from a research report put out by a rival firm For more information on this breaking story go to To access this story hit REPLY to this email fill out the proper information and send it back to us Ill get you set up right away My name is My company is My city location is I choose my new user name to be I choose my new password to be If youd prefer call our Customer Service Department at and give them the information above PLEASE NOTE YOUR USER NAME AND PASSWORD ARE FOR YOUR PERSONAL USE ONLY THEY MAY NOT BE SHARED WITH ANYONE AND NO ONE ELSE SHOULD ACCESS THE SITE WITH YOUR USER NAME AND PASSWORD If you have questions comments or suggestions please do not hesitate to call me at Sincerely Jim Beecher Publisher 
