Message_id,From,Time_stamp,Text
<23035317.1075845162668.JavaMail.evans@thyme>,eddiebauer@eb.m0.net,2001-06-04 20:22:47,Find the Perfect Gift for Dad and Free Delivery for YouEddie Bauer Celebrate Fathers Day June th Remember Dad and get Free Standard Delivery when you spend or more Hi Scott Its always a challenge to find the perfect gift for Fathers Day but weve come up with a few great ideas to help you out Heres your chance to update his wardrobe with some stylish new clothes how long has it been spruce up his office or give him that hammock hes been eyeing for years Shop for Dad Keep in mind our standard delivery deadline is June th Plus Enter for a chance to win a SONY HTD DVD HOME THEATRE PACKAGE one of three SONY DIGITAL MAVICA MVCFD cameras or one of five SONY CLI PEGS handhelds But remember this event ends on June th If youd rather not receive Eddie Bauer Email please reply to this message and insert the word unsubscribe in the subject line Or use the link below muedbeaspeshendriectenroncom You signed up for Eddie Bauer Email with this address 
<3545249.1075845162692.JavaMail.evans@thyme>,eddiebauer@eb.m0.net,2001-06-04 20:21:55,Find the Perfect Gift for Dad and Free Delivery for YouEddie Bauer Celebrate Fathers Day June th Remember Dad and get Free Standard Delivery when you spend or more Hi Scott Its always a challenge to find the perfect gift for Fathers Day but weve come up with a few great ideas to help you out Heres your chance to update his wardrobe with some stylish new clothes how long has it been spruce up his office or give him that hammock hes been eyeing for years Shop for Dad Keep in mind our standard delivery deadline is June th Plus Enter for a chance to win a SONY HTD DVD HOME THEATRE PACKAGE one of three SONY DIGITAL MAVICA MVCFD cameras or one of five SONY CLI PEGS handhelds But remember this event ends on June th If youd rather not receive Eddie Bauer Email please reply to this message and insert the word unsubscribe in the subject line Or use the link below muedbeaspescotthendricksonenroncom You signed up for Eddie Bauer Email with this address 
<18142847.1075845158654.JavaMail.evans@thyme>,eddiebauer@eb.m0.net,2001-05-30 12:48:24,Hot Summer Styles and FREE DELIVERY tooEddie Bauer Free Delivery with Purchase Hi Scott Shop our selection of greatlooking summer clothing for Men and Women We have all the S items you need shirts skirts swimwear sandals and shorts just to name a few But what about tees totes and towels Weve got just about everything under the sun for a long hot summer And now through June th standard delivery is on us for every order over Online Shopping Just Got Easier Want to see what goes with what Now you can Mix Match tops bottoms and shoes to create your own customized look Short of time Youll love our easy Instant Outfits for men and for women Visit them all click your favorites and go If youd rather not receive Eddie Bauer Email please reply to this message and insert the word unsubscribe in the subject line Or use the link below muedbeaspeshendriectenroncom You signed up for Eddie Bauer Email with this address 
<27710248.1075842108599.JavaMail.evans@thyme>,eddiebauer@eb.m0.net,2000-12-13 00:15:00,MustHave Gifts on Sale NowBauer Gifts on Sale Free Delivery Hi Weve got the cure for any seasonal shopping shakeup View our collection of gifts on sale everything from handsome watches for him to stylish sweaters for her And be sure to check out our weekly specials to find exclusive webonly discounts Happy Shopping The Eddie Bauercom Team PLUS The Holiday Sale is in fullswing at our stores too Visit the Eddie Bauer Sportswear or Home Store nearest you Offer subject to terms and conditions handling fee still applies Offer ends If youd rather not receive Eddie Bauer Email please reply to this message and insert the word unsubscribe in the subject line Or use the link below muedbeaspecstclaienroncom You signed up for Eddie Bauer Email with this address 
<15897685.1075842108693.JavaMail.evans@thyme>,eddiebauer@eb.m0.net,2000-12-13 00:52:00,MustHave Gifts on Sale NowBauer Gifts on Sale Free Delivery Hi Weve got the cure for any seasonal shopping shakeup View our collection of gifts on sale everything from handsome watches for him to stylish sweaters for her And be sure to check out our weekly specials to find exclusive webonly discounts Happy Shopping The Eddie Bauercom Team PLUS The Holiday Sale is in fullswing at our stores too Visit the Eddie Bauer Sportswear or Home Store nearest you Offer subject to terms and conditions handling fee still applies Offer ends If youd rather not receive Eddie Bauer Email please reply to this message and insert the word unsubscribe in the subject line Or use the link below muedbeaspecarolstclairenroncom You signed up for Eddie Bauer Email with this address 
<8070513.1075842109503.JavaMail.evans@thyme>,eddiebauer@eb.m0.net,2000-12-13 00:15:00,MustHave Gifts on Sale NowBauer Gifts on Sale Free Delivery Hi Weve got the cure for any seasonal shopping shakeup View our collection of gifts on sale everything from handsome watches for him to stylish sweaters for her And be sure to check out our weekly specials to find exclusive webonly discounts Happy Shopping The Eddie Bauercom Team PLUS The Holiday Sale is in fullswing at our stores too Visit the Eddie Bauer Sportswear or Home Store nearest you Offer subject to terms and conditions handling fee still applies Offer ends If youd rather not receive Eddie Bauer Email please reply to this message and insert the word unsubscribe in the subject line Or use the link below muedbeaspecstclaienroncom You signed up for Eddie Bauer Email with this address 
<16339916.1075842109595.JavaMail.evans@thyme>,eddiebauer@eb.m0.net,2000-12-13 00:52:00,MustHave Gifts on Sale NowBauer Gifts on Sale Free Delivery Hi Weve got the cure for any seasonal shopping shakeup View our collection of gifts on sale everything from handsome watches for him to stylish sweaters for her And be sure to check out our weekly specials to find exclusive webonly discounts Happy Shopping The Eddie Bauercom Team PLUS The Holiday Sale is in fullswing at our stores too Visit the Eddie Bauer Sportswear or Home Store nearest you Offer subject to terms and conditions handling fee still applies Offer ends If youd rather not receive Eddie Bauer Email please reply to this message and insert the word unsubscribe in the subject line Or use the link below muedbeaspecarolstclairenroncom You signed up for Eddie Bauer Email with this address 
<14218458.1075853117822.JavaMail.evans@thyme>,eddiebauer@eb.m0.net,2001-10-23 13:06:10,The Savings Continue New Fall StylesEDDIE BAUER FALL SALE Our look is new but the sale is almost over Shop now through October and save on the best of the season Goose Down Sale Get a head start on the cold and save on everything Down Plus buy one pillow and get the second at off Mix Match Sleepwear Visit our onestop shop for sleepytime and pair your favorite tops bottoms and slippers If youd rather not receive Eddie Bauer Email please reply to this message and type the word unsubscribe in the subject line Or use the following link muedbeaspemichellecashenroncom
<9714440.1075855356260.JavaMail.evans@thyme>,eddiebauer@eb.m0.net,2001-12-26 16:29:56,Ultimate Winter Sale Plus Free DeliveryEDDIE BAUER ULTIMATE WINTER SALE Our biggest sale of the season is going on now Treat yourself to all the styles left on your wish list and save At these prices youll have an excuse to add a few more Plus Standard Delivery charges are on the house when you spend or more SEMIANNUAL WHITE SALE Save on our legendary selection of sheets towels quilts and blankets in this seasons freshest colors and patterns EASY RETURNS You can take an item back to any Eddie Bauer store or simply drop it in the mail anytime Click to find out more If you would like to change your email address or unsubscribe please use the following link muedbeaspemichellecashenroncom Or reply to this message and type the word unsubscribe in the subject line
<27988872.1075855357336.JavaMail.evans@thyme>,eddiebauer@eb.m0.net,2002-01-01 01:39:40,Wishing you a Happy New YearEDDIE BAUER Happy New Year from all of us at Eddie Bauer We wish you good times good health and good cheer in Sincerely The Eddie Bauer Team Youre always welcome at wwweddiebauercom If you would like to change your email address or unsubscribe please use the following link msaspHBXXX Or reply to this message and type the word unsubscribe in the subject line
