Message_id,From,Time_stamp,Text
<33394977.1075841335642.JavaMail.evans@thyme>,edismail@incident.com,2002-03-03 09:36:01,EDIS FIRE WEATHER BULLETIN News Statewidepst GEOGRAPHICAL AREA COORDINATION CENTER INTERAGENCY FIRE FORECAST WARNING UNIT RIVERSIDE CALIFORNIA pdt Sunday March CANCEL RED FLAG WARNING FOR SOUTHERN CALIFORNIA DISCUSSION Pressure gradients have weakened And while winds will increase a little late morning only isolated locations will have sustained wind speeds of mph or greater Lighter winds are expected this afternoon through Monday ENDCoffer RFWUCR WWUS KLOX EDIS PST Special thanks to craigslist for helping get this to you quickly To update or terminate your subscription to this email service visit our webpage at edismailhtml Please DO NOT reply to this message replies may be treated as errors and result in your subscription being deleted If you have trouble with the Web form or for other queries email But for faster service try the Web method first EDIS is operated by the Governors Office of Emergency Services State of California This email relay service is offered by incidentcom on a noncommercial subscriptiononly basis Because of the complexity of this system and its dependence on other systems we cannot be responsible for delays or failures in forwarding or transmission 
<27093246.1075841332822.JavaMail.evans@thyme>,edismail@incident.com,2002-04-05 00:07:00,EDIS EQ SAN BERNARDINO COUNTY News Statewidepst PRELIMINARY EVENT REPORT Southern California Seismic Network TriNet operated by Caltech and USGS Version This report supersedes any earlier reports about this event This is a computer generated solution and has not yet been reviewed by a human Magnitude Ml Time Apr AM PST Apr UTC Coordinates deg min N deg min W Depth miles km Quality Excellent Event ID Location mi N of Joshua Tree CA mi NNE of Palm Springs CA mi SSE of HECTOR quarry mi NNW of the Pisgah Fault More information is available on the Worldwide Web at scsnscsnhtml EDIS PST Special thanks to craigslist for helping get this to you quickly To update or terminate your subscription to this email service visit our webpage at edismailhtml Please DO NOT reply to this message replies may be treated as errors and result in your subscription being deleted If you have trouble with the Web form or for other queries email But for faster service try the Web method first EDIS is operated by the Governors Office of Emergency Services State of California This email relay service is offered by incidentcom on a noncommercial subscriptiononly basis Because of the complexity of this system and its dependence on other systems we cannot be responsible for delays or failures in forwarding or transmission 
<4922840.1075841333555.JavaMail.evans@thyme>,edismail@incident.com,2002-03-30 23:24:00,EDIS THIS TSUNAMI INFORMATION BULLETIN IS FOR ALASKA BRITISH Urgent Statewidepst WEST COAST AND ALASKA TSUNAMI WARNING CENTERNOAANWS ISSUED AT UTC THIS TSUNAMI INFORMATION BULLETIN IS FOR ALASKA BRITISH COLUMBIA WASHINGTON OREGON AND CALIFORNIA ONLY NO REPEAT NO WATCH OR WARNING IS IN EFFECT EARTHQUAKE DATA PRELIMINARY MAGNITUDE LOCATION N E TAIWAN REGION TIME AST PST UTC EVALUATION BASED ON LOCATION AND MAGNITUDE THE EARTHQUAKE WAS NOT SUFFICIENT TO GENERATE A TSUNAMI DAMAGING TO CALIFORNIA OREGON WASHINGTON BRITISH COLUMBIA OR ALASKA SOME AREAS MAY EXPERIENCE SMALL SEA LEVEL CHANGES IN AREAS OF INTENSE SHAKING LOCALLY GENERATED TSUNAMIS CAN BE TRIGGERED BY SLUMPING THE PACIFIC TSUNAMI WARNING CENTER WILL ISSUE TSUNAMI BULLETINS FOR HAWAII AND OTHER AREAS OF THE PACIFIC THIS WILL BE THE ONLY BULLETIN ISSUED FOR THIS EVENT BY THE WEST COAST AND ALASKA TSUNAMI WARNING CENTER UNLESS CONDITIONS WARRANT REFER TO THE INTERNET SITE FOR MORE INFORMATION TSUPAQ WEPA PAAQ EDIS PST Special thanks to craigslist for helping get this to you quickly To update or terminate your subscription to this email service visit our webpage at edismailhtml Please DO NOT reply to this message replies may be treated as errors and result in your subscription being deleted If you have trouble with the Web form or for other queries email But for faster service try the Web method first EDIS is operated by the Governors Office of Emergency Services State of California This email relay service is offered by incidentcom on a noncommercial subscriptiononly basis Because of the complexity of this system and its dependence on other systems we cannot be responsible for delays or failures in forwarding or transmission 
<26503078.1075841333579.JavaMail.evans@thyme>,edismail@incident.com,2002-03-30 23:22:00,EDIS THIS TSUNAMI INFORMATION BULLETIN IS FOR ALASKA BRITISH Urgent Statewidepst WEST COAST AND ALASKA TSUNAMI WARNING CENTERNOAANWS ISSUED AT UTC THIS TSUNAMI INFORMATION BULLETIN IS FOR ALASKA BRITISH COLUMBIA WASHINGTON OREGON AND CALIFORNIA ONLY NO REPEAT NO WATCH OR WARNING IS IN EFFECT EARTHQUAKE DATA PRELIMINARY MAGNITUDE LOCATION N E TAIWAN REGION TIME AST PST UTC EVALUATION BASED ON LOCATION AND MAGNITUDE THE EARTHQUAKE WAS NOT SUFFICIENT TO GENERATE A TSUNAMI DAMAGING TO CALIFORNIA OREGON WASHINGTON BRITISH COLUMBIA OR ALASKA SOME AREAS MAY EXPERIENCE SMALL SEA LEVEL CHANGES IN AREAS OF INTENSE SHAKING LOCALLY GENERATED TSUNAMIS CAN BE TRIGGERED BY SLUMPING THE PACIFIC TSUNAMI WARNING CENTER WILL ISSUE TSUNAMI BULLETINS FOR HAWAII AND OTHER AREAS OF THE PACIFIC THIS WILL BE THE ONLY BULLETIN ISSUED FOR THIS EVENT BY THE WEST COAST AND ALASKA TSUNAMI WARNING CENTER UNLESS CONDITIONS WARRANT REFER TO THE INTERNET SITE FOR MORE INFORMATION TSUPAQ WEPA PAAQ EDIS PST Special thanks to craigslist for helping get this to you quickly To update or terminate your subscription to this email service visit our webpage at edismailhtml Please DO NOT reply to this message replies may be treated as errors and result in your subscription being deleted If you have trouble with the Web form or for other queries email But for faster service try the Web method first EDIS is operated by the Governors Office of Emergency Services State of California This email relay service is offered by incidentcom on a noncommercial subscriptiononly basis Because of the complexity of this system and its dependence on other systems we cannot be responsible for delays or failures in forwarding or transmission 
<2156282.1075841333603.JavaMail.evans@thyme>,edismail@incident.com,2002-03-30 09:46:03,EDIS EQ SAN DIEGO COUNTY News Statewidepst PRELIMINARY EVENT REPORT Southern California Seismic Network TriNet operated by Caltech and USGS Version This report supersedes any earlier reports about this event This is a computer generated solution and has not yet been reviewed by a human Magnitude Ml Time Mar AM PST Mar UTC Coordinates deg min N deg min W Depth miles km Quality Excellent Event ID Location mi ENE of Mesa Grande CA mi NE of San Diego CA mi NE of CPE quarry mi S of the Elsinore Fault More information is available on the Worldwide Web at scsnscsnhtml EDIS PST Special thanks to craigslist for helping get this to you quickly To update or terminate your subscription to this email service visit our webpage at edismailhtml Please DO NOT reply to this message replies may be treated as errors and result in your subscription being deleted If you have trouble with the Web form or for other queries email But for faster service try the Web method first EDIS is operated by the Governors Office of Emergency Services State of California This email relay service is offered by incidentcom on a noncommercial subscriptiononly basis Because of the complexity of this system and its dependence on other systems we cannot be responsible for delays or failures in forwarding or transmission 
<23557035.1075841337494.JavaMail.evans@thyme>,edismail@incident.com,2002-03-05 13:43:01,EDIS THIS TSUNAMI INFORMATION BULLETIN IS FOR ALASKA BRITISH News Statewidepst WEST COAST AND ALASKA TSUNAMI WARNING CENTERNOAANWS ISSUED AT UTC THIS TSUNAMI INFORMATION BULLETIN IS FOR ALASKA BRITISH COLUMBIA WASHINGTON OREGON AND CALIFORNIA ONLY NO REPEAT NO WATCH OR WARNING IS IN EFFECT EARTHQUAKE DATA PRELIMINARY MAGNITUDE LOCATION N E MINDANAO PHILIPPINE ISLANDS TIME AST PST UTC EVALUATION BASED ON LOCATION AND MAGNITUDE THE EARTHQUAKE WAS NOT SUFFICIENT TO GENERATE A TSUNAMI DAMAGING TO CALIFORNIA OREGON WASHINGTON BRITISH COLUMBIA OR ALASKA SOME AREAS MAY EXPERIENCE SMALL SEA LEVEL CHANGES IN AREAS OF INTENSE SHAKING LOCALLY GENERATED TSUNAMIS CAN BE TRIGGERED BY SLUMPING THE PACIFIC TSUNAMI WARNING CENTER WILL ISSUE TSUNAMI BULLETINS FOR HAWAII AND OTHER AREAS OF THE PACIFIC THIS WILL BE THE ONLY BULLETIN ISSUED FOR THIS EVENT BY THE WEST COAST AND ALASKA TSUNAMI WARNING CENTER UNLESS CONDITIONS WARRANT IF AVAILABLE REFER TO THE INTERNET SITE FOR MORE INFORMATION TSUPAQ WEPA PAAQ EDIS PST Special thanks to craigslist for helping get this to you quickly To update or terminate your subscription to this email service visit our webpage at edismailhtml Please DO NOT reply to this message replies may be treated as errors and result in your subscription being deleted If you have trouble with the Web form or for other queries email But for faster service try the Web method first EDIS is operated by the Governors Office of Emergency Services State of California This email relay service is offered by incidentcom on a noncommercial subscriptiononly basis Because of the complexity of this system and its dependence on other systems we cannot be responsible for delays or failures in forwarding or transmission 
<30682670.1075841337680.JavaMail.evans@thyme>,edismail@incident.com,2002-02-28 09:15:15,EDIS FIRE WEATHER BULLETIN News Statewidepst GEOGRAPHICAL AREA COORDINATION CENTER INTERAGENCY FIRE FORECAST WARNING UNIT RIVERSIDE CALIFORNIA pdt Thursday February CHANGE FIRE WEATHER WATCH TO RED FLAG WARNING FOR SANTA ANA WINDS FROM HOURS FRIDAY THROUGH HOURS SUNDAY OVER THE MOUNTAINS AND THROUGH AND BELOW CANYONS AND PASSES OF SOUTHERN CALIFORNIA FROM VENTURA COUNTY SOUTHWARD DISCUSSION North to east winds will become strong and gusty Friday through Sunday morning and be accompanied by very low humidities Sustained wind speeds will be between to mph with much higher gusts in wind prone areas Winds will slowly decrease Sunday afternoon with light winds expected by Monday ENDShameson RFWUCR WWUS KLOX EDIS PST Special thanks to craigslist for helping get this to you quickly To update or terminate your subscription to this email service visit our webpage at edismailhtml Please DO NOT reply to this message replies may be treated as errors and result in your subscription being deleted If you have trouble with the Web form or for other queries email But for faster service try the Web method first EDIS is operated by the Governors Office of Emergency Services State of California This email relay service is offered by incidentcom on a noncommercial subscriptiononly basis Because of the complexity of this system and its dependence on other systems we cannot be responsible for delays or failures in forwarding or transmission 
<17449465.1075841337763.JavaMail.evans@thyme>,edismail@incident.com,2002-02-27 09:27:01,EDIS FIRE WEATHER BULLETIN News Statewidepst GEOGRAPHICAL AREA COORDINATION CENTER INTERAGENCY FIRE FORECAST WARNING UNIT RIVERSIDE CALIFORNIA pdt Wednesday February FIRE WEATHER WATCH FOR SANTA ANA WINDS FROM HOURS FRIDAY THROUGH HOURS SATURDAY OVER THE MOUNTAINS AND THROUGH AND BELOW CANYONS AND PASSES OF SOUTHERN CALIFORNIA FROM VENTURA COUNTY SOUTHWARD DISCUSSION North to east winds will become strong and gusty late Thursday night through Saturday afternoon and be accompanied by very low humidities Sustained wind speeds will be between to mph with much higher gusts in wind prone areas Winds will slowly decrease Saturday night and Sunday ENDShameson RFWUCR WWUS KLOX EDIS PST Special thanks to craigslist for helping get this to you quickly To update or terminate your subscription to this email service visit our webpage at edismailhtml Please DO NOT reply to this message replies may be treated as errors and result in your subscription being deleted If you have trouble with the Web form or for other queries email But for faster service try the Web method first EDIS is operated by the Governors Office of Emergency Services State of California This email relay service is offered by incidentcom on a noncommercial subscriptiononly basis Because of the complexity of this system and its dependence on other systems we cannot be responsible for delays or failures in forwarding or transmission 
<2484490.1075841338019.JavaMail.evans@thyme>,edismail@incident.com,2002-02-22 19:15:00,EDIS SEARCH RESCUE DOGS TO BE PUT TO THE TEST News Statewidepst From Governors Office of Emergency Services WHAT This weekend the Governors Office of Emergency Services in coordination with its Sacramento Urban Search Rescue Task Force will test Urban Search Rescue canines During the Disaster Search Canine Readiness Evaluation each canine will undergo a rigorous hour test rescuing mock victims from rubble piles of various configurations WHO Eleven USR canines from various parts of California seven from other states and one from Canada Some of the canines are being tested for the first time others are being recertified as required every two years but most are being tested for a promotion WHENEight dogs will be tested each day on rotation Saturday and Sunday handlers and canines will congregate at am with victims taking their places at am The tests will run each day at am am pm WHERE FlorinPerkins Landfill Florin Perkins Road Sacramento OES coordinates statelevel emergency preparedness response recovery and mitigation for a wide range of natural and humancaused emergencies and disasters These include earthquakes floods fires hazardous material incidents nuclear power plant emergencies dam breaks and other disasters and emergencies Among its duties OES coordinates the states mutual aid systems for fire rescue law enforcement and other emergency response and recovery disciplines For more information contact Sacramento USRPatrick Ellis OESSheryl Tankersley EDIS PST Special thanks to craigslist for helping get this to you quickly To update or terminate your subscription to this email service visit our webpage at edismailhtml Please DO NOT reply to this message replies may be treated as errors and result in your subscription being deleted If you have trouble with the Web form or for other queries email But for faster service try the Web method first EDIS is operated by the Governors Office of Emergency Services State of California This email relay service is offered by incidentcom on a noncommercial subscriptiononly basis Because of the complexity of this system and its dependence on other systems we cannot be responsible for delays or failures in forwarding or transmission 
<20234115.1075841528055.JavaMail.evans@thyme>,edismail@incident.com,2001-06-18 13:44:41,EDIS FORECAST UPDATE NOTIFICATION News StatewidePST From ISO ISO no longer forecasts potential load interruptions for through based on system conditions as of See ISO Website for Disclaimer For more information contact EDIS PDT To update or terminate your subscription to this email service visit our webpage at edismailhtml EDIS is operated by the Governors Office of Emergency Services State of California This email relay is offered by incidentcom as a public service Because of the complexity of this system and its dependence on other systems we cannot be responsible for delays or failures in transmission 
