Message_id,From,Time_stamp,Text
<17969678.1075845090662.JavaMail.evans@thyme>,eserver@enron.com,2001-05-31 14:29:04,Concur Expense Document Dues and forum feesJamespst The Approval status has changed on the following report Status last changed by Automated Administrator Expense Report Name Dues and forum fees Report Total Amount Due Employee Amount Approved Amount Paid Approval Status Pending Payment Status Pending To review this expense report click on the following link for Concur Expense 
<26495276.1075845090685.JavaMail.evans@thyme>,eserver@enron.com,2001-05-31 14:37:56,Concur Expense Document Dues and forum feesJamespst The Approval status has changed on the following report Status last changed by Sherri Sera Expense Report Name Dues and forum fees Report Total Amount Due Employee Amount Approved Amount Paid Approval Status Accounting Review Payment Status Pending To review this expense report click on the following link for Concur Expense 
<19292267.1075845090760.JavaMail.evans@thyme>,eserver@enron.com,2001-06-04 07:52:33,Concur Expense Document Summer Clerk LunchJamespst The Payment status has changed on the following report Status last changed by Marie Wallace Expense Report Name Summer Clerk Lunch Report Total Amount Due Employee Amount Approved Amount Paid Approval Status Approved Payment Status In Progress To review this expense report click on the following link for Concur Expense 
<8668334.1075845090788.JavaMail.evans@thyme>,eserver@enron.com,2001-06-04 07:52:33,Concur Expense Document Dues and forum feesJamespst The Payment status has changed on the following report Status last changed by Marie Wallace Expense Report Name Dues and forum fees Report Total Amount Due Employee Amount Approved Amount Paid Approval Status Approved Payment Status In Progress To review this expense report click on the following link for Concur Expense 
<12468575.1075845090906.JavaMail.evans@thyme>,eserver@enron.com,2001-05-29 07:24:34,Concur Expense Document TNPC Board MeetingJamespst The Payment status has changed on the following report Status last changed by System Expense Report Name TNPC Board Meeting Report Total Amount Due Employee Amount Approved Amount Paid Approval Status Approved Payment Status In Progress To review this expense report click on the following link for Concur Expense 
<22236447.1075845090328.JavaMail.evans@thyme>,eserver@enron.com,2001-05-30 15:53:24,Concur Expense Document Summer Clerk LunchJamespst The Payment status has changed on the following report Status last changed by Kerry Harrington Expense Report Name Summer Clerk Lunch Report Total Amount Due Employee Amount Approved Amount Paid Approval Status PreApproved Payment Status Authorized To review this expense report click on the following link for Concur Expense 
<11572455.1075845091191.JavaMail.evans@thyme>,eserver@enron.com,2001-06-04 15:06:43,Concur Expense Document variousJamespst The Payment status has changed on the following report Status last changed by Kerry Harrington Expense Report Name various Report Total Amount Due Employee Amount Approved Amount Paid Approval Status PreApproved Payment Status Authorized To review this expense report click on the following link for Concur Expense 
<16769180.1075845091214.JavaMail.evans@thyme>,eserver@enron.com,2001-06-05 09:18:58,Concur Expense Document variousJamespst The Payment status has changed on the following report Status last changed by Marie Wallace Expense Report Name various Report Total Amount Due Employee Amount Approved Amount Paid Approval Status Approved Payment Status In Progress To review this expense report click on the following link for Concur Expense 
<27249194.1075845099964.JavaMail.evans@thyme>,eserver@enron.com,2001-05-25 08:13:43,Concur Expense Document TNPC Board MeetingJamespst The Payment status has changed on the following report Status last changed by Kerry Harrington Expense Report Name TNPC Board Meeting Report Total Amount Due Employee Amount Approved Amount Paid Approval Status PreApproved Payment Status Authorized To review this expense report click on the following link for Concur Expense 
<21817422.1075845101293.JavaMail.evans@thyme>,eserver@enron.com,2001-06-01 14:23:36,Concur Expense Document Dues and forum feesJamespst The Payment status has changed on the following report Status last changed by Kerry Harrington Expense Report Name Dues and forum fees Report Total Amount Due Employee Amount Approved Amount Paid Approval Status PreApproved Payment Status Authorized To review this expense report click on the following link for Concur Expense 
