Message_id,From,Time_stamp,Text
<15838185.1075855491523.JavaMail.evans@thyme>,general.announcement@enron.com,2001-04-22 13:18:00,Online Auction and Raffle benefiting March of Dimesis your chance to buy or win great prizes AND benefit a great cause March of Dimes Online Auction Wednesday April and Thursday April Auction opens Wednesday am and closes Thursday pm Auction items include Astros suite Primo parking spot Astros tickets Dinner for two Massage and many more items To make your bid click on or appsauctionnsf High bidders will be notified on Friday April Visa MasterCard and American Express accepted Raffle Drawing Buy your tickets Wednesday April and Thursday April upstairs outside of the Energizer from am pm On Friday April buy your tickets at the Big E Cafe from am pm Tickets for for and for Raffle Prizes include Two roundtrip Continental Airlines in the contiguous states Compaq PA Personal Audio Player Manicure and Pedicure at Urban Retreat Astros tickets and many more Raffle drawing will be held on Friday April at pm Winners will be notified on Friday afternoon Dont miss this opportunity to contribute to the March of Dimes
<7372152.1075855493349.JavaMail.evans@thyme>,general.announcement@enron.com,2001-04-22 13:18:00,Online Auction and Raffle benefiting March of Dimesis your chance to buy or win great prizes AND benefit a great cause March of Dimes Online Auction Wednesday April and Thursday April Auction opens Wednesday am and closes Thursday pm Auction items include Astros suite Primo parking spot Astros tickets Dinner for two Massage and many more items To make your bid click on or appsauctionnsf High bidders will be notified on Friday April Visa MasterCard and American Express accepted Raffle Drawing Buy your tickets Wednesday April and Thursday April upstairs outside of the Energizer from am pm On Friday April buy your tickets at the Big E Cafe from am pm Tickets for for and for Raffle Prizes include Two roundtrip Continental Airlines in the contiguous states Compaq PA Personal Audio Player Manicure and Pedicure at Urban Retreat Astros tickets and many more Raffle drawing will be held on Friday April at pm Winners will be notified on Friday afternoon Dont miss this opportunity to contribute to the March of Dimes
<15539605.1075845151773.JavaMail.evans@thyme>,general.announcement@enron.com,2001-05-13 22:33:00,Remote control your airconditioner and heaterNewPower to offer another pilot program to Houston employees Free remote energy management solution helps you to manage rising energy bills NewPower is launching a revolutionary technology pilot to the first people to sign up in the Houston area The NewPower Connections Remote Energy Management Solution is a pilot program designed to give consumers control of their thermostat via the Internet The program will allow thermostats to be adjusted from anywhere with any Internetenabled device including computers webenabled cell phones palm OS devices or pocket PCs Sears Home Central will install and service the Remote Energy Management Solution at no charge throughout the duration of the pilot program For a typical household the threemonth pilot could result in up to percent to percent utility bill savings based on personal usage and the size of your home Be among the first to participate absolutely free Enrollment with the NewPower Connections Remote Energy Management Solution pilot program starts May and continues through the end of the month For more information about this offer visit NewPowers table located in the Plaza of the Enron Building near the down escalator from am to pm during the week of May To become a pilot participant you need only to be a homeowner in the Houston area and have Internet access You do not even have to be a NewPower electricity customer to participate For more information about NewPower Connections send an email to Disclaimers Any contract for goods or services that is entered into by an Enron employee with respect to the NewPower program shall be solely between NewPower and such employee Enron assumes no obligation on behalf of NewPower and makes no representations warranties or guaranties with respect to NewPower any goods or services offered or provided by NewPower HomeEnroncom
<22358379.1075860336925.JavaMail.evans@thyme>,general.announcement@enron.com,2001-04-22 13:18:00,Online Auction and Raffle benefiting March of Dimesis your chance to buy or win great prizes AND benefit a great cause March of Dimes Online Auction Wednesday April and Thursday April Auction opens Wednesday am and closes Thursday pm Auction items include Astros suite Primo parking spot Astros tickets Dinner for two Massage and many more items To make your bid click on or appsauctionnsf High bidders will be notified on Friday April Visa MasterCard and American Express accepted Raffle Drawing Buy your tickets Wednesday April and Thursday April upstairs outside of the Energizer from am pm On Friday April buy your tickets at the Big E Cafe from am pm Tickets for for and for Raffle Prizes include Two roundtrip Continental Airlines in the contiguous states Compaq PA Personal Audio Player Manicure and Pedicure at Urban Retreat Astros tickets and many more Raffle drawing will be held on Friday April at pm Winners will be notified on Friday afternoon Dont miss this opportunity to contribute to the March of Dimes
<10179364.1075860337757.JavaMail.evans@thyme>,general.announcement@enron.com,2001-04-15 12:34:00,Sharpen Your NetiquetteWhats that Well in case you didnt know Netiquette is the proper use of email Because we all spend a large portion of our day communicating with customers vendors and coworkers via email here are some tips to help you polish your email skills and send you on your way to Netiquette success Short Sweet Keep your messages concise and to the point Cluless In The subject line can be a couple of words or a short phrase that gives the reader a hint to the contents of your message ARE YOU ANGRY The use of UPPERCASE text is the equivalent of yelling in the world of email Lower the case and thus your email voice Are You Still Angry Watch out for excessive punctuation like exclamation points If something is important put it in words not exclamation points We Can Become Too Attached Think of your reader and whenever possible put your message in the body of the email rather than in an attachment Does Everyone Need To Know Be careful when you send replies to all recipients of an email Ask yourself if everyone really needs to see your response If not youll be using up disk space cluttering inboxes and slowing the mail servers unnecessarily Spellcheck Is Your Friend Like printed documents email deserves a review to assure that grammar and spelling are correct Privacy On The Net There is no such thing as private email Never send anything by email that you would not want to see on the front page of tomorrows newspaper There are no security guarantees with electronic mail Eyes Only In Cyberspace Avoid sending any confidential or sensitive information via email Remember its very easy for someone else to forward messages you considered confidential Even messages sent as Confidential can be copied Quick Tips Refine Your Skills Long paragraphs are hard to read Break them up into smaller ones of two to three sentences The use of abbreviations should be minimal When sending email outside Enron keep it plain and simple That means no elaborate use of formatting tools such as bold indent etc Your email signature should be the same one you use on printed documents Address people in business email the same way you normally would in person or in a letter eg Bob or Ms Smith Sarcasm is dangerous to use in email Remember email does not convey emotions
<12047572.1075860340901.JavaMail.evans@thyme>,general.announcement@enron.com,2001-04-02 16:53:00,Enrons Goalsvision to become The Worlds Leading Company positions our company for great success this year and beyond Our success is dependent on execution With that in mind we are making Enrons corporate and business unit goals available to employees Please take a few minutes to review our goals on Enrons intranet at bowne We believe they will help you gain a better understanding of our vision for the company and will inspire you to identify innovative ways to help your organization and Enron achieve our objectives We have a lot to accomplish this year and with your hard work and dedication we can realize another year of stellar performance
<12789119.1075860424446.JavaMail.evans@thyme>,general.announcement@enron.com,2001-04-22 13:18:00,Online Auction and Raffle benefiting March of Dimesis your chance to buy or win great prizes AND benefit a great cause March of Dimes Online Auction Wednesday April and Thursday April Auction opens Wednesday am and closes Thursday pm Auction items include Astros suite Primo parking spot Astros tickets Dinner for two Massage and many more items To make your bid click on or appsauctionnsf High bidders will be notified on Friday April Visa MasterCard and American Express accepted Raffle Drawing Buy your tickets Wednesday April and Thursday April upstairs outside of the Energizer from am pm On Friday April buy your tickets at the Big E Cafe from am pm Tickets for for and for Raffle Prizes include Two roundtrip Continental Airlines in the contiguous states Compaq PA Personal Audio Player Manicure and Pedicure at Urban Retreat Astros tickets and many more Raffle drawing will be held on Friday April at pm Winners will be notified on Friday afternoon Dont miss this opportunity to contribute to the March of Dimes
<27857993.1075860420946.JavaMail.evans@thyme>,general.announcement@enron.com,2001-04-02 16:53:00,Enrons Goalsvision to become The Worlds Leading Company positions our company for great success this year and beyond Our success is dependent on execution With that in mind we are making Enrons corporate and business unit goals available to employees Please take a few minutes to review our goals on Enrons intranet at bowne We believe they will help you gain a better understanding of our vision for the company and will inspire you to identify innovative ways to help your organization and Enron achieve our objectives We have a lot to accomplish this year and with your hard work and dedication we can realize another year of stellar performance
<29527843.1075860423607.JavaMail.evans@thyme>,general.announcement@enron.com,2001-04-15 12:34:00,Sharpen Your NetiquetteWhats that Well in case you didnt know Netiquette is the proper use of email Because we all spend a large portion of our day communicating with customers vendors and coworkers via email here are some tips to help you polish your email skills and send you on your way to Netiquette success Short Sweet Keep your messages concise and to the point Cluless In The subject line can be a couple of words or a short phrase that gives the reader a hint to the contents of your message ARE YOU ANGRY The use of UPPERCASE text is the equivalent of yelling in the world of email Lower the case and thus your email voice Are You Still Angry Watch out for excessive punctuation like exclamation points If something is important put it in words not exclamation points We Can Become Too Attached Think of your reader and whenever possible put your message in the body of the email rather than in an attachment Does Everyone Need To Know Be careful when you send replies to all recipients of an email Ask yourself if everyone really needs to see your response If not youll be using up disk space cluttering inboxes and slowing the mail servers unnecessarily Spellcheck Is Your Friend Like printed documents email deserves a review to assure that grammar and spelling are correct Privacy On The Net There is no such thing as private email Never send anything by email that you would not want to see on the front page of tomorrows newspaper There are no security guarantees with electronic mail Eyes Only In Cyberspace Avoid sending any confidential or sensitive information via email Remember its very easy for someone else to forward messages you considered confidential Even messages sent as Confidential can be copied Quick Tips Refine Your Skills Long paragraphs are hard to read Break them up into smaller ones of two to three sentences The use of abbreviations should be minimal When sending email outside Enron keep it plain and simple That means no elaborate use of formatting tools such as bold indent etc Your email signature should be the same one you use on printed documents Address people in business email the same way you normally would in person or in a letter eg Bob or Ms Smith Sarcasm is dangerous to use in email Remember email does not convey emotions
<6036376.1075860437911.JavaMail.evans@thyme>,general.announcement@enron.com,2001-04-22 13:18:00,Online Auction and Raffle benefiting March of Dimesis your chance to buy or win great prizes AND benefit a great cause March of Dimes Online Auction Wednesday April and Thursday April Auction opens Wednesday am and closes Thursday pm Auction items include Astros suite Primo parking spot Astros tickets Dinner for two Massage and many more items To make your bid click on or appsauctionnsf High bidders will be notified on Friday April Visa MasterCard and American Express accepted Raffle Drawing Buy your tickets Wednesday April and Thursday April upstairs outside of the Energizer from am pm On Friday April buy your tickets at the Big E Cafe from am pm Tickets for for and for Raffle Prizes include Two roundtrip Continental Airlines in the contiguous states Compaq PA Personal Audio Player Manicure and Pedicure at Urban Retreat Astros tickets and many more Raffle drawing will be held on Friday April at pm Winners will be notified on Friday afternoon Dont miss this opportunity to contribute to the March of Dimes
