Message_id,From,Time_stamp,Text
<3998479.1075844996692.JavaMail.evans@thyme>,grsinc@erols.com,1999-07-13 03:52:00,GRS ElectricGasOil Alert Report TexasNew Mexico Power Company and SW Acquisition LP EC ES On July th TNMP on behalf of itself and its holding company TNP Enterprises together with SW Acquisition on behalf of itself and its subsidiary ST Acquisition Corp filed a joint Section application to dispose of the jurisdicitional facilities of TNMP to SW Acquisition The joint application was filed pursuant to an agreement and plan of merger between TNP and SW Acquisition TNMP also filed a Section request for Commission authorization to issue securities andor assume liabilities The GRS EGO Alert electric gas oil email notification is a free courtesy service of Gadsden Research Services Inc Washingtons regulatory research specialists Periodically generally once or twice weekly GRS will broadcast the EGO Alert with descriptions of major FERC issuances or filings such as rulemakings policy statements mergers new rate filings major rate changes and certificate filings GRS can provide hardcopies of any of the above listed items at nominal charges for document requests or estimates of charges please reply to or call toll free For a mailed copy of the GRS brochure of services and rates for FERC SEC DOE and other federal agency researchplease email your street address to The EGO Alert subscription list is used for the sole purpose of providing information on FERC and energy industry activity and will not be sold or otherwise distributed to any other business or organization For additions or removal from the EGO Alert notification list please reply to Send suggestions on how the EGO Alert can better serve the energy community to atthtm
<4361345.1075846149122.JavaMail.evans@thyme>,grsinc@erols.com,2000-02-29 06:45:00,GRS ElectricGasOil Alert HYDRO REPORT New York State Reliability Council ER Revisions to the Installed Capacity Requirement for the New York Control Area for the Capability Year beginning on May and ending April North American Electric Reliability Council ER Revision of NERCs Transmission Loading Relief Procedures The United Illuminating Company EC Application for authority to implement UIs proposed holding company structure and the resulting disposition of facilities pursuant to the corporate reorganization NATURAL GAS OIL Report Petal Gas Storage LLC CP Amended application to eliminate the transportation facilities and associated environmental review considerations associated with Petals December application by seeking authority to construct storagerelated facilities on and adjacent to the Petal salt dome storage plant and to expand Petals current interconnection with Tennessee Gas Pipeline Companys line National Fuel Gas Supply Corporation CP Application for authorization to replace National Fuels Lines S and AM for the abandonment in place of Line L and the relocation modification or abandonment of certain appurtenant stations in Warren McKean and Elk Counties Pennsylvania National Fuel also seeks to add approximately hp of compression at its Roystone Compression Station in Warren County National Fuel states that the proposed facilities would enable the provision of additional firm transportation service to its affiliated local distribution company National Fuel Gas Distribution Corporation CNG Transmission Corporation CP Application for necessary authorizations to allow CNG to plug and abandon Bridgeport Storage Well and associated facilities and drill up to five new replacement storage wells necessitated by the proposed construction of the Bridgeport Bypass project by the West Virginia Department of Transportation Honeoye Storage Corporation CP CP CP Applications for abandonment of service to Providence Gas Company certificate authority to expand Honeoyes storage facilities in Ontario County NY and blanket certificate authority to offer open access service at market based rates Kinder Morgan Interstate Gas Transmission GT Revision to entire FERC Gas Tariff to reflect a name change from K N Interstate Gas Transmission Co to Kinder Morgan Interstate Gas Transmission To request a copy of any of the above listed filings please call or tollfree or email The GRS EGO Alert electric gas oil email notification is a free courtesy service of Gadsden Research Services Inc Washingtons regulatory research specialists Periodically generally once or twice weekly GRS will broadcast the EGO Alert with descriptions of major FERC issuances or filings such as rulemakings policy statements mergers new rate filings major rate changes and certificate filings GRS can provide hardcopies of any of the above listed items at nominal charges for document requests or estimates of charges please reply to or call toll free For a mailed copy of the GRS brochure of services and rates for FERC SEC DOE and other federal agency researchplease email your street address to The EGO Alert subscription list is used for the sole purpose of providing information on FERC and energy industry activity and will not be sold or otherwise distributed to any other business or organization For additions or removal from the EGO Alert notification list please reply to Send suggestions on how the EGO Alert can better serve the energy community to atthtm
<8380719.1075846156778.JavaMail.evans@thyme>,grsinc@erols.com,2000-06-21 06:26:00,GRS ElectricGasOil Alert ElectricGasOil Alert June ELECTRIC HYDRO REPORT Entergy Services Inc ER Section application on behalf of the Entergy Operating Companies submitting amendments to the System Agreement between ESI and the Operating Companies to facilitate the introduction of retail competition in Arkansas and Texas and to provide for continued rough equalization of costs among the Operating Companies in Louisiana and Mississippi Consumers Energy Company EC ER Section and applications for approval of an alternative governance structure for the Alliance Regional Transmission Organization El Paso Electric Company El Paso Electric Generating Company and El Paso Transmission and Distribution Company EC ER ES Section and applications to effectuate a corporate restructuring required by electric industry restructuring in Texas and New Mexico Includes two wholesale power contracts between EPE Genco and TD Utility to enable TD utility to provide bundled electric service to EPEs current retail customers pending the implementation of retail customer choice PJM Interconnection LLC EL ES Atlantic City Electric Company et al EC Petition for declaratory order requesting that the Commission find that PJM may recover from its customers through formula rates the costs to acquire from the PJM transmission owners the information technology and other assets PJM uses to conduct its operations Companion filings include a Section application for the transfer of the assets from their current owners to PJM and a Section application to obtain the financing needed by PJM to acquire the assets NATURAL GAS OIL Report Chevron Pipe Line Company OR Application for authority to charge marketbased rates for deliveries of petroleum products on CPLs two pipelines originating in El Paso Texas for deliveries to Belen and Albuquerque New Mexico on the Albuquerque Products System and to Juarez Mexico by means of the Juarez Line Order No Compliance Filings On June the following companies submitted tariff filings in compliance with Order No Algonquin Gas Transmission RP Algonquin LNG Inc RP ANR Pipeline Company RP ANR Storage Company RP Arkansas Western Pipeline Company LLC RP Black Marlin Pipeline Company RP RP Blue Lake Gas Storage Company RP Canyon Creek Compression Company RP RP Chandeleur Pipe Line Company RP Colorado Interstate Gas Company RP Columbia Gas Transmission Corp RP Columbia Gulf Transmission Company RP Crossroads Pipeline Company RP Dauphin Island Gathering Partnership RP Destin Pipeline Company LLC RP Discovery Gas Transmission LLC RP Dominion Transmission Inc formerly CNG Transmission Corp RP Egan Hub Partners LP RP El Paso Natural Gas Company RP Garden Banks Gas Pipeline LLC RP Great Lakes Gas Transmission LP RP Kinder Morgan Interstate Gas Transmission LLC RP Kansas Pipeline Company RP Kern River Gas Transmission Company RP KN Wattenberg Transmission LLC RP RP Koch Gateway Pipeline Company RP MIGC RP Mojave Pipeline Company RP Mississippi Canyon Gas Pipeline LLC RP To request a copy of any of the above listed filings please call or tollfree or email The GRS EGO Alert electric gas oil email notification is a free courtesy service of Gadsden Research Services Inc Washingtons regulatory research specialists Periodically generally once or twice weekly GRS will broadcast the EGO Alert with descriptions of major FERC issuances or filings such as rulemakings policy statements mergers new rate filings major rate changes and certificate filings GRS can provide hardcopies of any of the above listed items at nominal charges for document requests or estimates of charges please reply to or call toll free For a mailed copy of the GRS brochure of services and rates for FERC SEC DOE and other federal agency researchplease email your street address to The EGO Alert subscription list is used for the sole purpose of providing information on FERC and energy industry activity and will not be sold or otherwise distributed to any other business or organization For additions or removal from the EGO Alert notification list please reply to Send suggestions on how the EGO Alert can better serve the energy community to atthtm grslogobmp
<17081207.1075846156893.JavaMail.evans@thyme>,grsinc@erols.com,2000-06-21 17:06:00,GRS ElectricGasOil Alert AgendaElectricGasOil Alert June FERC Agenda for June to review the complete list of agenda items in html go to publicisdsunshinehtm To request a copy of any of the above listed filings please call or tollfree or email The GRS EGO Alert electric gas oil email notification is a free courtesy service of Gadsden Research Services Inc Washingtons regulatory research specialists Periodically generally once or twice weekly GRS will broadcast the EGO Alert with descriptions of major FERC issuances or filings such as rulemakings policy statements mergers new rate filings major rate changes and certificate filings GRS can provide hardcopies of any of the above listed items at nominal charges for document requests or estimates of charges please reply to or call toll free For a mailed copy of the GRS brochure of services and rates for FERC SEC DOE and other federal agency researchplease email your street address to The EGO Alert subscription list is used for the sole purpose of providing information on FERC and energy industry activity and will not be sold or otherwise distributed to any other business or organization For additions or removal from the EGO Alert notification list please reply to Send suggestions on how the EGO Alert can better serve the energy community to atthtm grslogobmp
<14391934.1075846253114.JavaMail.evans@thyme>,grsinc@erols.com,2000-06-21 17:06:00,GRS ElectricGasOil Alert AgendaElectricGasOil Alert June FERC Agenda for June to review the complete list of agenda items in html go to publicisdsunshinehtm To request a copy of any of the above listed filings please call or tollfree or email The GRS EGO Alert electric gas oil email notification is a free courtesy service of Gadsden Research Services Inc Washingtons regulatory research specialists Periodically generally once or twice weekly GRS will broadcast the EGO Alert with descriptions of major FERC issuances or filings such as rulemakings policy statements mergers new rate filings major rate changes and certificate filings GRS can provide hardcopies of any of the above listed items at nominal charges for document requests or estimates of charges please reply to or call toll free For a mailed copy of the GRS brochure of services and rates for FERC SEC DOE and other federal agency researchplease email your street address to The EGO Alert subscription list is used for the sole purpose of providing information on FERC and energy industry activity and will not be sold or otherwise distributed to any other business or organization For additions or removal from the EGO Alert notification list please reply to Send suggestions on how the EGO Alert can better serve the energy community to atthtm grslogobmp
<32771152.1075846253231.JavaMail.evans@thyme>,grsinc@erols.com,2000-06-21 06:26:00,GRS ElectricGasOil Alert ElectricGasOil Alert June ELECTRIC HYDRO REPORT Entergy Services Inc ER Section application on behalf of the Entergy Operating Companies submitting amendments to the System Agreement between ESI and the Operating Companies to facilitate the introduction of retail competition in Arkansas and Texas and to provide for continued rough equalization of costs among the Operating Companies in Louisiana and Mississippi Consumers Energy Company EC ER Section and applications for approval of an alternative governance structure for the Alliance Regional Transmission Organization El Paso Electric Company El Paso Electric Generating Company and El Paso Transmission and Distribution Company EC ER ES Section and applications to effectuate a corporate restructuring required by electric industry restructuring in Texas and New Mexico Includes two wholesale power contracts between EPE Genco and TD Utility to enable TD utility to provide bundled electric service to EPEs current retail customers pending the implementation of retail customer choice PJM Interconnection LLC EL ES Atlantic City Electric Company et al EC Petition for declaratory order requesting that the Commission find that PJM may recover from its customers through formula rates the costs to acquire from the PJM transmission owners the information technology and other assets PJM uses to conduct its operations Companion filings include a Section application for the transfer of the assets from their current owners to PJM and a Section application to obtain the financing needed by PJM to acquire the assets NATURAL GAS OIL Report Chevron Pipe Line Company OR Application for authority to charge marketbased rates for deliveries of petroleum products on CPLs two pipelines originating in El Paso Texas for deliveries to Belen and Albuquerque New Mexico on the Albuquerque Products System and to Juarez Mexico by means of the Juarez Line Order No Compliance Filings On June the following companies submitted tariff filings in compliance with Order No Algonquin Gas Transmission RP Algonquin LNG Inc RP ANR Pipeline Company RP ANR Storage Company RP Arkansas Western Pipeline Company LLC RP Black Marlin Pipeline Company RP RP Blue Lake Gas Storage Company RP Canyon Creek Compression Company RP RP Chandeleur Pipe Line Company RP Colorado Interstate Gas Company RP Columbia Gas Transmission Corp RP Columbia Gulf Transmission Company RP Crossroads Pipeline Company RP Dauphin Island Gathering Partnership RP Destin Pipeline Company LLC RP Discovery Gas Transmission LLC RP Dominion Transmission Inc formerly CNG Transmission Corp RP Egan Hub Partners LP RP El Paso Natural Gas Company RP Garden Banks Gas Pipeline LLC RP Great Lakes Gas Transmission LP RP Kinder Morgan Interstate Gas Transmission LLC RP Kansas Pipeline Company RP Kern River Gas Transmission Company RP KN Wattenberg Transmission LLC RP RP Koch Gateway Pipeline Company RP MIGC RP Mojave Pipeline Company RP Mississippi Canyon Gas Pipeline LLC RP To request a copy of any of the above listed filings please call or tollfree or email The GRS EGO Alert electric gas oil email notification is a free courtesy service of Gadsden Research Services Inc Washingtons regulatory research specialists Periodically generally once or twice weekly GRS will broadcast the EGO Alert with descriptions of major FERC issuances or filings such as rulemakings policy statements mergers new rate filings major rate changes and certificate filings GRS can provide hardcopies of any of the above listed items at nominal charges for document requests or estimates of charges please reply to or call toll free For a mailed copy of the GRS brochure of services and rates for FERC SEC DOE and other federal agency researchplease email your street address to The EGO Alert subscription list is used for the sole purpose of providing information on FERC and energy industry activity and will not be sold or otherwise distributed to any other business or organization For additions or removal from the EGO Alert notification list please reply to Send suggestions on how the EGO Alert can better serve the energy community to atthtm grslogobmp
<25855479.1075846260886.JavaMail.evans@thyme>,grsinc@erols.com,2000-02-29 06:45:00,GRS ElectricGasOil Alert HYDRO REPORT New York State Reliability Council ER Revisions to the Installed Capacity Requirement for the New York Control Area for the Capability Year beginning on May and ending April North American Electric Reliability Council ER Revision of NERCs Transmission Loading Relief Procedures The United Illuminating Company EC Application for authority to implement UIs proposed holding company structure and the resulting disposition of facilities pursuant to the corporate reorganization NATURAL GAS OIL Report Petal Gas Storage LLC CP Amended application to eliminate the transportation facilities and associated environmental review considerations associated with Petals December application by seeking authority to construct storagerelated facilities on and adjacent to the Petal salt dome storage plant and to expand Petals current interconnection with Tennessee Gas Pipeline Companys line National Fuel Gas Supply Corporation CP Application for authorization to replace National Fuels Lines S and AM for the abandonment in place of Line L and the relocation modification or abandonment of certain appurtenant stations in Warren McKean and Elk Counties Pennsylvania National Fuel also seeks to add approximately hp of compression at its Roystone Compression Station in Warren County National Fuel states that the proposed facilities would enable the provision of additional firm transportation service to its affiliated local distribution company National Fuel Gas Distribution Corporation CNG Transmission Corporation CP Application for necessary authorizations to allow CNG to plug and abandon Bridgeport Storage Well and associated facilities and drill up to five new replacement storage wells necessitated by the proposed construction of the Bridgeport Bypass project by the West Virginia Department of Transportation Honeoye Storage Corporation CP CP CP Applications for abandonment of service to Providence Gas Company certificate authority to expand Honeoyes storage facilities in Ontario County NY and blanket certificate authority to offer open access service at market based rates Kinder Morgan Interstate Gas Transmission GT Revision to entire FERC Gas Tariff to reflect a name change from K N Interstate Gas Transmission Co to Kinder Morgan Interstate Gas Transmission To request a copy of any of the above listed filings please call or tollfree or email The GRS EGO Alert electric gas oil email notification is a free courtesy service of Gadsden Research Services Inc Washingtons regulatory research specialists Periodically generally once or twice weekly GRS will broadcast the EGO Alert with descriptions of major FERC issuances or filings such as rulemakings policy statements mergers new rate filings major rate changes and certificate filings GRS can provide hardcopies of any of the above listed items at nominal charges for document requests or estimates of charges please reply to or call toll free For a mailed copy of the GRS brochure of services and rates for FERC SEC DOE and other federal agency researchplease email your street address to The EGO Alert subscription list is used for the sole purpose of providing information on FERC and energy industry activity and will not be sold or otherwise distributed to any other business or organization For additions or removal from the EGO Alert notification list please reply to Send suggestions on how the EGO Alert can better serve the energy community to atthtm
<2117867.1075851052048.JavaMail.evans@thyme>,grsinc@erols.com,2000-02-29 06:45:00,GRS ElectricGasOil Alert HYDRO REPORT New York State Reliability Council ER Revisions to the Installed Capacity Requirement for the New York Control Area for the Capability Year beginning on May and ending April North American Electric Reliability Council ER Revision of NERCs Transmission Loading Relief Procedures The United Illuminating Company EC Application for authority to implement UIs proposed holding company structure and the resulting disposition of facilities pursuant to the corporate reorganization NATURAL GAS OIL Report Petal Gas Storage LLC CP Amended application to eliminate the transportation facilities and associated environmental review considerations associated with Petals December application by seeking authority to construct storagerelated facilities on and adjacent to the Petal salt dome storage plant and to expand Petals current interconnection with Tennessee Gas Pipeline Companys line National Fuel Gas Supply Corporation CP Application for authorization to replace National Fuels Lines S and AM for the abandonment in place of Line L and the relocation modification or abandonment of certain appurtenant stations in Warren McKean and Elk Counties Pennsylvania National Fuel also seeks to add approximately hp of compression at its Roystone Compression Station in Warren County National Fuel states that the proposed facilities would enable the provision of additional firm transportation service to its affiliated local distribution company National Fuel Gas Distribution Corporation CNG Transmission Corporation CP Application for necessary authorizations to allow CNG to plug and abandon Bridgeport Storage Well and associated facilities and drill up to five new replacement storage wells necessitated by the proposed construction of the Bridgeport Bypass project by the West Virginia Department of Transportation Honeoye Storage Corporation CP CP CP Applications for abandonment of service to Providence Gas Company certificate authority to expand Honeoyes storage facilities in Ontario County NY and blanket certificate authority to offer open access service at market based rates Kinder Morgan Interstate Gas Transmission GT Revision to entire FERC Gas Tariff to reflect a name change from K N Interstate Gas Transmission Co to Kinder Morgan Interstate Gas Transmission To request a copy of any of the above listed filings please call or tollfree or email The GRS EGO Alert electric gas oil email notification is a free courtesy service of Gadsden Research Services Inc Washingtons regulatory research specialists Periodically generally once or twice weekly GRS will broadcast the EGO Alert with descriptions of major FERC issuances or filings such as rulemakings policy statements mergers new rate filings major rate changes and certificate filings GRS can provide hardcopies of any of the above listed items at nominal charges for document requests or estimates of charges please reply to or call toll free For a mailed copy of the GRS brochure of services and rates for FERC SEC DOE and other federal agency researchplease email your street address to The EGO Alert subscription list is used for the sole purpose of providing information on FERC and energy industry activity and will not be sold or otherwise distributed to any other business or organization For additions or removal from the EGO Alert notification list please reply to Send suggestions on how the EGO Alert can better serve the energy community to atthtm
<4388573.1075851010585.JavaMail.evans@thyme>,grsinc@erols.com,2000-06-21 06:26:00,GRS ElectricGasOil Alert ElectricGasOil Alert June ELECTRIC HYDRO REPORT Entergy Services Inc ER Section application on behalf of the Entergy Operating Companies submitting amendments to the System Agreement between ESI and the Operating Companies to facilitate the introduction of retail competition in Arkansas and Texas and to provide for continued rough equalization of costs among the Operating Companies in Louisiana and Mississippi Consumers Energy Company EC ER Section and applications for approval of an alternative governance structure for the Alliance Regional Transmission Organization El Paso Electric Company El Paso Electric Generating Company and El Paso Transmission and Distribution Company EC ER ES Section and applications to effectuate a corporate restructuring required by electric industry restructuring in Texas and New Mexico Includes two wholesale power contracts between EPE Genco and TD Utility to enable TD utility to provide bundled electric service to EPEs current retail customers pending the implementation of retail customer choice PJM Interconnection LLC EL ES Atlantic City Electric Company et al EC Petition for declaratory order requesting that the Commission find that PJM may recover from its customers through formula rates the costs to acquire from the PJM transmission owners the information technology and other assets PJM uses to conduct its operations Companion filings include a Section application for the transfer of the assets from their current owners to PJM and a Section application to obtain the financing needed by PJM to acquire the assets NATURAL GAS OIL Report Chevron Pipe Line Company OR Application for authority to charge marketbased rates for deliveries of petroleum products on CPLs two pipelines originating in El Paso Texas for deliveries to Belen and Albuquerque New Mexico on the Albuquerque Products System and to Juarez Mexico by means of the Juarez Line Order No Compliance Filings On June the following companies submitted tariff filings in compliance with Order No Algonquin Gas Transmission RP Algonquin LNG Inc RP ANR Pipeline Company RP ANR Storage Company RP Arkansas Western Pipeline Company LLC RP Black Marlin Pipeline Company RP RP Blue Lake Gas Storage Company RP Canyon Creek Compression Company RP RP Chandeleur Pipe Line Company RP Colorado Interstate Gas Company RP Columbia Gas Transmission Corp RP Columbia Gulf Transmission Company RP Crossroads Pipeline Company RP Dauphin Island Gathering Partnership RP Destin Pipeline Company LLC RP Discovery Gas Transmission LLC RP Dominion Transmission Inc formerly CNG Transmission Corp RP Egan Hub Partners LP RP El Paso Natural Gas Company RP Garden Banks Gas Pipeline LLC RP Great Lakes Gas Transmission LP RP Kinder Morgan Interstate Gas Transmission LLC RP Kansas Pipeline Company RP Kern River Gas Transmission Company RP KN Wattenberg Transmission LLC RP RP Koch Gateway Pipeline Company RP MIGC RP Mojave Pipeline Company RP Mississippi Canyon Gas Pipeline LLC RP To request a copy of any of the above listed filings please call or tollfree or email The GRS EGO Alert electric gas oil email notification is a free courtesy service of Gadsden Research Services Inc Washingtons regulatory research specialists Periodically generally once or twice weekly GRS will broadcast the EGO Alert with descriptions of major FERC issuances or filings such as rulemakings policy statements mergers new rate filings major rate changes and certificate filings GRS can provide hardcopies of any of the above listed items at nominal charges for document requests or estimates of charges please reply to or call toll free For a mailed copy of the GRS brochure of services and rates for FERC SEC DOE and other federal agency researchplease email your street address to The EGO Alert subscription list is used for the sole purpose of providing information on FERC and energy industry activity and will not be sold or otherwise distributed to any other business or organization For additions or removal from the EGO Alert notification list please reply to Send suggestions on how the EGO Alert can better serve the energy community to atthtm grslogobmp
<15539027.1075851011183.JavaMail.evans@thyme>,grsinc@erols.com,2000-06-21 17:06:00,GRS ElectricGasOil Alert AgendaElectricGasOil Alert June FERC Agenda for June to review the complete list of agenda items in html go to publicisdsunshinehtm To request a copy of any of the above listed filings please call or tollfree or email The GRS EGO Alert electric gas oil email notification is a free courtesy service of Gadsden Research Services Inc Washingtons regulatory research specialists Periodically generally once or twice weekly GRS will broadcast the EGO Alert with descriptions of major FERC issuances or filings such as rulemakings policy statements mergers new rate filings major rate changes and certificate filings GRS can provide hardcopies of any of the above listed items at nominal charges for document requests or estimates of charges please reply to or call toll free For a mailed copy of the GRS brochure of services and rates for FERC SEC DOE and other federal agency researchplease email your street address to The EGO Alert subscription list is used for the sole purpose of providing information on FERC and energy industry activity and will not be sold or otherwise distributed to any other business or organization For additions or removal from the EGO Alert notification list please reply to Send suggestions on how the EGO Alert can better serve the energy community to atthtm grslogobmp
