Message_id,From,Time_stamp,Text
<8410785.1075856290996.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-09-04 04:25:00,HEAs th Annual Sports TournamentKaminski You should have received a fax over the Labor Day weekend regarding our upcoming Sports Tournament If you did not receive it please visit our website at wwwhoustonenergyorg and go to the next scheduled event or just go directly to publicsportscoverdoc for all the information you need Hope to see you there and dont delay in sending in your registration This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically If you did not receive the attached file or it was corrupted you can find it at public
<14331741.1075856310778.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-07-17 06:25:00,HEA Sporting Clays Tourney August member favorite is just a few weeks away and theres still time for you to register and be eligible for the private drawing for a Remington Just send in your form and payment by August and remember YOU MUST BE PRESENT TO WIN The Sporting Clays Committee and HEA want to thank this years sponsors to date and encourage other companies to participate if possible If youd like to join this elite list contact Jim Cody T Kemp Jones or Jeff Eatherton DUKE FIELD SERVICES CORAL ENERGYTEJAS ENERGY SANCHEZ OIL GAS CORP EL PASO FIELD SERVICES RELIANT ENERGY GAS TRANSMISSION RELIANT ENERGY FIELD SERVICES MITCHELL GAS SERVICES COASTAL FIELD SERVICES AND RELIANT ENERGY PIPELINE SERVICES The continued success of this tournament through the enhanced quality of the prizes dinner and services are made affordable only through your contributions and we appreciate your support Other door prizes this year include a Browning Citori and several other guns All prizes will be awarded during dinner in the air conditioned pavilion The Two Man Flush will be shot from a newly covered deck and other areas on the courses have been covered as well So visit the website wwwhoustonenergyorg and fill out a registration form under next event Thats August at the American Shooting Centers Westheimer Parkway and choose between and targets Even nonshooters can come out eat dinner have some drinks and possibly win a door prize and have lots of fun If you have other questions contact Eva Pollard at This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically 
<31656147.1075856323111.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-06-12 07:58:00,HEA SPORTING CLAYS TOURNAMENT August annual Sporting Clays Tournament is just around the corner August at the American Shooting Centers Watch your fax for all the details but prepare for the same format as last year with registration starting at pm late registration after earns shot penalty and the action beginning at pm Warm up with the TwoMan Flush at RESERVATION AND PREPAYMENT REQUIRED BY AUGUST TH A private drawing for a new shotgun will be held for reservationspayments received by August so make your plans now to participate After the competition dinner will be again in the air conditioned pavilion with thousands of dollars in door prizes Non Shooters pay per person for dinner drinks and door prizes Luck of the Draw randomly selected teams pay per person targets dinner drinks door prizes Blast Masters make your own shooter team pay per person targets dinner drinks door prizes Contributions corporate sponsors and volunteers are needed If interested please contact one of our three tournament chairs Jim Cody Jeff Eatherton or Kemp Jones Thanks again to our sponsors from last year Details will be faxed out and available on our website Friday June Or call Eva Pollard at the HEA office or Jim Cody for more information This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically 
<1337604.1075856744659.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-04-24 05:39:00,ENERGY EXTRAVAGANZA WEEKS AWAYEXTRAVAGANZA is just two weeks away Saturday May If you havent bought your ticket or asked your company to sponsor a table do so and let us know There are still spots available for both and you wont want to miss this exciting evening There will be magic dinner dancing and some wonderful silent auction items for the taking Bid on condos in Maui Lake Tahoe and a log home in Angelfire There will be golf and hunting packages sports memorabilia and pamper packages for your significant other There are still a limited number of raffle tickets left for a chance at that new Harley Davidson Custom Sportster so call the HEA office if you would like to buy one or to purchase your gala tickets Dont delay we want to see you there This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically 
<21017391.1075856333743.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-07-17 06:25:00,HEA Sporting Clays Tourney August member favorite is just a few weeks away and theres still time for you to register and be eligible for the private drawing for a Remington Just send in your form and payment by August and remember YOU MUST BE PRESENT TO WIN The Sporting Clays Committee and HEA want to thank this years sponsors to date and encourage other companies to participate if possible If youd like to join this elite list contact Jim Cody T Kemp Jones or Jeff Eatherton DUKE FIELD SERVICES CORAL ENERGYTEJAS ENERGY SANCHEZ OIL GAS CORP EL PASO FIELD SERVICES RELIANT ENERGY GAS TRANSMISSION RELIANT ENERGY FIELD SERVICES MITCHELL GAS SERVICES COASTAL FIELD SERVICES AND RELIANT ENERGY PIPELINE SERVICES The continued success of this tournament through the enhanced quality of the prizes dinner and services are made affordable only through your contributions and we appreciate your support Other door prizes this year include a Browning Citori and several other guns All prizes will be awarded during dinner in the air conditioned pavilion The Two Man Flush will be shot from a newly covered deck and other areas on the courses have been covered as well So visit the website wwwhoustonenergyorg and fill out a registration form under next event Thats August at the American Shooting Centers Westheimer Parkway and choose between and targets Even nonshooters can come out eat dinner have some drinks and possibly win a door prize and have lots of fun If you have other questions contact Eva Pollard at This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically 
<16635597.1075856326061.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-06-12 07:58:00,HEA SPORTING CLAYS TOURNAMENT August annual Sporting Clays Tournament is just around the corner August at the American Shooting Centers Watch your fax for all the details but prepare for the same format as last year with registration starting at pm late registration after earns shot penalty and the action beginning at pm Warm up with the TwoMan Flush at RESERVATION AND PREPAYMENT REQUIRED BY AUGUST TH A private drawing for a new shotgun will be held for reservationspayments received by August so make your plans now to participate After the competition dinner will be again in the air conditioned pavilion with thousands of dollars in door prizes Non Shooters pay per person for dinner drinks and door prizes Luck of the Draw randomly selected teams pay per person targets dinner drinks door prizes Blast Masters make your own shooter team pay per person targets dinner drinks door prizes Contributions corporate sponsors and volunteers are needed If interested please contact one of our three tournament chairs Jim Cody Jeff Eatherton or Kemp Jones Thanks again to our sponsors from last year Details will be faxed out and available on our website Friday June Or call Eva Pollard at the HEA office or Jim Cody for more information This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically 
<4804906.1075856821631.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-04-24 05:39:00,ENERGY EXTRAVAGANZA WEEKS AWAYEXTRAVAGANZA is just two weeks away Saturday May If you havent bought your ticket or asked your company to sponsor a table do so and let us know There are still spots available for both and you wont want to miss this exciting evening There will be magic dinner dancing and some wonderful silent auction items for the taking Bid on condos in Maui Lake Tahoe and a log home in Angelfire There will be golf and hunting packages sports memorabilia and pamper packages for your significant other There are still a limited number of raffle tickets left for a chance at that new Harley Davidson Custom Sportster so call the HEA office if you would like to buy one or to purchase your gala tickets Dont delay we want to see you there This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically 
<595330.1075856347851.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-09-04 04:25:00,HEAs th Annual Sports TournamentKaminski You should have received a fax over the Labor Day weekend regarding our upcoming Sports Tournament If you did not receive it please visit our website at wwwhoustonenergyorg and go to the next scheduled event or just go directly to publicsportscoverdoc for all the information you need Hope to see you there and dont delay in sending in your registration This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically If you did not receive the attached file or it was corrupted you can find it at public
<25339755.1075856615517.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-09-04 04:25:00,HEAs th Annual Sports TournamentKaminski You should have received a fax over the Labor Day weekend regarding our upcoming Sports Tournament If you did not receive it please visit our website at wwwhoustonenergyorg and go to the next scheduled event or just go directly to publicsportscoverdoc for all the information you need Hope to see you there and dont delay in sending in your registration This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically If you did not receive the attached file or it was corrupted you can find it at public
<25005325.1075856615825.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-07-17 06:25:00,HEA Sporting Clays Tourney August member favorite is just a few weeks away and theres still time for you to register and be eligible for the private drawing for a Remington Just send in your form and payment by August and remember YOU MUST BE PRESENT TO WIN The Sporting Clays Committee and HEA want to thank this years sponsors to date and encourage other companies to participate if possible If youd like to join this elite list contact Jim Cody T Kemp Jones or Jeff Eatherton DUKE FIELD SERVICES CORAL ENERGYTEJAS ENERGY SANCHEZ OIL GAS CORP EL PASO FIELD SERVICES RELIANT ENERGY GAS TRANSMISSION RELIANT ENERGY FIELD SERVICES MITCHELL GAS SERVICES COASTAL FIELD SERVICES AND RELIANT ENERGY PIPELINE SERVICES The continued success of this tournament through the enhanced quality of the prizes dinner and services are made affordable only through your contributions and we appreciate your support Other door prizes this year include a Browning Citori and several other guns All prizes will be awarded during dinner in the air conditioned pavilion The Two Man Flush will be shot from a newly covered deck and other areas on the courses have been covered as well So visit the website wwwhoustonenergyorg and fill out a registration form under next event Thats August at the American Shooting Centers Westheimer Parkway and choose between and targets Even nonshooters can come out eat dinner have some drinks and possibly win a door prize and have lots of fun If you have other questions contact Eva Pollard at This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically 
<5371585.1075856616129.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-06-12 07:58:00,HEA SPORTING CLAYS TOURNAMENT August annual Sporting Clays Tournament is just around the corner August at the American Shooting Centers Watch your fax for all the details but prepare for the same format as last year with registration starting at pm late registration after earns shot penalty and the action beginning at pm Warm up with the TwoMan Flush at RESERVATION AND PREPAYMENT REQUIRED BY AUGUST TH A private drawing for a new shotgun will be held for reservationspayments received by August so make your plans now to participate After the competition dinner will be again in the air conditioned pavilion with thousands of dollars in door prizes Non Shooters pay per person for dinner drinks and door prizes Luck of the Draw randomly selected teams pay per person targets dinner drinks door prizes Blast Masters make your own shooter team pay per person targets dinner drinks door prizes Contributions corporate sponsors and volunteers are needed If interested please contact one of our three tournament chairs Jim Cody Jeff Eatherton or Kemp Jones Thanks again to our sponsors from last year Details will be faxed out and available on our website Friday June Or call Eva Pollard at the HEA office or Jim Cody for more information This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically 
<14058346.1075857058347.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-04-24 05:39:00,ENERGY EXTRAVAGANZA WEEKS AWAYEXTRAVAGANZA is just two weeks away Saturday May If you havent bought your ticket or asked your company to sponsor a table do so and let us know There are still spots available for both and you wont want to miss this exciting evening There will be magic dinner dancing and some wonderful silent auction items for the taking Bid on condos in Maui Lake Tahoe and a log home in Angelfire There will be golf and hunting packages sports memorabilia and pamper packages for your significant other There are still a limited number of raffle tickets left for a chance at that new Harley Davidson Custom Sportster so call the HEA office if you would like to buy one or to purchase your gala tickets Dont delay we want to see you there This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically 
<31397086.1075844023203.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-07-28 04:21:00,HEAs Sporting Clays Tournament August st is just around the corner and thats your deadline for entering the private drawing at this years Sporting Clays Tournament If we have your registration and payment by next Tuesday your name goes in the hat for a great shotgun Visit our website at wwwhoustonenergyorg for the details of this awesome event and send in your registration today Look forward to seeing you there This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically 
<21242441.1075844024591.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-08-07 11:10:00,HEANESA MergerLokay Fellow HEA Members Please read the attached letter carefully and forward any comments or suggestions you may have to the HEA office Your input in this regard is critical to the HEA continuing to serve its members This message was sent by Steve Becker President Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically OFF
<21421802.1075844029951.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-09-04 04:28:00,HEAs th Annual Sports TournamentLokay You should have received a fax over the Labor Day weekend regarding our upcoming Sports Tournament If you did not receive it please visit our website at wwwhoustonenergyorg and go to the next scheduled event or just go directly to publicsportscoverdoc for all the information you need Hope to see you there and dont delay in sending in your registration This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically If you did not receive the attached file or it was corrupted you can find it at public
<5913392.1075844031617.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-09-15 04:34:00,Equiva Trading Company Cocktail ReceptionLokay HEA Members have been extended an invitation to attend a cocktail reception hosted by Equiva Trading Company on Thursday September from pm until pm With crude oil marketers and refiners in mind this event will be held at the Houston Center Club and free parking is available in the First City Tower Bring your parking ticket for validation Make your check in the amount of payable to the Houston Crude Oil Association Your fee covers hors doeuvres and open bar RSVP to Liezle Halili at by Tuesday September The Houston Center Club is located at Caroline Street downtown on the th floor of the First City Tower Garage Garage entrance is on Lamar Street This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically If you did not receive the attached file or it was corrupted you can find it at public
<13564264.1075844031848.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-09-17 15:08:00,HEA th Annual Sports Tournament ReminderLokay The th Annual Sports Tournament is just a month away so if you havent registered click on the link below and do so today Look forward to seeing you on Monday October at the Woodlands Country Club publicsportscoverdoc This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically If you did not receive the attached file or it was corrupted you can find it at public
<20638664.1075844032722.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-09-22 01:15:00,HEA Sports Registration ReminderLokay Good morning Before bid weeks gets cranked up next week I wanted to remind you to register for the upcoming Sports Tournament Its only a few weeks away and as additional incentive to do so Chairman Bobby Norris has decided to hold a special drawing for members who have registered AND paid by October A door prize worth approximately will be awarded to some lucky early registrant so get your form in today Have a good weekend and well look for you on the th publicsportscoverdoc This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically If you did not receive the attached file or it was corrupted you can find it at public
<33316766.1075844033657.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-09-29 07:08:00,HEA th Sports Tourney Weeks AwayLokay If you havent signed up for this years tournament on October th at the Woodlands you still have time and space is still available in each event If you register and pay by Monday October youll be automatically entered into a private drawing for a door prize worth approximately Dont miss out Make your plans now and register today by clicking on See you in a few weeks This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically If you did not receive the attached file or it was corrupted you can find it at public
<18034020.1075844034894.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-10-06 02:03:00,HEA Annual Meeting Notice VOTE REQUIREDLokay Please carefully review the attached document as it is your only notice of the annual meeting information for Monday October The attachmen t explains issues to be considered for a vote on that date primarily the proposed merger between HEA and NESA and the election of new officers and directors should that issue not pass If you cannot make the tournament please print off the proxy and fax to th e HEA office immediately And if you have any difficulties opening the attachment use the link below Thank you for your prompt attention to this matter and we look forward to seeing you at the Woodlands Country Club a week from Monday This message was sent by Steve Becker President Houston Energy Association HEA Phone Fax for HEA If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically If you did not receive the attached file or it was corrupted you can find it at publicVoting Notice doc OFF F
<22410890.1075844035310.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-10-09 02:36:00,HEA th Annual Tournament Week From TodayLokay There are limited places for golfers and still plenty of room for tennis gin and bowling so get your registration in GOLFERS watch your email Wed for pairings and tee assignments If you havent registered at all click on publicsportscoverdoc and do so now See you next Monday October th This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax for HEA If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically If you did not receive the attached file or it was corrupted you can find it at public
<6164250.1075844035635.JavaMail.evans@thyme>,hea@houstonenergy.org,2000-10-10 12:53:00,HEA Golf Tourney TPC PairingsLokay If you registered as a foursome please review the following to obtain your tee assignment for Mondays tournament on the TPC Course at the Woodlands You should report directly to the TPC anytime after for lunch and registration Shotgun tee time of pm REMEMBER the format is PAR AS YOUR FRIEND Also these pairings were made on a first come first served basis of the teams who registered as members of HEA or NESA with full payment If you dont see your name you will be playing the OAKS COURSE A BILLY SHIELDS ROB HENK TOM MATHIASMEIER LESTER LIPPERDT B CHARLES NEUBERGER JOHN LEWIS PERRY LEE JOHNSON TOM BROWN A LEE HANSE BUCK GUINN JODY SUMRALL BRUCE BOYD B MATT LINER ROB BOND JOHN WORTHAM SAM ANSLEY A KEITH SAWYER PAUL DREXELIUS PAT BANKS NEAL STOCKHAM B DAN JAMES KEN BALLARD MIKE COBB POE REED A ED TROUTMAN JEFF AMBROSE KEN PERKINS TRISTAN MATHEWS B STEVE MCADORY TOM RINEHART MIKE SMITH PAT ANDERSON A DARCY PACH LARRY SANDERSON LEE BYASSEE PIERCE RICE B TIM KINGSMILL GREG HARPER BILL WHALEY KELLY ADAMS A MARK COOK STEVE LICHTY DAVE LOE RUSSELL SCHNEIDER B LINDA ROBERTS GARY BRYAN DENNIS NOVOSAD GREG HAMBRICK A COREY GRINDAL MIKE MCGINNIS PRESTON TROUTMAN PHIL LANDERS B MARTY ZOLKOSKI BILL HARPER MICKEY SIMMONS RON KAPAVIK A DARLENE CLARK JACK BECKHAM ROY CUTSINGER TOM FRITTS B STEPHEN WOLFE RANDY HAIRR MARK HAWKINS KIM NORMAN A BOB FOLEY BOB DORCHEUS JERRY PINTO ALLAN KNOPP B DARIN AUCOIN KEVIN THOMPSON TOM VAN MATRE JIM ANDRITSOS A ELIZABETH ROBERTS LARRY CLAYTON MARK DARNELL LINDA WHATLEY B RONNIE SCEROLER HENDERSON COSNAHAN BOB WITHERS ERSHEL REDD A BEAU GERVAIS MATT ROSSER KEVIN HOLDER ALAN COOK B CHARLES STEEN MARK STEEN RANKIN SCHURMAN JIM LINDSAY A JOHN POE ANDY LEVINE GEOFF BEIERMEISTER DENNIS HENDERSON B BRETT FISHBURN MARK PYBURN GRAHAM MCCARROL DAN BURNS A DOUG RAY LAURIE RUTHERFORD JERRY VITEK VICKI TAORMINA B GARY BOENING JEFF GILLESPIE BOB ANKERSHEIL SHANE RILEY A MATT FLEMING PAUL TATE BONNIE BRIGGS BILL BRIGGS B MIKE WELLS RANDY PARR ERNIE MERKEL CLIFF BRUNDRETT A PETE PETRACCO MATT KWAK CHRIS CATER RICHARD KELMAN B CLINT STOCKMAN JERRY BROWN SAM CHARLTON CALVIN JOHNSON A DAVID SMITH DOUG DAVIS DAVID GARZA MIKE BUCHER B RALPH YOUNG CURTIS HOLTMAN LOU MARQUEZ DAVID BOSSE A BOYD CHERRY BILL EISER GARY BOOKER PATRICK BLACK B JAY DAVIS ROBERT EPPS DAVID LITTLE SANDY HOBBS A BRAD PETRICK ED FEDORCHAK BERT BONASSIN TIM DELAY B BOB BROXSON JAKE WOODALL GREG DODD STEVE BECKER This message was sent by Teresa Knight Executive Director Houston Energy Association HEA Phone Fax for HEA If you would like to have your email address removed from our mailing list please click the link below to the HEA Home page where you will find a miniform to remove your name automatically If you did not receive the attached file or it was corrupted you can find it at public
