Message_id,From,Time_stamp,Text
<18655878.1075840977765.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2002-01-27 11:53:01,Trick Your Body into Losing WeightFastPST Lose Weight this New Year with Trimlife Introducing TrimLife the COMPLETE online weightloss program In just days youll see measurable results and in just days youll lose up to pounds or more In fact were so sure that youll lose weight that well send you a FREE Week Sample to try if youll pay towards the shipping BONUS To ensure your success weve arranged for your own online personal licensed weightloss counselor to work with you every step of the way IMAGE
<8102206.1075840978152.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2002-01-26 03:01:02,Your Florida Dream VacationPST Click here IMAGE
<32576799.1075840981011.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2002-01-23 10:06:02,RE Family HealthcarePST IMAGE IMAGE IMAGE IMAGE IMAGE With FULL ACCESS MEDICALs P PO Healthcare Networks you and your family can join the millions of Ameri cans today with over participating doctors and medical providers n ationwide For only a month you and your family can have the peace of mind and security that comes from knowing you have a Plan that provides a Hour TollFree Nurses Hotline with benefits and savings for all types of services like IMAGE IMAGE IMAGE Now whether you have NO Healthc are Benefits or have a current Healthcare Plan and are looking to add to o r replace it FULL ACCESS MEDICAL can meet your needs NO MEDICAL EXAMS NO PREEXISTING CONDITION EXCLUSIONS NO CLAIM FORMS NO WAITING PERIODS days for nonemergency inpatient hospitalization NO AGE RESTRICTIO NS NO ANNUAL OR LIFETIME MAXIMUMS So stop waiting and get the peace of mind and security that comes from having the Affordable Healthcare youve always wanted SIGN UP NOW Sincerely Your Full Access Medical Team To sign up for the Full Access Medical LLC Plan the applicant must be at least and pay a onetime enrollment fee of regardless of the numbe r of dependents enrolled This noninsurance healthcare plan is not availa ble in Washington IMAGE IMAGE 
<10598305.1075840981050.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2002-01-21 11:49:01,Claim Your Free Bottle TodayPST IMAGE IMAGE Andrew Calvin Kleins newest cologne is YOURS FREE Dear Andrew This is unbelievable A suppliers overstock is your good fortune I have a small cache of Calvin Kleins hottest new fragrance be TM and the first people to click here will receive a bottleabsolutely FREE This is the best offer Ive ever been allowed to send I love the fragrance Its light and just a little spicy Its just perfect With only a few ml bottles on hand to send I know it wont last Guarantee your own good fortune and click here to claim your very own bottle of Calvin Kleins hot new cologne be TM Dont miss out Its a onetime only chance Sincerely IMAGE Lori Anderson YourFreePresentcom IMAGE
<32901324.1075840982205.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2002-01-22 12:05:03, Instant Winner EmailPST Luckysurfcom has the perfect postholiday gift for you Play now and youll be entered to win a Samsung Electronics Gift Certificate or CASH Instantly Plus youll automatically be entered in the Daily Million Jackpot Drawing scufpobbcptk Just click below pick numbers register then click a banner Thats it No Catch No Clause And it takes just a minute Winning has never been so easy or so fun scufpobbcptk Good Luck The LuckySurfcom Team To remove yourself from this mailing list point your browser to removeiexpect Enter your email address in the field provided and click Unsubscribe The mailing list ID is iexpect OR Reply to this message with the word remove in the subject line This message was sent to address XPMGRecipient pmguidufpocptk
<6959088.1075840982847.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2002-01-20 06:47:02,FREE Headsets Batteries Chargers Antenna Boosters and MorePST IMAGE IMAGE
<17959590.1075840983534.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2002-01-18 18:33:01,You Qualify for a Gold CardPST IMAGE IMAGE
<25656805.1075841321702.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2002-01-27 11:53:01,Trick Your Body into Losing WeightFastPST Lose Weight this New Year with Trimlife Introducing TrimLife the COMPLETE online weightloss program In just days youll see measurable results and in just days youll lose up to pounds or more In fact were so sure that youll lose weight that well send you a FREE Week Sample to try if youll pay towards the shipping BONUS To ensure your success weve arranged for your own online personal licensed weightloss counselor to work with you every step of the way IMAGE
<23351958.1075841322516.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2002-01-26 03:01:02,Your Florida Dream VacationPST Click here IMAGE
<1219487.1075841323819.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2002-01-22 12:05:03, Instant Winner EmailPST Luckysurfcom has the perfect postholiday gift for you Play now and youll be entered to win a Samsung Electronics Gift Certificate or CASH Instantly Plus youll automatically be entered in the Daily Million Jackpot Drawing scufpobbvvcl Just click below pick numbers register then click a banner Thats it No Catch No Clause And it takes just a minute Winning has never been so easy or so fun scufpobbvvcl Good Luck The LuckySurfcom Team To remove yourself from this mailing list point your browser to removeiexpect Enter your email address in the field provided and click Unsubscribe The mailing list ID is iexpect OR Reply to this message with the word remove in the subject line This message was sent to address XPMGRecipient pmguidufpovvcl
<29612069.1075863113206.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2001-11-26 09:09:12,Are You The Instant WinnerLuckySurfcom the FREE game that plays just like the Lottery has sent out Instant Winner Emails just like this one And this Email could be a Instant Cash Winner playpromoiexentnus Just click below pick numbers register then click a banner Youll find out if youve won Cash Instantly All in about a minute Plus youll automatically be entered in the daily Million Jackpot Drawing Thats it No Catch No Clause playpromoiexentnus Thanks and Good Luck The LuckySurfcom Team To remove yourself from this mailing list point your browser to removeiexpect Enter your email address in the field provided and click Unsubscribe The mailing list ID is iexpect OR Reply to this message with the word remove in the subject line This message was sent to address XPMGRecipient pmguiduxslvvcl
<10718469.1075863113230.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2001-11-26 12:41:17,Trick Your Body into Losing WeightFastYou can lose pounds or more in days or less with measurable results in just daysGuaranteed Scientists have developed a breakthrough weight loss program that tricks your body into burning existing fat It blocks new fat from settling in your body and it controls your hunger Plus it will increase your energy without the jitters or sleepless nights Introducing TrimLife the COMPLETE online weightloss program In just days youll see measurable results and in just days youll lose up to pounds or more In fact were so sure that youll lose weight that we can make this guarantee In fact were so sure that youll lose weight that well send you a FREE day sample to try if youll pay towards the shipping BONUS To ensure your success weve arranged for your own online personal licensed weightloss counselor to work with you every step of the way Trick Your Body Into Losing Weight IMAGE Remove yourself from this list by either Entering your email address below and clicking REMOVE OR Reply to this message with the word remove in the subject line This message was sent to address pmguiduxvavvcl pmg
<7457666.1075863113661.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2001-11-18 17:44:01,DOZEN ROSES CHOCOLATES ONLY By FedExTHANKSGIVING IS NOVEMBER JUST A FEW DAYS AWAY Dear Patrice SEND A DOZEN MAGNIFICENT LONGSTEMMED ROSES TO THE SPECIAL PEOPLE IN YOUR LIFE FOR THANKSGIVING FOR AN AMAZINGLY LOW plus overnight shipping by FedEx guaranteed FREE WORLD FAMOUS GHIRARDELLI CHOCOLATES With any lovely bouquet you send for THANKSGIVING Patrice Proflowers will send the special people in your heart or on your mind a lovely heartshaped box of WORLD FAMOUS GHIRARDELLI CHOCOLATES ABSOLUTELY FREE THIS IS A VERY SPECIAL DEAL FOR A VERY SPECIAL HOLIDAY AT A VERY SPECIAL TIME What a wonderful way to decorate a special THANKSGIVING TABLE Your beautiful flowers packaged in a lovely presentation box and the delightful complimentary boxes of delicious chocolates are GUARANTEED TO BE DELIVERED BY FedEx ON ANY DAY YOU CHOOSE right up thru Wednesday Click here now iexpectindexmhnewthanksgivingfchcfmREFFCHMHThiexpect THANKSGIVING DAY IS VERY VERY SPECIAL Patrice AND THIS IS TRULY A FABULOUS OFFER FOR iExpectcom members ON THANKSGIVING Take two minutes right now click on this special link and your lovely longstemmed roses are guaranteed to be delivered in time for THANKSGIVING You will be very glad you did iexpectindexmhnewthanksgivingfchcfmREFFCHMHThiexpect PLEASE REMEMBER THE DELICIOUS GHIRARDELLI CHOCOLATES ARE ABSOLUTELY FREE Patrice NOTHING says Happy Thanksgiving or Thank You or You Are Special or I Love You or just I Care better than beautiful fresh lovely and deliciously fragrant flowers especially gorgeous longstemmed roses Click here now Happy Thanksgiving iexpectindexmhnewthanksgivingfchcfmREFFCHMHThiexpect Or call toll free FRESHEST To remove yourself from this mailing list point your browser to removeiexpect Enter your email address in the field provided and click Unsubscribe The mailing list ID is iexpect OR Reply to this message with the word remove in the subject line This message was sent to address XPMGRecipient pmguiduvolvvcl
<18553260.1075862121390.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2001-11-18 17:44:01,DOZEN ROSES CHOCOLATES ONLY By FedExTHANKSGIVING IS NOVEMBER JUST A FEW DAYS AWAY Dear Patrice SEND A DOZEN MAGNIFICENT LONGSTEMMED ROSES TO THE SPECIAL PEOPLE IN YOUR LIFE FOR THANKSGIVING FOR AN AMAZINGLY LOW plus overnight shipping by FedEx guaranteed FREE WORLD FAMOUS GHIRARDELLI CHOCOLATES With any lovely bouquet you send for THANKSGIVING Patrice Proflowers will send the special people in your heart or on your mind a lovely heartshaped box of WORLD FAMOUS GHIRARDELLI CHOCOLATES ABSOLUTELY FREE THIS IS A VERY SPECIAL DEAL FOR A VERY SPECIAL HOLIDAY AT A VERY SPECIAL TIME What a wonderful way to decorate a special THANKSGIVING TABLE Your beautiful flowers packaged in a lovely presentation box and the delightful complimentary boxes of delicious chocolates are GUARANTEED TO BE DELIVERED BY FedEx ON ANY DAY YOU CHOOSE right up thru Wednesday Click here now iexpectindexmhnewthanksgivingfchcfmREFFCHMHThiexpect THANKSGIVING DAY IS VERY VERY SPECIAL Patrice AND THIS IS TRULY A FABULOUS OFFER FOR iExpectcom members ON THANKSGIVING Take two minutes right now click on this special link and your lovely longstemmed roses are guaranteed to be delivered in time for THANKSGIVING You will be very glad you did iexpectindexmhnewthanksgivingfchcfmREFFCHMHThiexpect PLEASE REMEMBER THE DELICIOUS GHIRARDELLI CHOCOLATES ARE ABSOLUTELY FREE Patrice NOTHING says Happy Thanksgiving or Thank You or You Are Special or I Love You or just I Care better than beautiful fresh lovely and deliciously fragrant flowers especially gorgeous longstemmed roses Click here now Happy Thanksgiving iexpectindexmhnewthanksgivingfchcfmREFFCHMHThiexpect Or call toll free FRESHEST To remove yourself from this mailing list point your browser to removeiexpect Enter your email address in the field provided and click Unsubscribe The mailing list ID is iexpect OR Reply to this message with the word remove in the subject line This message was sent to address XPMGRecipient pmguiduvolvvcl
<32572667.1075862122155.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2001-11-26 12:41:17,Trick Your Body into Losing WeightFastYou can lose pounds or more in days or less with measurable results in just daysGuaranteed Scientists have developed a breakthrough weight loss program that tricks your body into burning existing fat It blocks new fat from settling in your body and it controls your hunger Plus it will increase your energy without the jitters or sleepless nights Introducing TrimLife the COMPLETE online weightloss program In just days youll see measurable results and in just days youll lose up to pounds or more In fact were so sure that youll lose weight that we can make this guarantee In fact were so sure that youll lose weight that well send you a FREE day sample to try if youll pay towards the shipping BONUS To ensure your success weve arranged for your own online personal licensed weightloss counselor to work with you every step of the way Trick Your Body Into Losing Weight IMAGE Remove yourself from this list by either Entering your email address below and clicking REMOVE OR Reply to this message with the word remove in the subject line This message was sent to address pmguiduxvavvcl pmg
<8264584.1075862122178.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2001-11-26 09:09:12,Are You The Instant WinnerLuckySurfcom the FREE game that plays just like the Lottery has sent out Instant Winner Emails just like this one And this Email could be a Instant Cash Winner playpromoiexentnus Just click below pick numbers register then click a banner Youll find out if youve won Cash Instantly All in about a minute Plus youll automatically be entered in the daily Million Jackpot Drawing Thats it No Catch No Clause playpromoiexentnus Thanks and Good Luck The LuckySurfcom Team To remove yourself from this mailing list point your browser to removeiexpect Enter your email address in the field provided and click Unsubscribe The mailing list ID is iexpect OR Reply to this message with the word remove in the subject line This message was sent to address XPMGRecipient pmguiduxslvvcl
<32072648.1075863117941.JavaMail.evans@thyme>,iexpect.10@reply.pm0.net,2001-11-27 09:18:08,USA Gold ApprovalIMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE Dear Patrice Get Approved for an Unsecured Gold Credit Card Instantly Online Now you can get Guaranteed instant online Approval for an Unsecured Gold Credit Card with a credit line Thats right As long as you are at least a US resident with at least in monthly household income and are not currently in bankruptcy your APPROVAL IS GUARANTEED Enjoy great merchandise while improving your credit because the USA Gold Card reports your good credit to all three major bureaus We want to help you establish or reestablish your credit today Sincerely Your New Offers StaffIMAGE
