Message_id,From,Time_stamp,Text
<31313648.1075841348935.JavaMail.evans@thyme>,lpc@masterdata.com,2002-01-10 16:39:05,Market Summary and Forecast Daily Stock AdvisoryPST The daily stock advisory is now available on the web site click on the link below to take you to the home page 
<20786449.1075841348958.JavaMail.evans@thyme>,lpc@masterdata.com,2002-01-10 16:06:17,Market Summary and Forecast Daily LetterPST The daily letter is now available on the web site click on the link below to take you to the home page 
<10733551.1075841349195.JavaMail.evans@thyme>,lpc@masterdata.com,2002-01-09 19:18:50,Market Summary and Forecast Daily Stock AdvisoryPST The daily stock advisory is now available on the web site Click on the link below to take you to the home page 
<32361247.1075841349242.JavaMail.evans@thyme>,lpc@masterdata.com,2002-01-09 15:08:23,Market Summary and Forecast Daily LetterPST The daily letter is now available on the web site Click on the link below to take you to the home page 
<11459487.1075841349513.JavaMail.evans@thyme>,lpc@masterdata.com,2002-01-08 17:05:11,Market Summary and ForecastPST There are new charts up on the web site for the daily and hourly wave counts 
<30969839.1075841349583.JavaMail.evans@thyme>,lpc@masterdata.com,2002-01-08 15:41:57,Market Summary and Forecast Daily LetterPST The daily letter is now available on the web site Click on the link below to take you to the home page 
<13960005.1075841349658.JavaMail.evans@thyme>,lpc@masterdata.com,2002-01-08 02:09:42,Market Summary and Forecast Account Renewal NoticePST This is a courtesy note sent to remind you that your Market Summary and Forecast account will expire in days Contact Market Summary and Forecast at or visit our website at to renew your account Your Market Summary and Forecast User ID is sneal Your Market Summary and Forecast password is gogo please contact Market Summary and Forecast support at if you have any questions Market Summary and Forecast Support Team
<33437900.1075841349778.JavaMail.evans@thyme>,lpc@masterdata.com,2002-01-07 15:05:21,Market Summary and Forecast Daily LetterPST The daily letter is now available on the web site Click on the link below to take you to the home page 
<9058254.1075841350131.JavaMail.evans@thyme>,lpc@masterdata.com,2002-01-02 15:05:47,Market Summary and Forecast Daily LetterPST The daily stock advisory is now available on the web site click on the link below to take you to the home page 
<4303875.1075841350254.JavaMail.evans@thyme>,lpc@masterdata.com,2002-01-01 12:23:04,Market Summary and Forecast Daily LetterPST The daily letter is now available on the web site Click on the link below to take you to the home page Happy New Year
<4095564.1075841350331.JavaMail.evans@thyme>,lpc@masterdata.com,2001-12-27 13:44:25,Application ApprovedPST Hello Scott Neal Thank you for your submission to Market Summary and Forecast Youve chosen a Username of sneal and chose the Password of gogo Your submission has been approved If you have any questions please contact us at Thank you Market Summary and Forecast
