Message_id,From,Time_stamp,Text
<3615223.1075841445008.JavaMail.evans@thyme>,mediatrec@emailfactory.net,2002-01-22 01:53:31,Youve Been Approved Unsecured Gold CardPST Dear Dutch Quigley Get Approved for an Unsecured Gold Credit Card Instantly Online t Now you can get Guaranteed instant online Approval for an Unsecured Gold Credit Card with a credit line Thats right As long as you are at least a US resident with at least in monthly household income and are not currently in bankruptcy your APPROVAL IS GUARANTEED Enjoy great merchandise while improving your credit because the USA Gold Card reports your good credit to all three major bureaus We want to help you establish or reestablish your credit today t Sincerely Your New Offers Department This email sent by The WebBased Precision OptIn Email Marketing Solution To UNSUBSCRIBE from this mailing list Reply to this message with the word unsubscribe as the subject OR To UNSUBSCRIBE from this mailing list go to handlercfmidAddressL 
<31169207.1075841442465.JavaMail.evans@thyme>,mediatrec@emailfactory.net,2002-02-05 03:55:30,Need a new Computer No Credit Bad Credit No ProblemPST Tuesday February Need a new Computer with easy monthly payments Now you can buy Interest Free high speed quality computer systems laptops and peripherals for your home or business with easy and affordable monthly payments starting from just for Months redirectcfmkeyBDBFEBCEBredirectsavingsfreezecommtmycomp You can immediately qualify for MyComputerClubcoms interest free computer credit line The only requirement is that you are a US citizen or permanent resident years or older residing in the US with a valid checking account No Credit Checks No Interest Rates Easy Monthly Payments Extended Warranty Plus Join today and receive immediately certificates worth off all purchases and savings on shipping redirectcfmkeyBDBFEBCEBredirectsavingsfreezecommtmycomp This email sent by The WebBased Precision OptIn Email Marketing Solution To UNSUBSCRIBE from this mailing list Reply to this message with the word unsubscribe as the subject OR To UNSUBSCRIBE from this mailing list go to handlercfmidAddressL 
<13895138.1075841442668.JavaMail.evans@thyme>,mediatrec@emailfactory.net,2002-02-04 16:44:42,Apply Today for a No Deposit Visa or MasterCardPST Monday February Hello You may be qualified for a No Security Deposit credit card that is EASY to get A Great Way to Strengthen or Reestablish Your Credit If you do not get approved for this card you may not get approved anywhere else Its Fast Easy Free to apply Card Benefits Rebuild your credit Strengthen ReEstablish your credit World Wide Acceptance ATM cash Advances Click Here to Apply redirectcfmkeyBDBFEBCEBredirectwwwjohnsonlanecomDirectoraspTagPFCECNo Sincerely Future Card Team This email sent by The WebBased Precision OptIn Email Marketing Solution To UNSUBSCRIBE from this mailing list Reply to this message with the word unsubscribe as the subject OR To UNSUBSCRIBE from this mailing list go to handlercfmidAddressL 
<20990378.1075841442928.JavaMail.evans@thyme>,mediatrec@emailfactory.net,2002-02-03 10:11:20,Youve Been Approved Unsecured Gold CardPST Sunday February Dear Dutch Quigley Get Approved for an Unsecured Gold Credit Card Instantly Online redirectcfmkeyBDBFEBCEBredirectwwwtheusagoldcardcomt Now you can get Guaranteed instant online Approval for an Unsecured Gold Credit Card with a credit line Thats right As long as you are at least a US resident with at least in monthly household income and are not currently in bankruptcy your APPROVAL IS GUARANTEED Enjoy great merchandise while improving your credit because the USA Gold Card reports your good credit to all three major bureaus We want to help you establish or reestablish your credit today redirectcfmkeyBDBFEBCEBredirectwwwtheusagoldcardcomt Sincerely Your New Offers Department This email sent by The WebBased Precision OptIn Email Marketing Solution To UNSUBSCRIBE from this mailing list Reply to this message with the word unsubscribe as the subject OR To UNSUBSCRIBE from this mailing list go to handlercfmidAddressL 
<27541432.1075841442952.JavaMail.evans@thyme>,mediatrec@emailfactory.net,2002-02-02 20:08:41,Up to in FREE Chips From Grand Banks CasinoPST Saturday February GET UP TO FREE RIGHT NOW If youre looking for looking for BIG action and even BIGGER payouts Grand Banks Casino redirectcfmkeyBDBFEBCEBredirectwwwgrandbankscasinocomdefaultaspsc is where you want to be At Grand Banks all new players qualify for a FREE up to Initial Deposit bonus So if your game is Black Jack Video Poker Slots Craps Grand Banks has stateoftheart adrenaline pumping heartstopping games And you can play for fun while you hone your Gamblers instinct or go for the real deal and play for cash And because luck can be a lady day or night Grand Banks Casino is open hours a day days a week Discover Grand Banks Casino redirectcfmkeyBDBFEBCEBredirectwwwgrandbankscasinocomdefaultaspsc Cashin on the fun Cashin on thewinnings Grand Banks Casino also offers all real money players Red Carpet Rewards The fastest way to earn FREE chips Every in real money wagers earns you one Red Carpet point Redeem points for a FREE house chip Its that simple Grand Banks Casino unique Express Payout means players stay liquid so they stay in the game Players get paid in less than two weeks which is a lot faster than anyone in the business And every transaction is secure thats one thing Grand Banks Casino redirectcfmkeyBDBFEBCEBredirectwwwgrandbankscasinocomdefaultaspsc doesnt gamble on Security is airtight Get in on the action Get your FREE up to right now The tables are waiting for you For your convenience Grand Banks Casino accepts Visa Mastercard Firepay and Paypal Visit Grand Banks Casino redirectcfmkeyBDBFEBCEBredirectwwwgrandbankscasinocomdefaultaspsc right now This email sent by The WebBased Precision OptIn Email Marketing Solution To UNSUBSCRIBE from this mailing list Reply to this message with the word unsubscribe as the subject OR To UNSUBSCRIBE from this mailing list go to handlercfmidAddressL 
<5467328.1075841442976.JavaMail.evans@thyme>,mediatrec@emailfactory.net,2002-02-02 12:47:35,Are You Single Dont be alone on Valentines DayPST Saturday February ARE YOU SINGLE Visit the webs favorite meeting place Thousands and thousands of people are developing quality relationships at this very momentall from the comfort and safety of home Click this link to create a FREE profile on Dream Mates and meet that special someone right now redirectcfmkeyBDBFEBCEBredirectwwwdreammatescomindexcfmaid This email sent by The WebBased Precision OptIn Email Marketing Solution To UNSUBSCRIBE from this mailing list Reply to this message with the word unsubscribe as the subject OR To UNSUBSCRIBE from this mailing list go to handlercfmidAddressL 
<17351387.1075841443001.JavaMail.evans@thyme>,mediatrec@emailfactory.net,2002-02-01 23:56:13,FREE DirecTV With FREE TiVoPST Friday February FREE HUGHES Director Receiver with TiVo FREE DualOutput DIRECTV dish antenna FREE Standard Professional Installation FREE Months of HBO CINEMAX compliments of DIRECTV FREE Coleman Gear Gift Certificate Offer Expires or While Supplies Last IMPORTANT You must be a NEW DIRECTV customer and use secret code CMJD to take advantage of this exclusive discount Order Now CLICK HERE redirectcfmkeyBDBFEBCEBredirectstoreyahoocomcgibinclinkjaserpurTKqpCMJDhtml WHAT A GREAT TIME TO SWITCH TO DIRECTV and its FREE Get a FREE TiVoDIRECTV System and FREE Standard Professional Installation It gets even better order now and receive a FREE Gift Certificate good towards Coleman Outdoor Gear Experience TV your way This DIRECTV Receiver with TiVo integrates the DIRECTV programming you love with the convenience and control of TiVo TiVo offers up to hours of digital recording without videotape allowing you to automatically record every episode of your favorite shows every time theyre on You can record two shows at once and even pause live TV rewind watch in slow motion and create instant replays DIRECTV gives you access to Programming Packages starting at per month Up to digitalquality channels Great Sports Subscriptions like NFL SUNDAY TICKET Premium movie channels including HBO Up to pay per view choices a day digital music channels Local channels by subscription in select areas Valid for NEW DIRECTV customers only YOU MUST ACT NOW shipping and handling applies Month TOTAL CHOICE Programming commitment is required Tollfree coupon code CMJD Order online now redirectcfmkeyBDBFEBCEBredirectstoreyahoocomcgibinclinkjaserpurTKqpCMJDhtml Terms and Conditions do apply This email sent by The WebBased Precision OptIn Email Marketing Solution To UNSUBSCRIBE from this mailing list Reply to this message with the word unsubscribe as the subject OR To UNSUBSCRIBE from this mailing list go to handlercfmidAddressL 
<9317665.1075841442230.JavaMail.evans@thyme>,mediatrec@emailfactory.net,2002-02-05 22:36:26,Trace the Family Tree For FreePST Tuesday February Trace Your Family Tree for FREE Visit Ancestrycom for a FREE day trial and enjoy access to the source for family history online Search over names and trace your family tree today Click here to begin your FREE Day Trial redirectcfmkeyBDBFEBCEBredirectwwwancestrycomrdredirasptargetidsourceid This email sent by The WebBased Precision OptIn Email Marketing Solution To UNSUBSCRIBE from this mailing list Reply to this message with the word unsubscribe as the subject OR To UNSUBSCRIBE from this mailing list go to handlercfmidAddressL 
<4665857.1075841443073.JavaMail.evans@thyme>,mediatrec@emailfactory.net,2002-02-01 13:51:40,Go Wireless with FREE Long Distance and a FREE Nokia PhonePST Thursday January Dear Dutch Quigley Weve searched the web for the best wireless offer we could find and were happy to say Weve found it Get ATT wireless service with Unlimited Night and Weekend minutes a FREE Nokia phone and in credit when you signup today FREE Long Distance FREE Nokia Phone Night and Weekend minutes FREE Nationwide Long Distance Anytime Minutes Nokia Cash Rebate Hurry While They Last Additional Savings Nokia Shipping and Handling Total Nokia Cash Rebate YOU GET NO ACTIVATION FEE redirectcfmkeyBDBFEBCEBredirectwwwsonixsystemscomwsziplookupaspsAWSCPA Plan Features ATT Network Advantage Plan a Month Anytime and Night and Weekend Minutes FREE Nationwide Long Distance No Roaming in Continental US Personal Voicemail Phone Features Caller ID Call Waiting Way Calling Ringing Tones Stores Last Incoming and Outgoing Calls Entry Phone Book with Assignable Ring Tones redirectcfmkeyBDBFEBCEBredirectwwwsonixsystemscomwsziplookupaspsAWSCPA NEED OR MORE PHONES CLICK HERE redirectcfmkeyBDBFEBCEBredirectwwwsonixsystemscomwsziplookupaspsAWSCPA All orders are subject to ATT credit approval ATT Wireless service not available in all areas Caller ID service may not be available in some areas Roaming charges of per minute apply only when outside your ATT Wireless home calling area Offer available only for new subscribers to ATT Cellular Service You must be years of age or older to apply Buyers remorse period is days from activation and customer is required to return the unit with all packaging at their cost Some restrictions may apply Sonix Systems LLC an authorized agent for ATT Wireless This email sent by The WebBased Precision OptIn Email Marketing Solution To UNSUBSCRIBE from this mailing list Reply to this message with the word unsubscribe as the subject OR To UNSUBSCRIBE from this mailing list go to handlercfmidAddressL 
<31473893.1075841443220.JavaMail.evans@thyme>,mediatrec@emailfactory.net,2002-02-01 02:04:14,Order a FREE Cellular Phone in Seconds No Credit Card RequiredPST Friday February Would you like to order a FREE cellular phone in seconds Apply for your FREE cellular phone using the worlds first second instant approval system There is no credit card required for this offer redirectcfmkeyBDBFEBCEBredirectwwwgozingcomnoestartcfmaidmediatrec Minutes for Only per Month Free Motorola or Nokia Cellular Phone Free Handsfree Kit Free Shipping Handling via FEDEX Free Caller ID Free Voice Mail Free Call Waiting Free Way Calling Free Battery Charger redirectcfmkeyBDBFEBCEBredirectwwwgozingcomnoestartcfmaidmediatrec This email sent by The WebBased Precision OptIn Email Marketing Solution To UNSUBSCRIBE from this mailing list Reply to this message with the word unsubscribe as the subject OR To UNSUBSCRIBE from this mailing list go to handlercfmidAddressL 
