Message_id,From,Time_stamp,Text
<31110727.1075852700328.JavaMail.evans@thyme>,news@real-net.net,2001-10-19 03:08:56,Put the fun back on your desktop FREEUnsubscribe at bottomIMAGE IMAGE IMAGE Click here to download RealArcade IMAGE IMAGE Experience the Internets first personal game arcade IMAGE Discover the best games in every category and genre IMAGE Acquire games easily and reliably IMAGE Play games with greater ease and knowledge IMAGE Click here to download RealArcade remove me privacy policy You are receiving this email because you downloaded RealPlayerR or RealJukeboxR from RealcomTM and indicated a preference to receive product news updates and special offers from RealNetworksR If you do not wish to receive emails from us in the future click on the remove me link above RealPlayerR RealJukeboxR RealcomTM RealArcadeTM and RealNetworksR are trademarks or registered trademarks of RealNetworks Inc All other companies or products listed herein are trademarks or registered trademarks of their respective owners
<8984267.1075855214866.JavaMail.evans@thyme>,news@real-net.net,2001-12-24 21:52:55,Your player is out of date Upgrade FREEFor emailing list removal information see bottom of email Your player is out of date Upgrade FREE IMAGE IMAGE IMAGE Try the new RealOne for FREE Get enhanced audio and video builtin web browser enhanced features exclusive programming and more Try RealOne Now IMAGE IMAGE New software features like theater and toolbar mode cross fade and band graphic EQ IMAGE IMAGE Record mix and burn CDs quickly and easily IMAGE IMAGE Builtin media browser helps you quickly search and play IMAGE IMAGE Get access to our exclusive news sports and entertainment programming IMAGE IMAGE Free Upgrade IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE You are receiving this email because you downloaded RealPlayer or RealJukebox from Realcom and indicated a preference to receive product news updates and special offers from RealNetworks If you do not wish to receive emails from us in the future click on the Remove Me link below remove me privacy policy IMAGE RealNetworks RealOne RealPlayer RealJukebox and Realcom are trademarks or registered trademarks of RealNetworks Inc All other companies or products listed herein are trademarks or registered trademarks of their respective owners IMAGE
<27673117.1075852690201.JavaMail.evans@thyme>,news@real-net.net,2001-10-07 16:08:55,Mr October on the MLB playoffsReggie Jackson Mr October says click here to hear every MLB playoff game IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE If you cant hear Reggie click here IMAGE To hear every MLB playoff game in GoldPass click here IMAGE IMAGE You are receiving this email because you downloaded RealPlayer or RealJukebox from Realcom and indicated a preference to receive product news updates and special offers from RealNetworks If you do not wish to receive emails from us in the future click on the Remove Me link below IMAGE remove me privacy policy IMAGE RealNetworks RealPlayer RealJukebox and Realcom are trademarks or registered trademarks of RealNetworks Inc All other companies or products listed herein are trademarks or registered trademarks of their respective owners
<16680242.1075862803409.JavaMail.evans@thyme>,news@real-net.net,2001-11-16 19:38:27,Collapse the most addictive game everIMAGEUnsubscribe at bottom IMAGE IMAGE IMAGE IMAGE IMAGE Click here to download FREE Collapse demo IMAGE remove me privacy policy You received this email because you downloaded a RealPlayer RealJukebox or another product from Realcom and indicated a preference to receive special offers from RealNetworks or you subscribed to the Special Offers email category in your account area If you do not wish to receive emails from us in the future click on the remove me link above RealNetworks RealPlayer RealJukebox Realcom and RealArcade are trademarks or registered trademarks of RealNetworks Inc All other companies or products listed herein are trademarks or registered trademarks of their respective owners
<2581043.1075855217552.JavaMail.evans@thyme>,news@real-net.net,2001-12-29 03:21:27,Optimize the performance of your PCFor emailing list removal information see bottom of email IMAGE IMAGE IMAGE IMAGE IMAGE Download Power Tweaks IMAGE Power Tweaks is a powerful easytouse tool that customizes Windows IMAGE IMAGE Finetune your PC system for optimal performance IMAGE More than updates to your Windows application from security to dialup connection IMAGE Can significantly increase security while speeding up your system IMAGE Improves your computers audio and video capabilities IMAGE And much more IMAGE Increase the security speed and overall performance of your PC with Power Tweaks IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE You are receiving this email because you downloaded RealPlayer or RealJukebox from Realcom and indicated a preference to receive product news updates and special offers from RealNetworks If you do not wish to receive emails from us in the future click on the Remove Me link below IMAGE Remove Me Privacy Policy IMAGE RealNetworks RealPlayer RealJukebox and Realcom are trademarks or registered trademarks of RealNetworks Inc All other companies or products listed herein are trademarks or registered trademarks of their respective owners
<24833479.1075845121431.JavaMail.evans@thyme>,news@real-net.net,2001-06-03 09:52:39,Put the fun back on your desktop introducing RealArcadeJpst For emailing list removal information see bottom of email IMAGE IMAGE IMAGE IMAGE Get RealArcade the first easy allinone Internet game service today With RealArcade its easy to discover great new games connect and play online with others organize your games and much moreand did we mention its free IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE Big Bot Battles Kayak Extreme Super Bubble Pop Primal Prey Arcade Classics Cue Club IMAGE IMAGE IMAGE IMAGE Try free demos of every downloadable game over titles and growing IMAGE IMAGE Get great games in every genre including action puzzle casino and more IMAGE IMAGE Play over different fullversion Web games absolutely FREE IMAGE IMAGE Chat with others preview new games and get hot tips and tricks IMAGE Download RealArcade for FREE today and put the fun back on your desktop IMAGE Click here for RealArcade IMAGE IMAGE You are receiving this email because you downloaded RealPlayer or RealJukebox and indicated a preference to receive product news updates and special offers from RealNetworks IMAGE If you do not wish to receive emails from us in the future click on the Remove Me link below IMAGE remove me privacy policy IMAGE RealNetworks and RealArcade are trademarks or registered trademarks of RealNetworks Inc All other companies or products listed herein are trademarks or registered trademarks of their respective owners
<26526511.1075862579383.JavaMail.evans@thyme>,news@real-net.net,2001-11-17 17:49:58,Collapse the most addictive game everIMAGEUnsubscribe at bottom IMAGE IMAGE IMAGE IMAGE IMAGE Click here to download FREE Collapse demo IMAGE remove me privacy policy You received this email because you downloaded a RealPlayer RealJukebox or another product from Realcom and indicated a preference to receive special offers from RealNetworks or you subscribed to the Special Offers email category in your account area If you do not wish to receive emails from us in the future click on the remove me link above RealNetworks RealPlayer RealJukebox Realcom and RealArcade are trademarks or registered trademarks of RealNetworks Inc All other companies or products listed herein are trademarks or registered trademarks of their respective owners
<18385181.1075862183400.JavaMail.evans@thyme>,news@real-net.net,2001-11-18 13:09:53,Collapse the most addictive game everIMAGEUnsubscribe at bottom IMAGE IMAGE IMAGE IMAGE IMAGE Click here to download FREE Collapse demo IMAGE remove me privacy policy You received this email because you downloaded a RealPlayer RealJukebox or another product from Realcom and indicated a preference to receive special offers from RealNetworks or you subscribed to the Special Offers email category in your account area If you do not wish to receive emails from us in the future click on the remove me link above RealNetworks RealPlayer RealJukebox Realcom and RealArcade are trademarks or registered trademarks of RealNetworks Inc All other companies or products listed herein are trademarks or registered trademarks of their respective owners
<3523280.1075855388948.JavaMail.evans@thyme>,news@real-net.net,2001-12-24 16:37:10,Your player is out of date Upgrade FREEFor emailing list removal information see bottom of email Your player is out of date Upgrade FREE IMAGE IMAGE IMAGE Try the new RealOne for FREE Get enhanced audio and video builtin web browser enhanced features exclusive programming and more Try RealOne Now IMAGE IMAGE New software features like theater and toolbar mode cross fade and band graphic EQ IMAGE IMAGE Record mix and burn CDs quickly and easily IMAGE IMAGE Builtin media browser helps you quickly search and play IMAGE IMAGE Get access to our exclusive news sports and entertainment programming IMAGE IMAGE Free Upgrade IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE You are receiving this email because you downloaded RealPlayer or RealJukebox from Realcom and indicated a preference to receive product news updates and special offers from RealNetworks If you do not wish to receive emails from us in the future click on the Remove Me link below remove me privacy policy IMAGE RealNetworks RealOne RealPlayer RealJukebox and Realcom are trademarks or registered trademarks of RealNetworks Inc All other companies or products listed herein are trademarks or registered trademarks of their respective owners IMAGE
<25334639.1075855390290.JavaMail.evans@thyme>,news@real-net.net,2001-12-28 14:56:50,Optimize the performance of your PCFor emailing list removal information see bottom of email IMAGE IMAGE IMAGE IMAGE IMAGE Download Power Tweaks IMAGE Power Tweaks is a powerful easytouse tool that customizes Windows IMAGE IMAGE Finetune your PC system for optimal performance IMAGE More than updates to your Windows application from security to dialup connection IMAGE Can significantly increase security while speeding up your system IMAGE Improves your computers audio and video capabilities IMAGE And much more IMAGE Increase the security speed and overall performance of your PC with Power Tweaks IMAGE IMAGE IMAGE IMAGE IMAGE IMAGE You are receiving this email because you downloaded RealPlayer or RealJukebox from Realcom and indicated a preference to receive product news updates and special offers from RealNetworks If you do not wish to receive emails from us in the future click on the Remove Me link below IMAGE Remove Me Privacy Policy IMAGE RealNetworks RealPlayer RealJukebox and Realcom are trademarks or registered trademarks of RealNetworks Inc All other companies or products listed herein are trademarks or registered trademarks of their respective owners
