Message_id,From,Time_stamp,Text
<30723958.1075861417040.JavaMail.evans@thyme>,sheila.walton@enron.com,2001-11-16 17:52:34,Confirmation of namesJim per our telephone conversation your list will include the following in Category Robert Eickenroht Rex Rogers Sharon Butcher Kriste Sullivan Rob Walls Paula Rieker Chuck Cheek Stephanie Harris Let me know if I omitted anyone from the list Thanks Sheila Walton
<22392922.1075852461399.JavaMail.evans@thyme>,sheila.walton@enron.com,2001-10-21 14:41:46,Year End PRC MeetingThe following are the names I have identified as participants for the Corporate Legal Year End PRC Meeting on Friday December th Jim Derrick Rob Walls Chuck Cheek Paula Rieker Rex Rogers Please let me know if there are any changes to this list We are only required to review Manager level and above however we have the flexibility to review all or some levels Please let me know how far down you would like to go on the review table My recommendation is that we may want to discuss at least down to the Sr Specialist level since there may be some nominations for promotion to Manager in this category If you have questions please call me at Ext Thanks Sheila Walton
<11333805.1075852461423.JavaMail.evans@thyme>,sheila.walton@enron.com,2001-10-21 14:16:09,Functional Legal Year End PRC Meeting Cc The following are the names I have included for the Functional Legal Year End PRC Meeting on Thursday December th Jim Derrick Rob Walls Mark Evans Drew Fossum Mark Haedicke Kristina Mordaunt Julia Murray Vicky Sharp Please let me know if there are any changes to this list Also please confirm if we will continue to review VP Level only or if you would like to go down to Senior Director or Director Thanks Sheila Walton
<22326845.1075859182448.JavaMail.evans@thyme>,sheila.walton@enron.com,2001-12-13 16:43:04,NEW HR REP Cc I will be out of the office from December th until next year In my absence your New HR Rep will be Terry Bosien at Ext and Sonja Galloway at Ext will assist her Thanks and Happy Holidays to all of you Sheila Walton
<13827636.1075845100087.JavaMail.evans@thyme>,sheila.walton@enron.com,2001-05-25 14:38:12,RE Corp LegalCorp Secretary PRC Cc Jamespst Subject Corporate Legal Mid Year PRC Meeting Date Tuesday June Time am Completion Place EB Facilitator Sheila Walton We will review Jr Specialist through Sr Director levels Please call me if you have any questions at Ext Thanks
<2068887.1075844996785.JavaMail.evans@thyme>,sheila.walton@enron.com,1999-07-14 08:39:00,Business Review Meeting Templateattached is a Business Review format which may or may not be helpful for your Business Review Meeting Please take a look and see what you think Let me know
<578211.1075859789656.JavaMail.evans@thyme>,sheila.walton@enron.com,2001-03-08 03:53:00,Market Analysis for Sr Level Legal Professionals Cc asked the Compensation Group to begin a market analysis study on the Senior Level Professionals in the Legal Group This would include Sr Counsel AGC and VP I want to make certain that we are competitive since we have received at least one resignation from an EWS Sr Counsel and the offer from Reliant Energy was much greater than what we currently pay I have a meeting on Friday March th and I will find out the details of this offer ie if this is base salary or total comp package I will keep you informed as this progresses Sheila Walton
<17766690.1075859799823.JavaMail.evans@thyme>,sheila.walton@enron.com,2001-04-18 10:56:00,FW FUNCTIONAL LEGAL MID YEAR PRC MEETING Cc I omitted your name from the distribution list Trying to do too many things at once Ill make sure your name is included for all future correspondence Carolyn please place on Julias calendar Thanks Sheila Walton Original Message From Walton Sheila Sent Tuesday April PM To Fossum Drew Haedicke Mark Mordaunt Kristina Sharp Vicki Cc Derrick Jr James Walls Jr Rob Harris Stephanie J Hicks Debra Elbertson Janette Jordan Robin Lopez Leasa Sellers Emily Subject FUNCTIONAL LEGAL MID YEAR PRC MEETING Importance High Please mark your calendars for Thursday June for the Functional Legal Mid Year PRC Meeting EBC We will begin the meeting at AM and further details will be forthcoming If you have immediate questions please call me at Ext Sheila Walton
<5055247.1075859840329.JavaMail.evans@thyme>,sheila.walton@enron.com,2001-04-18 10:56:00,FW FUNCTIONAL LEGAL MID YEAR PRC MEETING Cc I omitted your name from the distribution list Trying to do too many things at once Ill make sure your name is included for all future correspondence Carolyn please place on Julias calendar Thanks Sheila Walton Original Message From Walton Sheila Sent Tuesday April PM To Fossum Drew Haedicke Mark Mordaunt Kristina Sharp Vicki Cc Derrick Jr James Walls Jr Rob Harris Stephanie J Hicks Debra Elbertson Janette Jordan Robin Lopez Leasa Sellers Emily Subject FUNCTIONAL LEGAL MID YEAR PRC MEETING Importance High Please mark your calendars for Thursday June for the Functional Legal Mid Year PRC Meeting EBC We will begin the meeting at AM and further details will be forthcoming If you have immediate questions please call me at Ext Sheila Walton
<27436296.1075859847133.JavaMail.evans@thyme>,sheila.walton@enron.com,2001-03-08 03:53:00,Market Analysis for Sr Level Legal Professionals Cc asked the Compensation Group to begin a market analysis study on the Senior Level Professionals in the Legal Group This would include Sr Counsel AGC and VP I want to make certain that we are competitive since we have received at least one resignation from an EWS Sr Counsel and the offer from Reliant Energy was much greater than what we currently pay I have a meeting on Friday March th and I will find out the details of this offer ie if this is base salary or total comp package I will keep you informed as this progresses Sheila Walton
<4872722.1075856211820.JavaMail.evans@thyme>,sheila.walton@enron.com,2001-03-07 04:49:00,RE Contract updatethe copies and I have the corrected copies for you Will have them hand delivered to you this afternoon Sheila Original Message From Kaminski Vince Sent Wednesday March AM To Walton Sheila Cc Kaminski Vince Subject RE Contract update Sheila There were some handwritten changes made by Greg Whalley on the draft I am sending you a copy in a few minutes Vince From Sheila nronXgate on PM To Vince J CT cc Subject RE Contract update Vince if there are some differences that we need to correct you and I can meet tomorrow when you bring the contract in I am available anytime after lunch Please call me at X Sheila Original Message From Kaminski Vince Sent Tuesday March PM To Sheila NRON Cc Kaminski Vince Subject Contract update Sheila Some minor differences between the draft and the final executed version I have forgotten to bring the draft today I shall send a copy to you tomorrow There were some handwritten changes made by Greg ijn the draft that were not transferred to the final version Vince
<7118257.1075856211956.JavaMail.evans@thyme>,sheila.walton@enron.com,2001-03-06 10:05:00,RE Contract updateif there are some differences that we need to correct you and I can meet tomorrow when you bring the contract in I am available anytime after lunch Please call me at X Sheila Original Message From Kaminski Vince Sent Tuesday March PM To Sheila NRON Cc Kaminski Vince Subject Contract update Sheila Some minor differences between the draft and the final executed version I have forgotten to bring the draft today I shall send a copy to you tomorrow There were some handwritten changes made by Greg ijn the draft that were not transferred to the final version Vince
<27046399.1075856301811.JavaMail.evans@thyme>,sheila.walton@enron.com,2000-08-07 16:27:00,Re Anita DuPont Resume Cc Please disregard the email below as I see now that Shirley has already sent the Job description to Norma Villarreal My apologies Irma Alvarez Ext Forwarded by Sheila WaltonHOUECT on PM From Sheila Walton PM To Vince J CT cc Shirley CT Norma CT Subject Re Anita DuPont Resume Mr Kaminski In Sheila Waltons absence she is on vacation this week please go ahead and have Shirley Crenshaw forward the job description that you would like posted to Norma Villarreal for handling If you or Shirley require any additional assistance before forwarding your material to Norma please feel free to contact me Thank you Irma Alvarez ENA HR Coordinator Ext Vince J Kaminski AM To Sheila CT cc Vince J CT Shirley CT Norma CT Subject Re Anita DuPont Resume Sheila No we have to go through the posting phase first I shall ask Shirley to provide the job description Vince From Sheila Walton PM To Vince J CT cc Norma CT Subject Re Anita DuPont Resume Vince Alice has strong qualities for a Sr Admin Asst Vince have we posted this position on the job posting board If so great If not we need to post this opening to prove that we have given an opportunity to all existing Enron employees before we go outside to external candidates Otherwise existing employees have a valid complaint that we are limiting their advancement within Enron but hiring externally If we have not posted this I will have the recruiter contact Shirley so Shirley can give us a job description Then we can post and interview Anita simultaneously Please let me know ASAP if this has been posted Thanks Sheila Walton Vince J Kaminski AM To Sheila CT cc Vince J CT Subject Anita DuPont Resume Sheila I would like to hire Anita DuPont as a senior admin assistant reporting to Shirley Please call me about it after you review the resume Vince Forwarded by Vince J KaminskiHOUECT on AM Anita NRON AM To Vince J CT cc Shirley CT Subject Anita DuPont Resume Vince Here is the resume you requested Thanks Anita
<12399304.1075856302881.JavaMail.evans@thyme>,sheila.walton@enron.com,2000-08-03 09:54:00,REFERENCE ON BRUCE KIMICH Cc are some references on Bruce Sorry for the delay We needed to get the contact info from him Call me if you have questions MCM I was able to verify dates and position as well as a positive reference to his ability to work on a team complete projects timely And stated that he was a great guy Dr Carl Palash was a comanager at MCM Confirmed all that Bruce listed on his resume as what they had worked on and stated that Bruce is considerate and that he would work with Bruce or hire him if he had the opportunity in the future David Krell Helped cocoordinate Graduate level classes re Technical Analysis at Rutgers Bruce is now the lead teacher and the course is highly regarded gets positive reviews and has a full enrollment each time it is offered Sheila Walton
<9919554.1075856306074.JavaMail.evans@thyme>,sheila.walton@enron.com,2000-07-30 16:24:00,MISSING PRC INFORMATIONthe following information is missing from your employee profile which will be used at the MD PRC meeting on Current Responsibilities Previous experience at Enron Please go into your GIS file and update by end of business day Monday July st If you have any questions or problems getting into your file please call Kathy Schultea at EXT Thank you
<20942904.1075856306212.JavaMail.evans@thyme>,sheila.walton@enron.com,2000-07-29 01:27:00,Re Clayton Vernon Cc some concerns regarding Vernon being able to transfer even if he is temporarily successful with deliverables defined for him According to Enron policy an employee can only transfer if he is in satisfactory standing or better This is to prevent problem employees being moved from one organization to the another This sounds like a work ethic issue to me and the chances that it would continue in another department are great even if he is temporarily successful But if Kevin Presto knows the situation and he still wants Vernon in the end I will push for an exception as this satisfies our obligation to be forthright Please keep me informed of Claytons progress as time goes on so we do not get criticized for passing on a problem employee Thanks Sheila Vince J Kaminski AM To Kevin M CT cc Vince J CT Sheila CT Vasant CT Subject Clayton Vernon Kevin Vasant and I talked to Clayton about his request for transfer Clayton received a conditional approval contingent upon completion of the current project he works on Vasant will formulate exact definition of the deliverables and we will hold Clayton to it If he fails to deliver the request for transfer will be rejected Anything else would be highly demoralizing to everybody Clayton has so far produced exactly zero no single output was delivered though he was advertising the projects inside and outside the group as completed I want you to be aware of it because I have serious doubts regarding Claytons integrity Vince
<27087377.1075856572728.JavaMail.evans@thyme>,sheila.walton@enron.com,2000-07-30 16:24:00,MISSING PRC INFORMATIONthe following information is missing from your employee profile which will be used at the MD PRC meeting on Current Responsibilities Previous experience at Enron Please go into your GIS file and update by end of business day Monday July st If you have any questions or problems getting into your file please call Kathy Schultea at EXT Thank you
