Message_id,From,Time_stamp,Text
<23199710.1075862185923.JavaMail.evans@thyme>,storm-advisory@lists.hurricanecentral.com,2001-11-27 12:38:45,Tropical Weather AdvisoryFollow Olga as it brings swells to the Caribbean and the US coast with news updates satellite and radar images forecast maps and message board stormtage WTNT KNHC TCPAT BULLETIN HURRICANE OLGA ADVISORY NUMBER NATIONAL WEATHER SERVICE MIAMI FL PM AST TUE NOV OLGA STRENGTHENS SLIGHTLY WELL EAST OF BERMUDANO IMMEDIATE THREAT TO ANY LAND AREAS AT PM ASTZTHE CENTER OF HURRICANE OLGA WAS LOCATED NEAR LATITUDE NORTHLONGITUDE WEST OR ABOUT MILES KMEAST OF BERMUDA OLGA HAS BEEN MAKING A LARGE LOOP AND IS CURRENTLY MOVING TOWARD THE NORTH NEAR MPH KMHR HOWEVERA GRADUAL TURN TO THE NORTHWEST OR WEST WITH A DECREASE IN FORWARD SPEED IS FORECAST TO OCCUR LATER TONIGHT OR WEDNESDAY SOME ERRATIC MOTION CAN BE EXPECTED UNTIL OLGA MAKES THE TURN BACK TOWARD THE WEST MAXIMUM SUSTAINED WINDS ARE NEAR MPH KMHRWITH HIGHER GUSTS LITTLE CHANGE IN STRENGTH IS FORECAST DURING THE NEXT HOURS HURRICANE FORCE WINDS EXTEND OUTWARD UP TO MILES KM FROM THE CENTERAND TROPICAL STORM FORCE WINDS EXTEND OUTWARD UP TO MILES KM ESTIMATED MINIMUM CENTRAL PRESSURE IS MB INCHES LARGE OCEAN SWELLS FROM HURRICANE OLGA WILL CONTINUE TO AFFECT BERMUDAPORTIONS OF THE US EAST COASTTHE BAHAMASTHE GREATER ANTILLES AND THE NORTHERN LESSER ANTILLES DURING THE NEXT FEW DAYS REPEATING THE PM AST POSITION N W MOVEMENT TOWARDNORTH NEAR MPH MAXIMUM SUSTAINED WINDS MPH MINIMUM CENTRAL PRESSURE MB THE NEXT ADVISORY WILL BE ISSUED BY THE NATIONAL HURRICANE CENTER AT PM AST FORECASTER STEWART Make GoPBIcoms Storm Warning Center your No resource for hurricane and tropical storm updates storm To subscribe or unsubcribe from this list visit our Web site stormemail DO NOT REPLY to this email If you have questions or comments send them to Brought to you by GoPBIcom You can contact us by mail or telephone at GoPBIcom South Dixie Highway West Palm Beach FL Copyright Cox Interactive Media
<17809850.1075862184375.JavaMail.evans@thyme>,storm-advisory@lists.hurricanecentral.com,2001-11-26 00:52:12,Tropical Weather Advisory WTNT KNHC TCPAT BULLETIN SUBTROPICAL STORM TWO ADVISORY NUMBER NATIONAL WEATHER SERVICE MIAMI FL AM AST MON NOV SUBTROPICAL STORM NOW STATIONARY AT AM ASTZTHE CENTER OF SUBTROPICAL STORM TWO WAS LOCATED NEAR LATITUDE NORTHLONGITUDE WEST OR ABOUT MILES KMEASTSOUTHEAST OF BERMUDA THE STORM IS NEARLY STATIONARYAND A SLOW AND ERRATIC MOTION IS EXPECTED OVER THE NEXT HOURS MAXIMUM SUSTAINED WINDS ARE NEAR MPH KMHRWITH HIGHER GUSTS SOME INCREASE IN STRENGTH IS POSSIBLE AND THE SYSTEM COULD BECOME A HURRICANE DURING THE NEXT HOURS WINDS OF MPH EXTEND OUTWARD UP TO MILES KM MAINLY TO THE NORTH OF THE CENTER THIS IS A VERY LARGE STORM AND SWELLS GENERATED BY IT MAY AFFECT PORTIONS OF THE EAST COAST OF NORTH AMERICA AND THE NORTHFACING BEACHES OF THE BAHAMAS AND GREATER ANTILLES DURING THE NEXT FEW DAYS ESTIMATED MINIMUM CENTRAL PRESSURE IS MB INCHES REPEATING THE AM AST POSITION N W MOVEMENTSTATIONARY MAXIMUM SUSTAINED WINDS MPH MINIMUM CENTRAL PRESSURE MB THE NEXT ADVISORY WILL BE ISSUED BY THE NATIONAL HURRICANE CENTER AT AM AST FORECASTER FRANKLIN Make GoPBIcoms Storm Warning Center your No resource for hurricane and tropical storm updates storm To subscribe or unsubcribe from this list visit our Web site stormemail DO NOT REPLY to this email If you have questions or comments send them to Brought to you by GoPBIcom You can contact us by mail or telephone at GoPBIcom South Dixie Highway West Palm Beach FL Copyright Cox Interactive Media
<19968408.1075862184420.JavaMail.evans@thyme>,storm-advisory@lists.hurricanecentral.com,2001-11-25 19:07:16,Tropical Weather Advisory WTNT KNHC TCPAT BULLETIN SUBTROPICAL STORM TWO ADVISORY NUMBER NATIONAL WEATHER SERVICE MIAMI FL PM AST SUN NOV SUBTROPICAL STORM MOVING MORE SLOWLY AT PM ASTZTHE CENTER OF SUBTROPICAL STORM TWO WAS LOCATED NEAR LATITUDE NORTHLONGITUDE WEST OR ABOUT MILES KMEASTSOUTHEAST OF BERMUDA THE STORM IS MOVING TOWARD THE SOUTHWEST NEAR MPH KMHRAND A SLOWGENERALLY WESTWARD MOTION IS EXPECTED DURING THE NEXT HOURS MAXIMUM SUSTAINED WINDS ARE NEAR MPH KMHRWITH HIGHER GUSTS SOME INCREASE IN STRENGTH IS POSSIBLE DURING THE NEXT HOURS WINDS OF MPH OR HIGHER EXTEND OUTWARD UP TO MILES KM MAINLY TO THE NORTH OF THE CENTER THIS IS A VERY LARGE STORM AND SWELLS GENERATED BY IT MAY AFFECT PORTIONS OF THE EAST COAST OF NORTH AMERICA AND THE NORTHFACING BEACHES OF THE BAHAMAS AND GREATER ANTILLES DURING THE NEXT FEW DAYS ESTIMATED MINIMUM CENTRAL PRESSURE IS MB INCHES REPEATING THE PM AST POSITION N W MOVEMENT TOWARDSOUTHWEST NEAR MPH MAXIMUM SUSTAINED WINDS MPH MINIMUM CENTRAL PRESSURE MB THE NEXT ADVISORY WILL BE ISSUED BY THE NATIONAL HURRICANE CENTER AT AM ASTMONDAY FORECASTER PASCH Make GoPBIcoms Storm Warning Center your No resource for hurricane and tropical storm updates storm To subscribe or unsubcribe from this list visit our Web site stormemail DO NOT REPLY to this email If you have questions or comments send them to Brought to you by GoPBIcom You can contact us by mail or telephone at GoPBIcom South Dixie Highway West Palm Beach FL Copyright Cox Interactive Media
<18149890.1075862184466.JavaMail.evans@thyme>,storm-advisory@lists.hurricanecentral.com,2001-11-25 13:07:23,Tropical Weather Advisory WTNT KNHC TCPAT BULLETIN SUBTROPICAL STORM TWO ADVISORY NUMBER NATIONAL WEATHER SERVICE MIAMI FL PM AST SUN NOV AT PM ASTZTHE CENTER OF SUBTROPICAL STORM TWO WAS LOCATED NEAR LATITUDE NORTHLONGITUDE WEST OR ABOUT MILES KMEAST OF BERMUDA THE STORM IS MOVING TOWARD THE WEST SOUTHWEST NEAR MPH KMHR AND A MOSTLY WESTWARD MOTION WITH A DECREASE IN FORWARD SPEED IS EXPECTED DURING THE NEXT HOURS MAXIMUM SUSTAINED WINDS ARE ESTIMATED NEAR MPH KMHR WITH HIGHER GUSTS THERE IS A POSSIBILITY OF SOME ADDITIONAL STRENGTHENING DURING THE NEXT HOURS WINDS OF MPH EXTEND OUTWARD UP TO MILES KM MAINLY TO THE NORTH OF THE CENTER THIS IS A HUGE STORM AND IT IS EXPECTED TO GENERATE SWELLS THAT WILL AFFECT PORTIONS OF THE EAST COAST OF NORTH AMERICA AND OF THE NORTHFACING BEACHES OF THE BAHAMAS AND GREATER ANTILLES DURING THE NEXT FEW DAYS THE ESTIMATED MINIMUM CENTRAL PRESSURE IS MB INCHES REPEATING THE PM AST POSITION N W MOVEMENT TOWARDWEST SOUTHWEST NEAR MPH MAXIMUM SUSTAINED WINDS MPH MINIMUM CENTRAL PRESSURE MB THE NEXT ADVISORY WILL BE ISSUED BY THE NATIONAL HURRICANE CENTER AT PM AST FORECASTER LAWRENCE Make GoPBIcoms Storm Warning Center your No resource for hurricane and tropical storm updates storm To subscribe or unsubcribe from this list visit our Web site stormemail DO NOT REPLY to this email If you have questions or comments send them to Brought to you by GoPBIcom You can contact us by mail or telephone at GoPBIcom South Dixie Highway West Palm Beach FL Copyright Cox Interactive Media
<1871614.1075862184489.JavaMail.evans@thyme>,storm-advisory@lists.hurricanecentral.com,2001-11-25 07:07:22,Tropical Weather Advisory WTNT KNHC TCPAT BULLETIN SUBTROPICAL STORM TWO ADVISORY NUMBER NATIONAL WEATHER SERVICE MIAMI FL AM AST SUN NOV AT AM ASTZTHE CENTER OF SUBTROPICAL STORM TWO WAS LOCATED NEAR LATITUDE NORTHLONGITUDE WEST OR ABOUT MILES KMEAST OF BERMUDA THE STORM IS MOVING TOWARD THE WEST NEAR MPH KMHRAND A DECREASE IN FORWARD SPEED IS EXPECTED DURING THE NEXT DAY OR SO MAXIMUM SUSTAINED WINDS ARE ESTIMATED NEAR MPH KMHR WITH HIGHER GUSTS SOME STRENGTHENING IS FORECAST DURING THE NEXT HOURS WINDS OF MPH EXTEND OUTWARD UP TO MILES KM MAINLY TO THE NORTH OF THE CENTER THE ESTIMATED MINIMUM CENTRAL PRESSURE IS MB INCHES REPEATING THE AM AST POSITION N W MOVEMENT TOWARDWEST NEAR MPH MAXIMUM SUSTAINED WINDS MPH MINIMUM CENTRAL PRESSURE MB THE NEXT ADVISORY WILL BE ISSUED BY THE NATIONAL HURRICANE CENTER AT PM AST FORECASTER LAWRENCE Make GoPBIcoms Storm Warning Center your No resource for hurricane and tropical storm updates storm To subscribe or unsubcribe from this list visit our Web site stormemail DO NOT REPLY to this email If you have questions or comments send them to Brought to you by GoPBIcom You can contact us by mail or telephone at GoPBIcom South Dixie Highway West Palm Beach FL Copyright Cox Interactive Media
<15728172.1075862184512.JavaMail.evans@thyme>,storm-advisory@lists.hurricanecentral.com,2001-11-25 00:37:04,Tropical Weather Advisory WTNT KNHC TCPAT BULLETIN SUBTROPICAL STORM TWO ADVISORY NUMBER NATIONAL WEATHER SERVICE MIAMI FL AM AST SUN NOV SUBTROPICAL STORM TWO BECOMING BETTER ORGANIZED OVER THE CENTRAL ATLANTIC WELL EAST OF BERMUDA ADVISORIES ARE BEING ISSUED FOR THE PURPOSE OF WARNING SHIPS AT SEA OF THE THREAT OF STRONG WINDS NEAR THE CENTER OF THIS LARGE STORM AT AM ASTZTHE CENTER OF SUBTROPICAL STORM TWO WAS LOCATED NEAR LATITUDE NORTHLONGITUDE WEST OR ABOUT MILES KMEAST OF BERMUDA THE STORM IS MOVING TOWARD THE WESTNORTHWEST NEAR MPH KMHRAND THIS GENERAL MOTION IS EXPECTED TO CONTINUE TODAY A GRADUAL TURN TOWARD THE WEST WITH A DECREASE IN FORWARD SPEED IS EXPECTED TO BEGIN BY TONIGHT MAXIMUM SUSTAINED WINDS ARE NEAR MPH KMHRWITH HIGHER GUSTS SOME SLIGHT STRENGTHENING IS POSSIBLE DURING THE NEXT HOURS WINDS OF MPH EXTEND OUTWARD UP TO MILES KMMAINLY NORTH OF THE CENTER THE ESTIMATED MINIMUM CENTRAL PRESSURE IS MB INCHES DANGEROUS SURF CONDITIONS ALONG WITH LARGE BATTERING WAVES MAY BEGIN TO AFFECT BERMUDA LATER TODAY REPEATING THE AM AST POSITION N W MOVEMENT TOWARDWESTNORTHWEST NEAR MPH MAXIMUM SUSTAINED WINDS MPH MINIMUM CENTRAL PRESSURE MB THE NEXT ADVISORY WILL BE ISSUED BY THE NATIONAL HURRICANE CENTER AT AM AST FORECASTER STEWART Make GoPBIcoms Storm Warning Center your No resource for hurricane and tropical storm updates storm To subscribe or unsubcribe from this list visit our Web site stormemail DO NOT REPLY to this email If you have questions or comments send them to Brought to you by GoPBIcom You can contact us by mail or telephone at GoPBIcom South Dixie Highway West Palm Beach FL Copyright Cox Interactive Media
<1574257.1075862184535.JavaMail.evans@thyme>,storm-advisory@lists.hurricanecentral.com,2001-11-24 21:27:02,Tropical Weather Advisory WTNT KNHC TCPAT BULLETIN SUBTROPICAL STORM TWO ADVISORY NUMBER NATIONAL WEATHER SERVICE MIAMI FL PM AST SAT NOV SUBTROPICAL STORM TWO MOVING NORTHWESTWARD OVER THE CENTRAL ATLANTIC ADVISORIES ARE BEING ISSUED FOR THE PURPOSE OF WARNING SHIPS AT SEA OF THE THREAT OF STRONG WINDS NEAR THE CENTER OF THIS LARGE STORM AT PM ASTZTHE CENTER OF SUBTROPICAL STORM TWO WAS LOCATED NEAR LATITUDE NORTHLONGITUDE WEST OR ABOUT MILES KMEAST OF BERMUDA THE SUBTROPICAL STORM IS MOVING TOWARD THE NORTHWEST NEAR MPH KMHRAND A TURN TOWARD THE WESTNORTHWEST IS EXPECTED DURING THE NEXT HOURS MAXIMUM SUSTAINED WINDS ARE NEAR MPH KMHRWITH HIGHER GUSTS LITTLE CHANGE IN STRENGTH IS FORECAST DURING THE NEXT HOURS WINDS OF MPH EXTEND OUTWARD UP TO MILES KM MAINLY TO THE NORTH OF THE CENTER ESTIMATED MINIMUM CENTRAL PRESSURE IS MB INCHES REPEATING THE PM AST POSITION N W MOVEMENT TOWARDNORTHWEST NEAR MPH MAXIMUM SUSTAINED WINDS MPH MINIMUM CENTRAL PRESSURE MB THE NEXT ADVISORY WILL BE ISSUED BY THE NATIONAL HURRICANE CENTER AT AM ASTSUNDAY FORECASTER BEVEN Make GoPBIcoms Storm Warning Center your No resource for hurricane and tropical storm updates storm To subscribe or unsubcribe from this list visit our Web site stormemail DO NOT REPLY to this email If you have questions or comments send them to Brought to you by GoPBIcom You can contact us by mail or telephone at GoPBIcom South Dixie Highway West Palm Beach FL Copyright Cox Interactive Media
<17648146.1075862184557.JavaMail.evans@thyme>,storm-advisory@lists.hurricanecentral.com,2001-11-24 18:42:20,Tropical Weather Advisory WTNT KNHC TCPAT BULLETIN SUBTROPICAL STORM TWO ADVISORY NUMBER NATIONAL WEATHER SERVICE MIAMI FL PM EST SAT NOV CORRECTIONTO EASTERN STANDARD TIME SUBTROPICAL STORM FORMS IN CENTRAL NORTH ATLANTIC ADVISORIES ARE BEING ISSUED FOR THE PURPOSE OF WARNING SHIPS AT SEA OF THE THREAT OF STRONG WINDS NEAR THE CENTER OF THIS LARGE STORM AT PM ESTZTHE CENTER OF SUBTROPICAL STORM TWO WAS LOCATED NEAR LATITUDE NORTHLONGITUDE WEST OR ABOUT MILES KMEAST OF BERMUDA THE STORM IS MOVING TOWARD THE NORTH NEAR MPH KMHRAND A TURN TOWARD THE NORTHWEST IS EXPECTED DURING THE NEXT HOURS MAXIMUM SUSTAINED WINDS ARE NEAR MPH KMHRWITH HIGHER GUSTS LITTLE CHANGE IN STRENGTH IS FORECAST DURING THE NEXT HOURS WINDS OF MPH EXTEND OUTWARD UP TO MILES KMTO THE NORTH OF THE CENTER THE ESTIMATED MINIMUM CENTRAL PRESSURE IS MB INCHES REPEATING THE PM EST POSITION N W MOVEMENT TOWARDNORTH NEAR MPH MAXIMUM SUSTAINED WINDS MPH MINIMUM CENTRAL PRESSURE MB THE NEXT ADVISORY WILL BE ISSUED BY THE NATIONAL HURRICANE CENTER AT PM EST FORECASTER LAWRENCE Make GoPBIcoms Storm Warning Center your No resource for hurricane and tropical storm updates storm To subscribe or unsubcribe from this list visit our Web site stormemail DO NOT REPLY to this email If you have questions or comments send them to Brought to you by GoPBIcom You can contact us by mail or telephone at GoPBIcom South Dixie Highway West Palm Beach FL Copyright Cox Interactive Media
<24776016.1075862184580.JavaMail.evans@thyme>,storm-advisory@lists.hurricanecentral.com,2001-11-26 07:22:28,Tropical Weather Advisory WTNT KNHC TCPAT BULLETIN TROPICAL STORM OLGA ADVISORY NUMBER NATIONAL WEATHER SERVICE MIAMI FL AM AST MON NOV SUBTROPICAL STORM TWO BECOMES TROPICAL STORM OLGA SATELLITE IMAGERY THIS MORNING INDICATES THAT THUNDERSTORM ACTIVITY HAS INCREASED AROUND THE CENTER OF SUBTROPICAL STORM TWOAND THAT IT HAS BECOME TROPICAL STORM OLGA AT AM ASTZTHE CENTER OF OLGA WAS LOCATED NEAR LATITUDE NORTHLONGITUDE WEST OR ABOUT MILES KMEAST OF BERMUDA OLGA IS NOW MOVING TOWARD THE NORTHWEST NEAR MPH KMHR A GENERAL NORTHWESTWARD TO WESTNORTHWESTWARD MOTION IS EXPECTED DURING THE NEXT HOURS MAXIMUM SUSTAINED WINDS ARE NEAR MPH KMHRWITH HIGHER GUSTS SATELLITE IMAGERY INDICATES OLGA IS TRYING TO FORM AN EYE AND IT COULD BECOME A HURRICANE LATER TODAY TROPICAL STORM FORCE WINDS EXTEND OUTWARD UP TO MILES KM MAINLY TO THE NORTHWEST OF THE CENTER ESTIMATED MINIMUM CENTRAL PRESSURE IS MB INCHES SHIP REPORTS INDICATE A VERY LARGE FIELD OF FT OR GREATER SEAS IS ASSOCIATED WITH OLGA SWELLS FROM THE STORM ARE ALREADY REACHING BERMUDA AND PORTIONS OF THE U S MIDATLANTIC STATES THESE SWELLS WILL REACH THE ISLANDS OF THE NORTHERN CARIBBEAN FROM HISPANIOLA EASTWARD LATER TODAY OR TONIGHTAND REACH THE BAHAMAS AND THE REMAINDER OF THE EASTERN COAST OF THE UNITED STATES OVER THE NEXT DAY OR TWO REPEATING THE AM AST POSITION N W MOVEMENT TOWARDNORTHWEST NEAR MPH MAXIMUM SUSTAINED WINDS MPH MINIMUM CENTRAL PRESSURE MB THE NEXT ADVISORY WILL BE ISSUED BY THE NATIONAL HURRICANE CENTER AT PM AST FORECASTER BEVEN Make GoPBIcoms Storm Warning Center your No resource for hurricane and tropical storm updates storm To subscribe or unsubcribe from this list visit our Web site stormemail DO NOT REPLY to this email If you have questions or comments send them to Brought to you by GoPBIcom You can contact us by mail or telephone at GoPBIcom South Dixie Highway West Palm Beach FL Copyright Cox Interactive Media
<32118202.1075862184826.JavaMail.evans@thyme>,storm-advisory@lists.hurricanecentral.com,2001-11-26 12:52:50,Tropical Weather AdvisoryFollow Olga as it brings swells to the Caribbean and the US coast with news updates satellite and radar images forecast maps and message board stormtage WTNT KNHC TCPAT BULLETIN HURRICANE OLGA ADVISORY NUMBER NATIONAL WEATHER SERVICE MIAMI FL PM AST MON NOV OLGA BECOMES THE NINTH HURRICANE OF THE HURRICANE SEASON AT PM ASTZTHE CENTER OF HURRICANE OLGA WAS LOCATED NEAR LATITUDE NORTHLONGITUDE WEST OR ABOUT MILES KMEAST OF BERMUDA OLGA IS NOW MOVING TOWARD THE NORTH NEAR MPH KMHRAND A SLOW NORTHWARD TO NORTHWESTWARD MOTION IS EXPECTED DURING THE NEXT HOURS MAXIMUM SUSTAINED WINDS HAVE INCREASED TO NEAR MPH KMHRWITH HIGHER GUSTS SOME SLOW STRENGTHENING MAY OCCUR DURING THE NEXT HOURS HURRICANE FORCE WINDS EXTEND OUTWARD UP TO MILES KM FROM THE CENTERAND TROPICAL STORM FORCE WINDS EXTEND OUTWARD UP TO MILES KMMAINLY TO THE NORTHWEST OF THE CENTER ESTIMATED MINIMUM CENTRAL PRESSURE IS MB INCHES SHIP REPORTS INDICATE A VERY LARGE FIELD OF SEAS OF FEET OR GREATER IS ASSOCIATED WITH OLGA SWELLS FROM THE STORM ARE ALREADY REACHING BERMUDA AND PORTIONS OF THE U S MIDATLANTIC STATES THESE SWELLS WILL REACH THE BAHAMAS AND THE ISLANDS OF THE NORTHERN CARIBBEAN FROM HISPANIOLA EASTWARD LATER TODAY OR TONIGHTAND REACH THE REMAINDER OF THE EASTERN COAST OF THE UNITED STATES OVER THE NEXT DAY OR TWO REPEATING THE PM AST POSITION N W MOVEMENT TOWARDNORTH NEAR MPH MAXIMUM SUSTAINED WINDS MPH MINIMUM CENTRAL PRESSURE MB THE NEXT ADVISORY WILL BE ISSUED BY THE NATIONAL HURRICANE CENTER AT PM AST FORECASTER BEVEN Make GoPBIcoms Storm Warning Center your No resource for hurricane and tropical storm updates storm To subscribe or unsubcribe from this list visit our Web site stormemail DO NOT REPLY to this email If you have questions or comments send them to Brought to you by GoPBIcom You can contact us by mail or telephone at GoPBIcom South Dixie Highway West Palm Beach FL Copyright Cox Interactive Media
