Message_id,From,Time_stamp,Text
<20186444.1075860337342.JavaMail.evans@thyme>,trainingorders@vertical.net,2001-04-19 04:41:00,Registration Cancellation Notificationto our records you are the student ordering this course Due to this fact you are receiving a copy of this order modification email Registration Cancellation Notification on From VerticalNet Training Services autogenerated Sent Thursday April To Cc Registrations Department Subject Registration Cancellation Notification Registration ID Vendor Name Enron Course name Power Marketing Structuring Power Transactions Class Date May May Location Houston TX Student Enrolled MARY HAIN Dear Registrant We have received your cancellation request This email serves as your confirmation of the cancellation Please CLICK HERE for information regarding supplier fees that may be associated with this cancellation If you have received this message in error or you have questions please contact me directly at extension For your information we have included the cancellation policy of this class as follows Cancellation of class must be received at least business days prior to class time in order to prevent charges to your Cost Center All No Shows will be charged the full cost of the course Substitutes may be sent provided they have satisfied all course prerequisites Order Comments Taxes and Shipping Charges will be billed seperately when order is processed Thank you Patricia Lopez Registration Department Project Manager Registration VerticalNet Inc CLICK HERE to view this registration record
<21723565.1075860424032.JavaMail.evans@thyme>,trainingorders@vertical.net,2001-04-19 04:41:00,Registration Cancellation Notificationto our records you are the student ordering this course Due to this fact you are receiving a copy of this order modification email Registration Cancellation Notification on From VerticalNet Training Services autogenerated Sent Thursday April To Cc Registrations Department Subject Registration Cancellation Notification Registration ID Vendor Name Enron Course name Power Marketing Structuring Power Transactions Class Date May May Location Houston TX Student Enrolled MARY HAIN Dear Registrant We have received your cancellation request This email serves as your confirmation of the cancellation Please CLICK HERE for information regarding supplier fees that may be associated with this cancellation If you have received this message in error or you have questions please contact me directly at extension For your information we have included the cancellation policy of this class as follows Cancellation of class must be received at least business days prior to class time in order to prevent charges to your Cost Center All No Shows will be charged the full cost of the course Substitutes may be sent provided they have satisfied all course prerequisites Order Comments Taxes and Shipping Charges will be billed seperately when order is processed Thank you Patricia Lopez Registration Department Project Manager Registration VerticalNet Inc CLICK HERE to view this registration record
<3127823.1075860438327.JavaMail.evans@thyme>,trainingorders@vertical.net,2001-04-19 04:41:00,Registration Cancellation Notificationto our records you are the student ordering this course Due to this fact you are receiving a copy of this order modification email Registration Cancellation Notification on From VerticalNet Training Services autogenerated Sent Thursday April To Cc Registrations Department Subject Registration Cancellation Notification Registration ID Vendor Name Enron Course name Power Marketing Structuring Power Transactions Class Date May May Location Houston TX Student Enrolled MARY HAIN Dear Registrant We have received your cancellation request This email serves as your confirmation of the cancellation Please CLICK HERE for information regarding supplier fees that may be associated with this cancellation If you have received this message in error or you have questions please contact me directly at extension For your information we have included the cancellation policy of this class as follows Cancellation of class must be received at least business days prior to class time in order to prevent charges to your Cost Center All No Shows will be charged the full cost of the course Substitutes may be sent provided they have satisfied all course prerequisites Order Comments Taxes and Shipping Charges will be billed seperately when order is processed Thank you Patricia Lopez Registration Department Project Manager Registration VerticalNet Inc CLICK HERE to view this registration record
<28138804.1075851833011.JavaMail.evans@thyme>,trainingorders@vertical.net,2001-04-17 05:21:00,Course RegistrationProduct PurchaseRegistrationProduct Purchase on From Training Services autogenerated Sent Tuesday April To Cc Registration Department Manager MITCHELL ROBINSON Student JOSEPH STEPENOVITCH Subject Course RegistrationProduct Purchase This order requires approval from your manager before it can be processed Your Registration Identification Number is For your convenience click here to view and print your receipt indexcfmcompanyenronfuseactionmodifyregistrat iondisplayleftnodisplayrightnoRegistrationID ORDER DESCRIPTION Vendor Name Enron Course name Wellhead to BurnerTip Class Date Apr Apr Location Houston TX Student Enrolled JOSEPH STEPENOVITCH You have been placed on a waitlist for this class You will receive an email if a spot opens for you in this class Cancellation Policy Cancellation of class must be received at least business days prior to class time in order to prevent charges to your Cost Center All No Shows will be charged the full cost of the course Substitutes may be sent provided they have satisfied all course prerequisites This order needs to be authorized before it is processed
<12716541.1075851833033.JavaMail.evans@thyme>,trainingorders@vertical.net,2001-04-17 05:39:00,Registration Cancellation Notificationto our records you are the student ordering this course Due to this fact you are receiving a copy of this order modification email Registration Cancellation Notification on From VerticalNet Training Services autogenerated Sent Tuesday April To Cc Registrations Department Subject Registration Cancellation Notification Registration ID Vendor Name Enron Course name Wellhead to BurnerTip Class Date Apr Apr Location Houston TX Student Enrolled JOSEPH STEPENOVITCH Dear Registrant We have received your cancellation request This email serves as your confirmation of the cancellation Please CLICK HERE for information regarding supplier fees that may be associated with this cancellation If you have received this message in error or you have questions please contact me directly at extension For your information we have included the cancellation policy of this class as follows Cancellation of class must be received at least business days prior to class time in order to prevent charges to your Cost Center All No Shows will be charged the full cost of the course Substitutes may be sent provided they have satisfied all course prerequisites Order Comments Taxes and Shipping Charges will be billed seperately when order is processed Thank you Patricia Lopez Registration Department Project Manager Registration VerticalNet Inc CLICK HERE to view this registration record
<18728854.1075851833061.JavaMail.evans@thyme>,trainingorders@vertical.net,2001-04-17 05:39:00,Registration Cancellation Notificationto our records you are the contact for the student ordering this course Due to this fact you are receiving a copy of this order modification email Registration Cancellation Notification on From VerticalNet Training Services autogenerated Sent Tuesday April To Cc Registrations Department Subject Registration Cancellation Notification Registration ID Vendor Name Enron Course name Wellhead to BurnerTip Class Date Apr Apr Location Houston TX Student Enrolled JOSEPH STEPENOVITCH Dear Registrant We have received your cancellation request This email serves as your confirmation of the cancellation Please CLICK HERE for information regarding supplier fees that may be associated with this cancellation If you have received this message in error or you have questions please contact me directly at extension For your information we have included the cancellation policy of this class as follows Cancellation of class must be received at least business days prior to class time in order to prevent charges to your Cost Center All No Shows will be charged the full cost of the course Substitutes may be sent provided they have satisfied all course prerequisites Order Comments Taxes and Shipping Charges will be billed seperately when order is processed Thank you Patricia Lopez Registration Department Project Manager Registration VerticalNet Inc CLICK HERE to view this registration record
<1725621.1075851833084.JavaMail.evans@thyme>,trainingorders@vertical.net,2001-04-17 05:40:00,Course RegistrationProduct PurchaseRegistrationProduct Purchase on From Training Services autogenerated Sent Tuesday April To Cc Registration Department Manager MITCHELL ROBINSON Student JOSEPH STEPENOVITCH Subject Course RegistrationProduct Purchase This order requires approval from your manager before it can be processed Your Registration Identification Number is For your convenience click here to view and print your receipt indexcfmcompanyenronfuseactionmodifyregistrat iondisplayleftnodisplayrightnoRegistrationID ORDER DESCRIPTION Vendor Name Enron Course name Wellhead to BurnerTip Class Date May May Location Houston TX Student Enrolled JOSEPH STEPENOVITCH Cancellation Policy Cancellation of class must be received at least business days prior to class time in order to prevent charges to your Cost Center All No Shows will be charged the full cost of the course Substitutes may be sent provided they have satisfied all course prerequisites This order needs to be authorized before it is processed
<1870086.1075851838894.JavaMail.evans@thyme>,trainingorders@vertical.net,2001-04-17 05:21:00,Course RegistrationProduct PurchaseRegistrationProduct Purchase on From Training Services autogenerated Sent Tuesday April To Cc Registration Department Manager MITCHELL ROBINSON Student JOSEPH STEPENOVITCH Subject Course RegistrationProduct Purchase This order requires approval from your manager before it can be processed Your Registration Identification Number is For your convenience click here to view and print your receipt indexcfmcompanyenronfuseactionmodifyregistrat iondisplayleftnodisplayrightnoRegistrationID ORDER DESCRIPTION Vendor Name Enron Course name Wellhead to BurnerTip Class Date Apr Apr Location Houston TX Student Enrolled JOSEPH STEPENOVITCH You have been placed on a waitlist for this class You will receive an email if a spot opens for you in this class Cancellation Policy Cancellation of class must be received at least business days prior to class time in order to prevent charges to your Cost Center All No Shows will be charged the full cost of the course Substitutes may be sent provided they have satisfied all course prerequisites This order needs to be authorized before it is processed
<23601245.1075851838916.JavaMail.evans@thyme>,trainingorders@vertical.net,2001-04-17 05:39:00,Registration Cancellation Notificationto our records you are the student ordering this course Due to this fact you are receiving a copy of this order modification email Registration Cancellation Notification on From VerticalNet Training Services autogenerated Sent Tuesday April To Cc Registrations Department Subject Registration Cancellation Notification Registration ID Vendor Name Enron Course name Wellhead to BurnerTip Class Date Apr Apr Location Houston TX Student Enrolled JOSEPH STEPENOVITCH Dear Registrant We have received your cancellation request This email serves as your confirmation of the cancellation Please CLICK HERE for information regarding supplier fees that may be associated with this cancellation If you have received this message in error or you have questions please contact me directly at extension For your information we have included the cancellation policy of this class as follows Cancellation of class must be received at least business days prior to class time in order to prevent charges to your Cost Center All No Shows will be charged the full cost of the course Substitutes may be sent provided they have satisfied all course prerequisites Order Comments Taxes and Shipping Charges will be billed seperately when order is processed Thank you Patricia Lopez Registration Department Project Manager Registration VerticalNet Inc CLICK HERE to view this registration record
<19193156.1075851838939.JavaMail.evans@thyme>,trainingorders@vertical.net,2001-04-17 05:39:00,Registration Cancellation Notificationto our records you are the contact for the student ordering this course Due to this fact you are receiving a copy of this order modification email Registration Cancellation Notification on From VerticalNet Training Services autogenerated Sent Tuesday April To Cc Registrations Department Subject Registration Cancellation Notification Registration ID Vendor Name Enron Course name Wellhead to BurnerTip Class Date Apr Apr Location Houston TX Student Enrolled JOSEPH STEPENOVITCH Dear Registrant We have received your cancellation request This email serves as your confirmation of the cancellation Please CLICK HERE for information regarding supplier fees that may be associated with this cancellation If you have received this message in error or you have questions please contact me directly at extension For your information we have included the cancellation policy of this class as follows Cancellation of class must be received at least business days prior to class time in order to prevent charges to your Cost Center All No Shows will be charged the full cost of the course Substitutes may be sent provided they have satisfied all course prerequisites Order Comments Taxes and Shipping Charges will be billed seperately when order is processed Thank you Patricia Lopez Registration Department Project Manager Registration VerticalNet Inc CLICK HERE to view this registration record
