Message_id,From,Time_stamp,Text
<29393090.1075841984302.JavaMail.evans@thyme>,word@m-w.com,2002-01-29 07:00:00,impromptu MWs Word of the DayPST Enjoy a years worth of poems puns and puzzles in The Best of an Almanac of Words at Play bookpuzzspecwordplayhtm The Word of the Day for January is impromptu imPRAHMPtoo or imPRAHMPtyoo adjective made done or formed on the spur of the moment improvised composed or uttered without previous preparation extemporaneous Example sentence When we dropped by unexpectedly Aunt Louise threw together an impromptu dinner from the odds and ends in her refrigerator Did you know If you think that impromptu looks like a relative of prompt youre right both are ultimately derived from the Latin promere meaning to bring forth take out Impromptu was borrowed from French where it meant extemporaneously but French speakers picked it up from the Latin phrase in promptu a promere descendant meaning in readiness or at hand There is also another much rarer descendant of promere in English the noun promptuary meaning a book of ready reference Indicates the sense illustrated in the example sentence Brought to you by MerriamWebster Inc Subscribe or unsubscribe to Word of the Day via the Web at servicesubinsthtm To join the list via email send a blank email to To leave the list via email send a blank email to Questions about your subscription Write to Questions or comments about the Word of the Day Write to erriamWebstercom c by MerriamWebster Incorporated
<26231367.1075841984722.JavaMail.evans@thyme>,word@m-w.com,2002-01-28 02:00:01,logy MWs Word of the DayPST Whats another word for snowball Watch your vocabulary snowball with MerriamWebsters Collegiate Thesaurus bookthesaurtheshtm The Word of the Day for January is logy LOHghee adjective marked by sluggishness and lack of vitality groggy Example sentence The climbers began to feel logy and disoriented from the combination of the high altitude and the energy they had expended during the climb Did you know Based on surface resemblance you might guess that logy also sometimes spelled loggy is related to groggy but thats not the case Groggy comes from Old Grog the nickname of an English admiral who was notorious for his cloak made of a fabric called grogram and for adding water to his crews rum The sailors called the rum mixture grog after the admiral Because of the effect of grog groggy came to mean weak and unsteady on the feet or in action No one is really sure about the origin of logy but experts speculate that it comes from the Dutch word log meaning heavy Its first recorded use in English from an London newspaper refers to a loggy stroke in rowing Brought to you by MerriamWebster Inc Subscribe or unsubscribe to Word of the Day via the Web at servicesubinsthtm To join the list via email send a blank email to To leave the list via email send a blank email to Questions about your subscription Write to Questions or comments about the Word of the Day Write to erriamWebstercom c by MerriamWebster Incorporated
<19636418.1075841985065.JavaMail.evans@thyme>,word@m-w.com,2002-01-27 02:00:00,aplomb MWs Word of the DayPST Whats another word for snowball Watch your vocabulary snowball with MerriamWebsters Collegiate Thesaurus bookthesaurtheshtm The Word of the Day for January is aplomb uhPLAHM or uhPLUM noun complete and confident composure or selfassurance poise Example sentence Never once betraying the fact that this was a first effort Rachel delivered the product presentation with the aplomb of a trade show veteran Did you know Aplomb ultimately comes from the French phrase a plomb meaning according to the plummet A plummet is a lead weight that is attached to a line and used to determine vertical alignment In French the literal meaning of aplomb is perpendicularity and the extended meaning is composure English speakers borrowed aplomb in its extended sense in the th century The French plomb is also the source of the English word plumb meaning to measure depth and to explore critically and minutely Brought to you by MerriamWebster Inc Subscribe or unsubscribe to Word of the Day via the Web at servicesubinsthtm To join the list via email send a blank email to To leave the list via email send a blank email to Questions about your subscription Write to Questions or comments about the Word of the Day Write to erriamWebstercom c by MerriamWebster Incorporated
<21449526.1075841985088.JavaMail.evans@thyme>,word@m-w.com,2002-01-26 02:00:01,zenith MWs Word of the DayPST Whats another word for snowball Watch your vocabulary snowball with MerriamWebsters Collegiate Thesaurus bookthesaurtheshtm The Word of the Day for January is zenith ZEEnuth or ZEHnuth noun the point of the celestial sphere that is directly opposite the nadir and vertically above the observer the highest point reached in the heavens by a celestial body culminating point acme Example sentence Winning a gold medal at the upcoming Olympic games would be the zenith of my career said the skier in a recent interview Did you know When you reach the zenith youre at the top the pinnacle the summit the peak Zenith developed from Arabic terms meaning the way over ones head As long ago as the s English speakers used zenith to name the highest point in the celestial heavens directly overhead By the s zenith was being used in English for other high points as well Indicates the sense illustrated in the example sentence Brought to you by MerriamWebster Inc Subscribe or unsubscribe to Word of the Day via the Web at servicesubinsthtm To join the list via email send a blank email to To leave the list via email send a blank email to Questions about your subscription Write to Questions or comments about the Word of the Day Write to erriamWebstercom c by MerriamWebster Incorporated
<25406899.1075841985137.JavaMail.evans@thyme>,word@m-w.com,2002-01-25 02:00:01,cognizable MWs Word of the DayPST Want to get published Heres your chance to get recognized Click to learn more Sponsored by Penguin Putnam Publishing promospromowritingasprid The Word of the Day for January is cognizable KAHGnuhzuhbul or kahgNYEzuhbul adjective capable of being known capable of being judicially heard and determined Example sentence The court determined that the plaintiffs claim of having received an unfair grade was not a legally cognizable action Did you know Its easy to recognize the cogni in cognizable as the root in other English words that have to do with knowing precognition incognito recognition and cognitive for example Theyre all from Latin cognoscere to know Cognizable was formed in the th century from the root of cognizance which means knowledge Cognizance in turn traces to cognoscere by way of Middle French conoissance Cognizable was used in the legal sense almost from its introduction and thats the sense that is far and away the most common use today Indicates the sense illustrated in the example sentence Brought to you by MerriamWebster Inc Subscribe or unsubscribe to Word of the Day via the Web at servicesubinsthtm To join the list via email send a blank email to To leave the list via email send a blank email to Questions about your subscription Write to Questions or comments about the Word of the Day Write to erriamWebstercom c by MerriamWebster Incorporated
<29489657.1075841985418.JavaMail.evans@thyme>,word@m-w.com,2002-01-24 02:00:00,corybantic MWs Word of the DayPST Want to get published Heres your chance to get recognized Click to learn more Sponsored by Penguin Putnam Publishing promospromowritingasprid The Word of the Day for January is corybantic koreeBANtik or kahreeBANtik adjective like or in the spirit of a Corybant especially wild frenzied Example sentence Thousands of corybantic fans writhed and screamed in a frenzied dance to the driving guitars and the pounding beat of the rock band Steel Sweat Did you know The big name in goddesses in Phrygia Asia Minor in the fifth century BC was Cybele also called Cybebe or Agdistis the Great Mother of the Gods According to Oriental and Greco Roman mythology she was the mother of it all gods humans animals plants nature itself The Corybants were Cybeles mythical attendants and they worshipped her with an unrestrained frenzy of wildly emotional processions rites and dances Corybantic the adjective based on the name of Cybeles attendants can be used to describe anything characterized by a similar unrestrained abandon Brought to you by MerriamWebster Inc Subscribe or unsubscribe to Word of the Day via the Web at servicesubinsthtm To join the list via email send a blank email to To leave the list via email send a blank email to Questions about your subscription Write to Questions or comments about the Word of the Day Write to erriamWebstercom c by MerriamWebster Incorporated
<10710007.1075841985684.JavaMail.evans@thyme>,word@m-w.com,2002-01-23 02:00:01,ascetic MWs Word of the DayPST Want to get published Heres your chance to get recognized Click to learn more Sponsored by Penguin Putnam Publishing promospromowritingasprid The Word of the Day for January is ascetic uhSEHtik adjective practicing strict selfdenial as a measure of personal and especially spiritual discipline austere in appearance manner or attitude Example sentence Ms Walters plain dark clothing and tight bun give her an ascetic appearance but she is actually very warm and fun loving Did you know Ascetic comes from asketikos a Greek adjective meaning laborious Ultimately it comes from the Greek verb askein which means exercise or work There arent many other English words from askein but theres no dearth of synonyms for ascetic Severe and austere for example are two words that share with ascetic the basic meaning given to or marked by strict discipline and firm restraint Ascetic implies abstention from pleasure and comfort or selfindulgence as spiritual discipline whereas severe implies standards enforced without indulgence or laxity and may suggest harshness as in severe military discipline Austere stresses absence of warmth color or feeling and may apply to rigorous restraint simplicity or selfdenial as in living an austere life in the country Indicates the sense illustrated in the example sentence Brought to you by MerriamWebster Inc Subscribe or unsubscribe to Word of the Day via the Web at servicesubinsthtm To join the list via email send a blank email to To leave the list via email send a blank email to Questions about your subscription Write to Questions or comments about the Word of the Day Write to erriamWebstercom c by MerriamWebster Incorporated
<20214825.1075841986084.JavaMail.evans@thyme>,word@m-w.com,2002-01-22 07:00:01,modicum MWs Word of the DayPST Want to get published Heres your chance to get recognized Click to learn more Sponsored by Penguin Putnam Publishing promospromowritingasprid The Word of the Day for January is modicum MAHdihkum or MOEdihkum noun a small portion a limited quantity Example sentence Anyone with a modicum of sense will pause to think before making a major decision Did you know What does modicum have to do with a toilet It just so happens that modicum shares the same Latin parent as commode which is a synonym of toilet Modicum and commode ultimately derive from the Latin noun modus which means measure Modicum has been a part of the English language since the th century It descends from the Latin modicus moderate which is itself a descendant of modus Logically enough modicum refers to a small measure of something Modus really measures up as a Latin root it also gave us mode originally a kind of musical measure modal model modern modify and modulate More distant relatives include mete moderate and modest Brought to you by MerriamWebster Inc Subscribe or unsubscribe to Word of the Day via the Web at servicesubinsthtm To join the list via email send a blank email to To leave the list via email send a blank email to Questions about your subscription Write to Questions or comments about the Word of the Day Write to erriamWebstercom c by MerriamWebster Incorporated
<11431742.1075841986434.JavaMail.evans@thyme>,word@m-w.com,2002-01-21 02:00:00,paronomasia MWs Word of the DayPST Want to get published Heres your chance to get recognized Click to learn more Sponsored by Penguin Putnam Publishing promospromowritingasprid The Word of the Day for January is paronomasia pairuhnoMAYzheeuh or pairahnuhMAYzheeuh noun a play on words pun Example sentence Humorists claim that Harry Truman offered the delightful paronomasia Missouri loves company when he invited a friend to join him in Independence Missouri for a homecooked meal Did you know Puns essentially humorous uses of words to suggest more than one interpretation have their share of critics as well as fans Coleridge for example called puns the lowest form of wit Paronomasia which derives from a Greek verb meaning to call with a slight change of name can simply be a synonym of pun But it can also be used somewhat playfully to suggest an uncontrollable urge to make puns as if it were a dread disease rather than harmless word play For example in the July New York Times William Safire announced an epidemic of paronomasia has raced around the world And on January Jerry Kobrin of The Orange County Register resolved to seek treatment for a nearterminal case of paronomasia Brought to you by MerriamWebster Inc Subscribe or unsubscribe to Word of the Day via the Web at servicesubinsthtm To join the list via email send a blank email to To leave the list via email send a blank email to Questions about your subscription Write to Questions or comments about the Word of the Day Write to erriamWebstercom c by MerriamWebster Incorporated
<19490172.1075841986538.JavaMail.evans@thyme>,word@m-w.com,2002-01-20 02:00:00,aggress MWs Word of the DayPST Want to get published Heres your chance to get recognized Click to learn more Sponsored by Penguin Putnam Publishing promospromowritingasprid The Word of the Day for January is aggress uhGRESS verb to commit aggression to act aggressively Example sentence Certain indicators such as irritability can indicate an animals likelihood to aggress Did you know Aggress and its more familiar relatives aggression and aggressive derive from the Latin verb aggredi meaning to approach attack undertake When aggress was first used in English in the th century it meant to approach but that use is now obsolete The current meaning of the word has been with us since the early th century Back then the noun aggress an attack appeared occasionally as well but time has relegated that use to obsolescence too Brought to you by MerriamWebster Inc Subscribe or unsubscribe to Word of the Day via the Web at servicesubinsthtm To join the list via email send a blank email to To leave the list via email send a blank email to Questions about your subscription Write to Questions or comments about the Word of the Day Write to erriamWebstercom c by MerriamWebster Incorporated
